SSC_NAME16	FamilyComposition	families_with_children
Devon Hills	Step family with no other children present	7
Devonport	Blended family with no other children present	74
Devonport	Intact family with no other children present	968
Devonport	Intact family with other children present	14
Devonport	Other couple family with other children only	10
Devonport	Step family with no other children present	140
Devonport	Step family with other children present	3
Dilston	Blended family with no other children present	5
Dilston	Intact family with no other children present	64
Dilston	Step family with no other children present	4
Doctors Rocks	Intact family with no other children present	6
Doctors Rocks	Step family with no other children present	3
Dodges Ferry	Blended family with no other children present	23
Dodges Ferry	Intact family with no other children present	209
Dodges Ferry	Intact family with other children present	4
Dodges Ferry	Step family with no other children present	27
Don	Blended family with no other children present	3
Don	Intact family with no other children present	72
Don	Other couple family with other children only	5
Douglas River	Intact family with no other children present	3
Dover	Blended family with no other children present	4
Dover	Intact family with no other children present	57
Dover	Step family with no other children present	7
Downlands	Intact family with no other children present	25
Downlands	Step family with no other children present	3
Dowsing Point	Intact family with no other children present	4
Dowsing Point	Step family with no other children present	3
Dromedary (Tas.)	Blended family with no other children present	3
Dromedary (Tas.)	Intact family with no other children present	90
Dromedary (Tas.)	Step family with no other children present	11
Dulcot	Intact family with no other children present	27
Dunalley	Blended family with no other children present	4
Dunalley	Intact family with no other children present	21
Dunorlan	Intact family with no other children present	8
Dynnyrne	Blended family with no other children present	3
Dynnyrne	Intact family with no other children present	111
Dynnyrne	Step family with no other children present	7
Dysart (Tas.)	Intact family with no other children present	26
Eaglehawk Neck	Intact family with no other children present	22
Eaglehawk Neck	Step family with no other children present	4
East Cam	Intact family with no other children present	20
East Cam	Step family with no other children present	3
East Devonport	Blended family with no other children present	30
East Devonport	Intact family with no other children present	233
East Devonport	Intact family with other children present	3
East Devonport	Other couple family with other children only	3
East Devonport	Step family with no other children present	43
East Launceston	Blended family with no other children present	3
East Launceston	Intact family with no other children present	206
East Launceston	Step family with no other children present	13
East Ridgley	Intact family with no other children present	8
East Ridgley	Step family with no other children present	3
Edith Creek	Blended family with no other children present	4
Edith Creek	Intact family with no other children present	11
Eggs And Bacon Bay	Intact family with no other children present	3
Elderslie (Tas.)	Intact family with no other children present	11
Electrona	Blended family with no other children present	7
Electrona	Intact family with no other children present	45
Electrona	Step family with no other children present	3
Elizabeth Town	Blended family with no other children present	3
Elizabeth Town	Intact family with no other children present	27
Ellendale (Tas.)	Blended family with no other children present	3
Ellendale (Tas.)	Intact family with no other children present	9
Ellendale (Tas.)	Intact family with other children present	3
Ellendale (Tas.)	Step family with no other children present	3
Elliott (Tas.)	Intact family with no other children present	40
Elliott (Tas.)	Step family with no other children present	5
Emita	Intact family with no other children present	7
Emu Heights (Tas.)	Blended family with no other children present	6
Emu Heights (Tas.)	Intact family with no other children present	8
Emu Heights (Tas.)	Step family with no other children present	3
Epping Forest	Intact family with no other children present	7
Erriba	Intact family with no other children present	3
Eugenana	Intact family with no other children present	22
Evandale (Tas.)	Intact family with no other children present	116
Evandale (Tas.)	Intact family with other children present	4
Evandale (Tas.)	Step family with no other children present	9
Exeter (Tas.)	Blended family with no other children present	8
Exeter (Tas.)	Intact family with no other children present	59
Exeter (Tas.)	Step family with no other children present	7
Exton	Intact family with no other children present	12
Exton	Step family with no other children present	3
Falmouth	Intact family with no other children present	10
Fentonbury	Intact family with no other children present	9
Fern Tree	Blended family with no other children present	9
Fern Tree	Intact family with no other children present	84
Fern Tree	Step family with no other children present	3
Fingal (Tas.)	Blended family with no other children present	6
Fingal (Tas.)	Intact family with no other children present	31
Fingal (Tas.)	Step family with no other children present	5
Flowerdale (Tas.)	Intact family with no other children present	25
Flowerdale (Tas.)	Step family with no other children present	5
Flowerpot	Intact family with no other children present	3
Flowery Gully	Intact family with no other children present	3
Forcett	Blended family with no other children present	6
Forcett	Intact family with no other children present	117
Forcett	Other couple family with other children only	4
Forcett	Step family with no other children present	8
Forest	Blended family with no other children present	7
Forest	Intact family with no other children present	50
Forest	Other couple family with other children only	3
Forest	Step family with no other children present	5
Forth	Blended family with no other children present	3
Forth	Intact family with no other children present	66
Forth	Step family with no other children present	10
Forthside	Intact family with no other children present	9
Four Mile Creek (Tas.)	Intact family with no other children present	4
Frankford	Intact family with no other children present	9
Franklin (Tas.)	Blended family with no other children present	7
Franklin (Tas.)	Intact family with no other children present	99
Franklin (Tas.)	Step family with no other children present	3
Gagebrook	Blended family with no other children present	11
Gagebrook	Intact family with no other children present	80
Gagebrook	Step family with no other children present	12
Garden Island Creek	Blended family with no other children present	3
Garden Island Creek	Intact family with no other children present	16
Garden Island Creek	Step family with no other children present	5
Gardners Bay	Intact family with no other children present	27
Gardners Bay	Step family with no other children present	4
Gawler (Tas.)	Blended family with no other children present	3
Gawler (Tas.)	Intact family with no other children present	75
Gawler (Tas.)	Step family with no other children present	6
Geeveston	Blended family with no other children present	6
Geeveston	Intact family with no other children present	110
Geeveston	Intact family with other children present	3
Geeveston	Step family with no other children present	12
Geilston Bay	Blended family with no other children present	20
Geilston Bay	Intact family with no other children present	294
Geilston Bay	Intact family with other children present	4
Geilston Bay	Step family with no other children present	37
George Town	Blended family with no other children present	41
George Town	Intact family with no other children present	287
George Town	Intact family with other children present	3
George Town	Other couple family with other children only	6
George Town	Step family with no other children present	35
Gladstone (Tas.)	Blended family with no other children present	4
Gladstone (Tas.)	Intact family with no other children present	12
Glaziers Bay	Intact family with no other children present	10
Glebe (Tas.)	Intact family with no other children present	42
Glebe (Tas.)	Step family with no other children present	4
Glen Huon	Blended family with no other children present	3
Glen Huon	Intact family with no other children present	70
Glen Huon	Step family with no other children present	3
Glendevie	Intact family with no other children present	5
Glenfern (Tas.)	Intact family with no other children present	19
Glenfern (Tas.)	Intact family with other children present	4
Glengarry (Tas.)	Blended family with no other children present	3
Glengarry (Tas.)	Intact family with no other children present	57
Glengarry (Tas.)	Step family with no other children present	8
Glenlusk	Intact family with no other children present	21
Glenlusk	Step family with no other children present	6
Glenora	Intact family with no other children present	3
Glenorchy (Tas.)	Blended family with no other children present	70
Glenorchy (Tas.)	Blended family with other children present	4
Glenorchy (Tas.)	Intact family with no other children present	715
Glenorchy (Tas.)	Intact family with other children present	9
Glenorchy (Tas.)	Other couple family with other children only	9
Glenorchy (Tas.)	Step family with no other children present	94
Glenorchy (Tas.)	Step family with other children present	3
Golden Valley	Blended family with no other children present	6
Golden Valley	Intact family with no other children present	14
Goodwood (Tas.)	Blended family with no other children present	12
Goodwood (Tas.)	Intact family with no other children present	65
Goodwood (Tas.)	Other couple family with other children only	3
Goodwood (Tas.)	Step family with no other children present	15
Gordon (Tas.)	Intact family with no other children present	10
Goshen	Blended family with no other children present	3
Goshen	Intact family with no other children present	7
Goulds Country	Intact family with no other children present	7
Gowrie Park	Intact family with no other children present	3
Granton	Blended family with no other children present	17
Granton	Intact family with no other children present	193
Granton	Intact family with other children present	3
Granton	Step family with no other children present	21
Grasstree Hill	Intact family with no other children present	15
Grassy	Intact family with no other children present	3
Gravelly Beach	Blended family with no other children present	6
Gravelly Beach	Intact family with no other children present	42
Gravelly Beach	Intact family with other children present	3
Gravelly Beach	Step family with no other children present	11
Gray (Tas.)	Intact family with no other children present	5
Great Bay	Intact family with no other children present	4
Greens Beach	Intact family with no other children present	9
Gretna	Intact family with no other children present	15
Grindelwald	Blended family with no other children present	3
Grindelwald	Intact family with no other children present	118
Grindelwald	Step family with no other children present	9
Grove	Intact family with no other children present	50
Grove	Step family with no other children present	4
Gunns Plains	Intact family with no other children present	5
Gunns Plains	Step family with no other children present	4
Hadspen	Blended family with no other children present	17
Hadspen	Intact family with no other children present	246
Hadspen	Intact family with other children present	3
Hadspen	Other couple family with other children only	4
Hadspen	Step family with no other children present	22
Hagley	Intact family with no other children present	42
Hamilton (Tas.)	Intact family with no other children present	13
Hampshire	Intact family with no other children present	4
Harford	Intact family with no other children present	7
Hastings (Tas.)	Intact family with no other children present	5
Havenview	Blended family with no other children present	6
Havenview	Intact family with no other children present	59
Havenview	Step family with no other children present	9
Hawley Beach	Intact family with no other children present	40
Hawley Beach	Step family with no other children present	10
Hayes	Intact family with no other children present	4
Hellyer	Blended family with no other children present	3
Hellyer	Intact family with no other children present	12
Henrietta	Intact family with no other children present	19
Herdsmans Cove	Blended family with no other children present	16
Herdsmans Cove	Intact family with no other children present	62
Herdsmans Cove	Step family with no other children present	3
Herrick	Intact family with no other children present	3
Heybridge	Blended family with no other children present	4
Heybridge	Intact family with no other children present	30
Heybridge	Step family with no other children present	3
Highclere	Intact family with no other children present	14
Highcroft	Intact family with no other children present	3
Hillcrest (Tas.)	Blended family with no other children present	9
Hillcrest (Tas.)	Intact family with no other children present	57
Hillcrest (Tas.)	Intact family with other children present	3
Hillcrest (Tas.)	Step family with no other children present	9
Hillwood	Blended family with no other children present	3
Hillwood	Intact family with no other children present	58
Hillwood	Step family with no other children present	3
Hobart	Blended family with no other children present	4
Hobart	Intact family with no other children present	64
Hobart	Step family with no other children present	7
Hollow Tree	Blended family with no other children present	3
Holwell	Intact family with no other children present	6
Honeywood	Blended family with no other children present	3
Honeywood	Intact family with no other children present	78
Honeywood	Step family with no other children present	4
Howden	Blended family with no other children present	6
Howden	Intact family with no other children present	99
Howden	Step family with no other children present	15
Howrah	Blended family with no other children present	33
Howrah	Intact family with no other children present	841
Howrah	Intact family with other children present	10
Howrah	Other couple family with other children only	6
Howrah	Step family with no other children present	90
Howth	Intact family with no other children present	3
Huntingfield	Blended family with no other children present	4
Huntingfield	Intact family with no other children present	42
Huntingfield	Step family with no other children present	3
Huonville	Blended family with no other children present	13
Huonville	Intact family with no other children present	247
Huonville	Intact family with other children present	3
Huonville	Other couple family with other children only	4
Huonville	Step family with no other children present	29
Invermay (Tas.)	Blended family with no other children present	18
Invermay (Tas.)	Intact family with no other children present	165
Invermay (Tas.)	Other couple family with other children only	3
Invermay (Tas.)	Step family with no other children present	18
Irishtown (Tas.)	Blended family with no other children present	4
Irishtown (Tas.)	Intact family with no other children present	29
Irishtown (Tas.)	Step family with no other children present	3
Jericho (Tas.)	Intact family with no other children present	7
Jetsonville	Intact family with no other children present	14
Judbury	Intact family with no other children present	32
Judbury	Intact family with other children present	3
Judbury	Step family with no other children present	3
Kaoota	Intact family with no other children present	24
Karanja	Intact family with no other children present	5
Karoola	Intact family with no other children present	42
Karoola	Step family with no other children present	3
Kayena	Intact family with no other children present	14
Kayena	Step family with no other children present	3
Kellevie	Intact family with no other children present	21
Kelso (Tas.)	Intact family with no other children present	7
Kempton	Intact family with no other children present	38
Kettering	Intact family with no other children present	69
Kettering	Step family with no other children present	8
Kimberley (Tas.)	Intact family with no other children present	15
Kindred	Intact family with no other children present	27
Kindred	Step family with no other children present	3
Kings Meadows	Blended family with no other children present	30
Kings Meadows	Intact family with no other children present	277
Kings Meadows	Intact family with other children present	9
Kings Meadows	Step family with no other children present	27
Kingston (Tas.)	Blended family with no other children present	51
Kingston (Tas.)	Intact family with no other children present	980
Kingston (Tas.)	Intact family with other children present	10
Kingston (Tas.)	Other couple family with other children only	7
Kingston (Tas.)	Step family with no other children present	107
Kingston Beach	Blended family with no other children present	5
Kingston Beach	Intact family with no other children present	182
Kingston Beach	Step family with no other children present	13
Koonya	Intact family with no other children present	10
Lachlan	Blended family with no other children present	3
Lachlan	Intact family with no other children present	88
Lachlan	Intact family with other children present	3
Lachlan	Step family with no other children present	9
Lackrana	Blended family with no other children present	3
Lackrana	Intact family with no other children present	13
Lady Barron	Intact family with no other children present	11
Lalla	Intact family with no other children present	6
Lanena	Blended family with no other children present	3
Lanena	Intact family with no other children present	18
Lanena	Step family with no other children present	3
Lapoinya	Intact family with no other children present	8
Lapoinya	Step family with no other children present	3
Latrobe	Blended family with no other children present	30
Latrobe	Intact family with no other children present	333
Latrobe	Intact family with other children present	3
Latrobe	Other couple family with other children only	3
Latrobe	Step family with no other children present	40
Lauderdale	Blended family with no other children present	23
Lauderdale	Intact family with no other children present	239
Lauderdale	Other couple family with other children only	3
Lauderdale	Step family with no other children present	26
Launceston	Blended family with no other children present	8
Launceston	Intact family with no other children present	145
Launceston	Step family with no other children present	18
Lawitta	Intact family with no other children present	27
Lawitta	Step family with no other children present	3
Lebrina	Intact family with no other children present	26
Lefroy	Intact family with no other children present	5
Legana	Blended family with no other children present	24
Legana	Intact family with no other children present	453
Legana	Intact family with other children present	5
Legana	Step family with no other children present	29
Legerwood	Intact family with no other children present	18
Leith	Blended family with no other children present	5
Leith	Intact family with no other children present	41
Lenah Valley	Blended family with no other children present	28
Lenah Valley	Intact family with no other children present	625
Lenah Valley	Intact family with other children present	3
Lenah Valley	Other couple family with other children only	3
Lenah Valley	Step family with no other children present	55
Leslie Vale	Blended family with no other children present	4
Leslie Vale	Intact family with no other children present	46
Leslie Vale	Step family with no other children present	6
Levendale	Intact family with no other children present	8
Lewisham (Tas.)	Blended family with no other children present	8
Lewisham (Tas.)	Intact family with no other children present	56
Lewisham (Tas.)	Other couple family with other children only	3
Lewisham (Tas.)	Step family with no other children present	7
Lietinna	Intact family with no other children present	7
Liffey	Intact family with no other children present	9
Lileah	Intact family with no other children present	8
Lileah	Step family with no other children present	3
Lilydale (Tas.)	Blended family with no other children present	5
Lilydale (Tas.)	Intact family with no other children present	50
Lilydale (Tas.)	Step family with no other children present	4
Lindisfarne	Blended family with no other children present	18
Lindisfarne	Intact family with no other children present	516
Lindisfarne	Intact family with other children present	3
Lindisfarne	Other couple family with other children only	3
Lindisfarne	Step family with no other children present	51
Lindisfarne	Step family with other children present	3
Little Swanport	Intact family with no other children present	5
Loira	Intact family with no other children present	14
Longford (Tas.)	Blended family with no other children present	23
Longford (Tas.)	Intact family with no other children present	320
Longford (Tas.)	Step family with no other children present	40
Longley	Intact family with no other children present	27
Longley	Step family with no other children present	3
Lonnavale	Intact family with no other children present	10
Loorana	Intact family with no other children present	8
Lorinna	Intact family with no other children present	3
Low Head	Intact family with no other children present	32
Low Head	Step family with no other children present	4
Lower Barrington	Intact family with no other children present	25
Lower Barrington	Step family with no other children present	4
Lower Beulah	Intact family with no other children present	5
Lower Longley	Blended family with no other children present	3
Lower Longley	Intact family with no other children present	21
Lower Snug	Intact family with no other children present	52
Lower Snug	Step family with no other children present	7
Lower Turners Marsh	Intact family with no other children present	4
Lower Wattle Grove	Intact family with no other children present	11
Lower Wilmot	Intact family with no other children present	11
Loyetea	Intact family with no other children present	3
Lucaston	Intact family with no other children present	47
Lulworth	Intact family with no other children present	4
Lutana	Blended family with no other children present	18
Lutana	Intact family with no other children present	174
Lutana	Other couple family with other children only	5
Lutana	Step family with no other children present	25
Lymington	Blended family with no other children present	3
Lymington	Intact family with no other children present	18
Lymington	Step family with no other children present	3
Lymwood	Intact family with no other children present	17
Macquarie Plains	Intact family with no other children present	8
Magra	Blended family with no other children present	12
Magra	Intact family with no other children present	81
Magra	Step family with no other children present	9
Malbina	Intact family with no other children present	5
Mangalore (Tas.)	Blended family with no other children present	3
Mangalore (Tas.)	Intact family with no other children present	52
Mangalore (Tas.)	Step family with no other children present	7
Margate (Tas.)	Blended family with no other children present	21
Margate (Tas.)	Intact family with no other children present	471
Margate (Tas.)	Intact family with other children present	7
Margate (Tas.)	Other couple family with other children only	3
Margate (Tas.)	Step family with no other children present	41
Marion Bay (Tas.)	Intact family with no other children present	7
Marion Bay (Tas.)	Step family with no other children present	3
Marrawah	Intact family with no other children present	12
Mathinna	Intact family with no other children present	5
Mathinna	Intact family with other children present	3
Mawbanna	Intact family with no other children present	13
Mayberry	Intact family with no other children present	3
Maydena	Intact family with no other children present	15
Mayfield (Tas.)	Blended family with no other children present	17
Mayfield (Tas.)	Intact family with no other children present	79
Mayfield (Tas.)	Step family with no other children present	12
Meadowbank (Tas.)	Intact family with no other children present	3
Meander	Intact family with no other children present	31
Meander	Step family with no other children present	3
Mella	Intact family with no other children present	6
Melrose (Tas.)	Intact family with no other children present	13
Melton Mowbray	Intact family with no other children present	5
Memana	Intact family with no other children present	10
Mengha	Intact family with no other children present	13
Mengha	Step family with no other children present	3
Merseylea	Intact family with no other children present	3
Miandetta (Tas.)	Blended family with no other children present	15
Miandetta (Tas.)	Intact family with no other children present	155
Miandetta (Tas.)	Other couple family with other children only	4
Miandetta (Tas.)	Step family with no other children present	20
Middleton (Tas.)	Intact family with no other children present	18
Midway Point	Blended family with no other children present	15
Midway Point	Intact family with no other children present	239
Midway Point	Intact family with other children present	3
Midway Point	Other couple family with other children only	3
Midway Point	Step family with no other children present	32
Milabena	Intact family with no other children present	12
Moina	Intact family with no other children present	3
Mole Creek	Blended family with no other children present	4
Mole Creek	Intact family with no other children present	36
Mole Creek	Step family with no other children present	3
Molesworth (Tas.)	Blended family with no other children present	6
Molesworth (Tas.)	Intact family with no other children present	65
Molesworth (Tas.)	Step family with no other children present	6
Moltema	Intact family with no other children present	9
Montagu	Intact family with no other children present	10
Montagu	Step family with no other children present	4
Montagu Bay	Blended family with no other children present	6
Montagu Bay	Intact family with no other children present	50
Montagu Bay	Step family with no other children present	7
Montana	Intact family with no other children present	5
Montello	Blended family with no other children present	7
Montello	Intact family with no other children present	92
Montello	Step family with no other children present	10
Montrose (Tas.)	Blended family with no other children present	13
Montrose (Tas.)	Intact family with no other children present	174
Montrose (Tas.)	Step family with no other children present	13
Montumana	Intact family with no other children present	9
Moogara	Intact family with no other children present	3
Moogara	Step family with no other children present	3
Moonah	Blended family with no other children present	32
Moonah	Intact family with no other children present	423
Moonah	Intact family with other children present	3
Moonah	Step family with no other children present	40
Mooreville	Blended family with no other children present	3
Mooreville	Intact family with no other children present	32
Mooreville	Step family with no other children present	5
Moorleah	Intact family with no other children present	20
Moriarty	Intact family with no other children present	27
Moriarty	Intact family with other children present	3
Mornington (Tas.)	Blended family with no other children present	9
Mornington (Tas.)	Intact family with no other children present	175
Mornington (Tas.)	Other couple family with other children only	4
Mornington (Tas.)	Step family with no other children present	18
Mount Direction	Intact family with no other children present	28
Mount Direction	Step family with no other children present	4
Mount Hicks	Intact family with no other children present	36
Mount Hicks	Step family with no other children present	3
Mount Lloyd	Intact family with no other children present	9
Mount Nelson	Blended family with no other children present	14
Mount Nelson	Intact family with no other children present	238
Mount Nelson	Step family with no other children present	9
Mount Rumney	Blended family with no other children present	3
Mount Rumney	Intact family with no other children present	24
Mount Rumney	Step family with no other children present	4
Mount Seymour	Intact family with no other children present	5
Mount Stuart (Tas.)	Blended family with no other children present	10
Mount Stuart (Tas.)	Intact family with no other children present	237
Mount Stuart (Tas.)	Step family with no other children present	21
Mountain River	Intact family with no other children present	72
Mowbray (Tas.)	Blended family with no other children present	25
Mowbray (Tas.)	Intact family with no other children present	278
Mowbray (Tas.)	Intact family with other children present	5
Mowbray (Tas.)	Step family with no other children present	29
Mowbray (Tas.)	Step family with other children present	3
Murdunna	Blended family with no other children present	3
Murdunna	Intact family with no other children present	29
Myalla (Tas.)	Intact family with no other children present	3
Myrtle Bank (Tas.)	Intact family with no other children present	3
Nabageena	Intact family with no other children present	4
Nabowla	Intact family with no other children present	14
National Park	Intact family with no other children present	4
Natone	Intact family with no other children present	32
Needles	Intact family with no other children present	3
Neika	Intact family with no other children present	21
New Norfolk	Blended family with no other children present	39
New Norfolk	Blended family with other children present	3
New Norfolk	Intact family with no other children present	407
New Norfolk	Intact family with other children present	4
New Norfolk	Other couple family with other children only	9
New Norfolk	Step family with no other children present	43
New Town (Tas.)	Blended family with no other children present	14
New Town (Tas.)	Intact family with no other children present	517
New Town (Tas.)	Step family with no other children present	39
Newnham	Blended family with no other children present	45
Newnham	Intact family with no other children present	507
Newnham	Intact family with other children present	5
Newnham	Other couple family with other children only	5
Newnham	Step family with no other children present	55
Newstead (Tas.)	Blended family with no other children present	13
Newstead (Tas.)	Intact family with no other children present	502
Newstead (Tas.)	Intact family with other children present	3
Newstead (Tas.)	Step family with no other children present	37
Nicholls Rivulet	Blended family with no other children present	3
Nicholls Rivulet	Intact family with no other children present	31
Nietta	Intact family with no other children present	4
Nile	Blended family with no other children present	7
Nile	Intact family with no other children present	11
Nook	Intact family with no other children present	20
Nook	Step family with no other children present	5
North Bruny	Intact family with no other children present	3
North Hobart	Blended family with no other children present	8
North Hobart	Intact family with no other children present	134
North Hobart	Other couple family with other children only	3
North Hobart	Step family with no other children present	11
North Lilydale	Intact family with no other children present	11
North Motton	Blended family with no other children present	4
North Motton	Intact family with no other children present	39
North Motton	Step family with no other children present	3
North Scottsdale	Intact family with no other children present	12
Northdown	Intact family with no other children present	27
Norwood (Tas.)	Blended family with no other children present	18
Norwood (Tas.)	Intact family with no other children present	341
Norwood (Tas.)	Step family with no other children present	33
Notley Hills	Intact family with no other children present	3
Nowhere Else	Intact family with no other children present	3
Nubeena	Intact family with no other children present	34
Nubeena	Step family with no other children present	6
Nugara	Intact family with no other children present	3
Nugent	Intact family with no other children present	10
Nunamara	Intact family with no other children present	30
Oakdowns	Blended family with no other children present	11
Oakdowns	Intact family with no other children present	146
Oakdowns	Other couple family with other children only	3
Oakdowns	Step family with no other children present	9
Oaks	Intact family with no other children present	4
Oatlands (Tas.)	Intact family with no other children present	48
Oatlands (Tas.)	Step family with no other children present	3
Ocean Vista	Intact family with no other children present	31
Ocean Vista	Step family with no other children present	4
Old Beach	Blended family with no other children present	32
Old Beach	Intact family with no other children present	410
Old Beach	Intact family with other children present	3
Old Beach	Other couple family with other children only	3
Old Beach	Step family with no other children present	47
Oldina	Intact family with no other children present	12
Opossum Bay	Intact family with no other children present	24
Opossum Bay	Step family with no other children present	7
Orford (Tas.)	Intact family with no other children present	33
Orielton	Blended family with no other children present	5
Orielton	Intact family with no other children present	39
Orielton	Step family with no other children present	7
Osmaston	Intact family with no other children present	13
Otago	Blended family with no other children present	3
Otago	Intact family with no other children present	55
Otago	Step family with no other children present	9
Ouse	Intact family with no other children present	27
Oyster Cove (Tas.)	Blended family with no other children present	4
Oyster Cove (Tas.)	Intact family with no other children present	24
Oyster Cove (Tas.)	Step family with no other children present	5
Paloona	Intact family with no other children present	7
Paloona	Step family with no other children present	4
Paradise (Tas.)	Intact family with no other children present	10
Parattah	Intact family with no other children present	14
Parattah	Step family with no other children present	4
Park Grove	Blended family with no other children present	11
Park Grove	Intact family with no other children present	229
Park Grove	Intact family with other children present	4
Park Grove	Step family with no other children present	26
Park Grove	Step family with other children present	3
Parkham	Intact family with no other children present	13
Parklands (Tas.)	Blended family with no other children present	16
Parklands (Tas.)	Intact family with no other children present	64
Parklands (Tas.)	Other couple family with other children only	3
Parklands (Tas.)	Step family with no other children present	6
Patersonia	Intact family with no other children present	9
Pawleena	Blended family with no other children present	3
Pawleena	Intact family with no other children present	15
Pawtella	Intact family with no other children present	3
Pegarah	Blended family with no other children present	4
Pegarah	Intact family with no other children present	14
Pelham (Tas.)	Intact family with no other children present	4
Pelverata	Blended family with no other children present	4
Pelverata	Intact family with no other children present	20
Pelverata	Step family with no other children present	3
Penguin	Blended family with no other children present	29
Penguin	Intact family with no other children present	326
Penguin	Other couple family with other children only	9
Penguin	Step family with no other children present	41
Penna	Intact family with no other children present	50
Penna	Step family with no other children present	3
Perth (Tas.)	Blended family with no other children present	19
Perth (Tas.)	Intact family with no other children present	296
Perth (Tas.)	Step family with no other children present	31
Petcheys Bay	Intact family with no other children present	17
Pioneer (Tas.)	Intact family with no other children present	5
Pipers Brook	Intact family with no other children present	7
Pipers River	Blended family with no other children present	4
Pipers River	Intact family with no other children present	38
Pipers River	Step family with no other children present	4
Plenty (Tas.)	Intact family with no other children present	12
Poatina	Intact family with no other children present	6
Police Point	Blended family with no other children present	3
Pontville	Blended family with no other children present	6
Pontville	Intact family with no other children present	73
Pontville	Intact family with other children present	3
Pontville	Step family with no other children present	10
Pontypool	Intact family with no other children present	6
Port Arthur (Tas.)	Intact family with no other children present	9
Port Huon	Intact family with no other children present	23
Port Sorell	Blended family with no other children present	6
Port Sorell	Intact family with no other children present	168
Port Sorell	Step family with no other children present	20
Premaydena	Intact family with no other children present	4
Preolenna	Intact family with no other children present	5
Preservation Bay	Intact family with no other children present	6
Preston (Tas.)	Intact family with no other children present	8
Preston (Tas.)	Step family with no other children present	3
Primrose Sands	Blended family with no other children present	4
Primrose Sands	Intact family with no other children present	36
Primrose Sands	Intact family with other children present	3
Primrose Sands	Other couple family with other children only	3
Primrose Sands	Step family with no other children present	13
Promised Land	Intact family with no other children present	3
Prospect (Tas.)	Blended family with no other children present	10
Prospect (Tas.)	Intact family with no other children present	132
Prospect (Tas.)	Step family with no other children present	21
Prospect Vale	Blended family with no other children present	25
Prospect Vale	Intact family with no other children present	467
Prospect Vale	Other couple family with other children only	6
Prospect Vale	Step family with no other children present	39
Punchbowl (Tas.)	Blended family with no other children present	3
Punchbowl (Tas.)	Intact family with no other children present	33
Punchbowl (Tas.)	Step family with no other children present	4
Pyengana	Intact family with no other children present	18
Quamby Brook	Intact family with no other children present	9
Queens Domain	Intact family with no other children present	3
Queenstown (Tas.)	Blended family with no other children present	13
Queenstown (Tas.)	Intact family with no other children present	130
Queenstown (Tas.)	Step family with no other children present	10
Quoiba	Blended family with no other children present	3
Quoiba	Intact family with no other children present	46
Quoiba	Step family with no other children present	3
Railton	Blended family with no other children present	6
Railton	Intact family with no other children present	62
Railton	Step family with no other children present	16
Randalls Bay	Intact family with no other children present	5
Ranelagh	Blended family with no other children present	12
Ranelagh	Intact family with no other children present	140
Ranelagh	Step family with no other children present	15
Ranga	Intact family with no other children present	3
Ravenswood (Tas.)	Blended family with no other children present	26
Ravenswood (Tas.)	Intact family with no other children present	197
Ravenswood (Tas.)	Intact family with other children present	10
Ravenswood (Tas.)	Other couple family with other children only	12
Ravenswood (Tas.)	Step family with no other children present	42
Red Hills	Intact family with no other children present	19
Redpa	Intact family with no other children present	7
Reedy Marsh	Intact family with no other children present	18
Reekara	Intact family with no other children present	5
Relbia	Intact family with no other children present	91
Relbia	Step family with no other children present	3
Retreat (Tas.)	Intact family with no other children present	4
Rhyndaston	Intact family with no other children present	4
Riana	Intact family with no other children present	33
Riana	Step family with no other children present	4
Richmond (Tas.)	Blended family with no other children present	6
Richmond (Tas.)	Intact family with no other children present	165
Richmond (Tas.)	Step family with no other children present	11
Ridgeway	Intact family with no other children present	22
Ridgley	Intact family with no other children present	67
Ridgley	Step family with no other children present	9
Ringarooma	Intact family with no other children present	26
Risdon	Blended family with no other children present	4
Risdon	Intact family with no other children present	14
Risdon	Step family with no other children present	3
Risdon Vale	Blended family with no other children present	29
Risdon Vale	Intact family with no other children present	154
Risdon Vale	Intact family with other children present	3
Risdon Vale	Other couple family with other children only	3
Risdon Vale	Step family with no other children present	27
Riverside (Tas.)	Blended family with no other children present	37
Riverside (Tas.)	Intact family with no other children present	652
Riverside (Tas.)	Intact family with other children present	6
Riverside (Tas.)	Step family with no other children present	66
Robigana	Intact family with no other children present	15
Rocherlea	Blended family with no other children present	11
Rocherlea	Intact family with no other children present	45
Rocherlea	Step family with no other children present	9
Roches Beach	Intact family with no other children present	25
Rocky Cape	Intact family with no other children present	16
Rocky Cape	Step family with no other children present	4
Rocky Hills	Intact family with no other children present	3
Roger River	Intact family with no other children present	3
Rokeby (Tas.)	Blended family with no other children present	25
Rokeby (Tas.)	Intact family with no other children present	221
Rokeby (Tas.)	Intact family with other children present	10
Rokeby (Tas.)	Other couple family with other children only	3
Rokeby (Tas.)	Step family with no other children present	32
Roland	Intact family with no other children present	8
Romaine	Blended family with no other children present	10
Romaine	Intact family with no other children present	173
Romaine	Step family with no other children present	15
Rose Bay (Tas.)	Blended family with no other children present	6
Rose Bay (Tas.)	Intact family with no other children present	102
Rose Bay (Tas.)	Step family with no other children present	12
Rosebery (Tas.)	Blended family with no other children present	3
Rosebery (Tas.)	Intact family with no other children present	55
Rosebery (Tas.)	Step family with no other children present	4
Rosegarland	Intact family with no other children present	12
Rosegarland	Step family with no other children present	3
Rosetta	Blended family with no other children present	15
