SSC_NAME16	NonSchoolQualification	persons
West Launceston	Postgraduate	157
West Montagu	Certificate III and IV Level	8
West Montagu	Advanced Diploma and Diploma	4
West Moonah	Certificate nfd	58
West Moonah	Certificate I and II Level	54
West Moonah	Certificate III and IV Level	551
West Moonah	Advanced Diploma and Diploma	224
West Moonah	Bachelor	405
West Moonah	Graduate Diploma and Graduate Certificate	56
West Moonah	Postgraduate	107
West Mooreville	Certificate nfd	6
West Mooreville	Certificate III and IV Level	16
West Mooreville	Advanced Diploma and Diploma	5
West Mooreville	Bachelor	7
West Pine	Certificate nfd	3
West Pine	Certificate III and IV Level	15
West Pine	Advanced Diploma and Diploma	3
West Pine	Bachelor	10
West Pine	Graduate Diploma and Graduate Certificate	6
West Ridgley	Certificate III and IV Level	26
West Ridgley	Advanced Diploma and Diploma	9
West Ridgley	Bachelor	5
West Scottsdale	Certificate III and IV Level	13
West Scottsdale	Bachelor	3
West Takone	Certificate III and IV Level	3
West Ulverstone	Certificate nfd	60
West Ulverstone	Certificate I and II Level	68
West Ulverstone	Certificate III and IV Level	694
West Ulverstone	Advanced Diploma and Diploma	209
West Ulverstone	Bachelor	202
West Ulverstone	Graduate Diploma and Graduate Certificate	37
West Ulverstone	Postgraduate	52
Westbury (Tas.)	Certificate nfd	56
Westbury (Tas.)	Certificate I and II Level	29
Westbury (Tas.)	Certificate III and IV Level	271
Westbury (Tas.)	Advanced Diploma and Diploma	128
Westbury (Tas.)	Bachelor	162
Westbury (Tas.)	Graduate Diploma and Graduate Certificate	29
Westbury (Tas.)	Postgraduate	30
Western Creek (Tas.)	Certificate nfd	4
Western Creek (Tas.)	Certificate I and II Level	3
Western Creek (Tas.)	Certificate III and IV Level	21
Western Creek (Tas.)	Advanced Diploma and Diploma	3
Western Creek (Tas.)	Bachelor	13
Western Creek (Tas.)	Postgraduate	3
Western Junction	Certificate III and IV Level	16
Western Junction	Advanced Diploma and Diploma	11
Western Junction	Bachelor	14
Western Junction	Graduate Diploma and Graduate Certificate	3
Westerway	Certificate nfd	7
Westerway	Certificate I and II Level	4
Westerway	Certificate III and IV Level	24
Westerway	Advanced Diploma and Diploma	9
Westerway	Bachelor	4
Westerway	Graduate Diploma and Graduate Certificate	4
Westerway	Postgraduate	5
Westwood (Tas.)	Certificate III and IV Level	7
Westwood (Tas.)	Advanced Diploma and Diploma	9
Westwood (Tas.)	Bachelor	6
Weymouth	Certificate nfd	4
Weymouth	Certificate III and IV Level	15
Weymouth	Advanced Diploma and Diploma	17
Weymouth	Bachelor	10
Weymouth	Graduate Diploma and Graduate Certificate	3
Weymouth	Postgraduate	3
White Beach	Certificate nfd	8
White Beach	Certificate I and II Level	3
White Beach	Certificate III and IV Level	43
White Beach	Advanced Diploma and Diploma	22
White Beach	Bachelor	14
White Beach	Graduate Diploma and Graduate Certificate	5
White Beach	Postgraduate	5
White Hills (Tas.)	Certificate III and IV Level	25
White Hills (Tas.)	Advanced Diploma and Diploma	8
White Hills (Tas.)	Bachelor	18
White Hills (Tas.)	Graduate Diploma and Graduate Certificate	3
White Hills (Tas.)	Postgraduate	6
Whitefoord	Certificate III and IV Level	8
Whitefoord	Advanced Diploma and Diploma	3
Whitemark	Certificate nfd	10
Whitemark	Certificate I and II Level	8
Whitemark	Certificate III and IV Level	48
Whitemark	Advanced Diploma and Diploma	24
Whitemark	Bachelor	30
Whitemark	Graduate Diploma and Graduate Certificate	7
Whitemark	Postgraduate	12
Whitemore	Certificate III and IV Level	39
Whitemore	Advanced Diploma and Diploma	15
Whitemore	Bachelor	14
Whitemore	Graduate Diploma and Graduate Certificate	5
Whitemore	Postgraduate	6
Wickham (Tas.)	Bachelor	3
Wilmot	Certificate nfd	5
Wilmot	Certificate I and II Level	8
Wilmot	Certificate III and IV Level	40
Wilmot	Advanced Diploma and Diploma	21
Wilmot	Bachelor	20
Wilmot	Graduate Diploma and Graduate Certificate	4
Wiltshire	Certificate III and IV Level	4
Windermere (Tas.)	Certificate III and IV Level	30
Windermere (Tas.)	Advanced Diploma and Diploma	25
Windermere (Tas.)	Bachelor	45
Windermere (Tas.)	Graduate Diploma and Graduate Certificate	3
Windermere (Tas.)	Postgraduate	13
Winkleigh	Certificate I and II Level	3
Winkleigh	Certificate III and IV Level	34
Winkleigh	Advanced Diploma and Diploma	15
Winkleigh	Bachelor	10
Winnaleah	Certificate I and II Level	5
Winnaleah	Certificate III and IV Level	32
Winnaleah	Advanced Diploma and Diploma	11
Winnaleah	Bachelor	21
Winnaleah	Graduate Diploma and Graduate Certificate	3
Wivenhoe	Certificate nfd	3
Wivenhoe	Certificate I and II Level	4
Wivenhoe	Certificate III and IV Level	31
Wivenhoe	Advanced Diploma and Diploma	6
Wivenhoe	Bachelor	10
Woodbridge (Tas.)	Certificate nfd	13
Woodbridge (Tas.)	Certificate III and IV Level	66
Woodbridge (Tas.)	Advanced Diploma and Diploma	48
Woodbridge (Tas.)	Bachelor	94
Woodbridge (Tas.)	Graduate Diploma and Graduate Certificate	7
Woodbridge (Tas.)	Postgraduate	26
Woodbury (Tas.)	Certificate III and IV Level	3
Woodbury (Tas.)	Advanced Diploma and Diploma	3
Woodbury (Tas.)	Bachelor	11
Woodsdale	Certificate III and IV Level	13
Woodsdale	Advanced Diploma and Diploma	3
Woodsdale	Bachelor	3
Woodstock (Tas.)	Bachelor	3
Woolnorth	Certificate nfd	4
Woolnorth	Certificate III and IV Level	14
Woolnorth	Advanced Diploma and Diploma	9
Woolnorth	Bachelor	3
Wynyard	Certificate nfd	109
Wynyard	Certificate I and II Level	85
Wynyard	Certificate III and IV Level	982
Wynyard	Advanced Diploma and Diploma	319
Wynyard	Bachelor	316
Wynyard	Graduate Diploma and Graduate Certificate	65
Wynyard	Postgraduate	59
Yambacoona	Certificate III and IV Level	3
Yambacoona	Advanced Diploma and Diploma	4
Yambacoona	Bachelor	5
Yarra Creek	Certificate nfd	4
Yarra Creek	Certificate III and IV Level	8
Yolla	Certificate nfd	6
Yolla	Certificate I and II Level	5
Yolla	Certificate III and IV Level	69
Yolla	Advanced Diploma and Diploma	16
Yolla	Bachelor	18
York Plains (Tas.)	Certificate III and IV Level	4
York Plains (Tas.)	Advanced Diploma and Diploma	3
York Plains (Tas.)	Bachelor	4
York Town	Certificate III and IV Level	17
York Town	Advanced Diploma and Diploma	4
York Town	Bachelor	4
Youngtown	Certificate nfd	68
Youngtown	Certificate I and II Level	59
Youngtown	Certificate III and IV Level	670
Youngtown	Advanced Diploma and Diploma	258
Youngtown	Bachelor	256
Youngtown	Graduate Diploma and Graduate Certificate	53
Youngtown	Postgraduate	45
Zeehan	Certificate nfd	15
Zeehan	Certificate I and II Level	9
Zeehan	Certificate III and IV Level	106
Zeehan	Advanced Diploma and Diploma	26
Zeehan	Bachelor	18
Zeehan	Graduate Diploma and Graduate Certificate	3
Zeehan	Postgraduate	6
No usual address (Tas.)	Certificate nfd	13
No usual address (Tas.)	Certificate I and II Level	16
No usual address (Tas.)	Certificate III and IV Level	120
No usual address (Tas.)	Advanced Diploma and Diploma	59
No usual address (Tas.)	Bachelor	77
No usual address (Tas.)	Graduate Diploma and Graduate Certificate	6
No usual address (Tas.)	Postgraduate	31
Migratory - Offshore - Shipping (Tas.)	Certificate III and IV Level	21
Migratory - Offshore - Shipping (Tas.)	Advanced Diploma and Diploma	10
Migratory - Offshore - Shipping (Tas.)	Bachelor	6
Acacia Hills (NT)	Certificate nfd	10
Acacia Hills (NT)	Certificate I and II Level	12
Acacia Hills (NT)	Certificate III and IV Level	148
Acacia Hills (NT)	Advanced Diploma and Diploma	30
Acacia Hills (NT)	Bachelor	31
Acacia Hills (NT)	Graduate Diploma and Graduate Certificate	7
Acacia Hills (NT)	Postgraduate	9
Adelaide River	Certificate nfd	7
Adelaide River	Certificate I and II Level	9
Adelaide River	Certificate III and IV Level	48
Adelaide River	Advanced Diploma and Diploma	11
Adelaide River	Bachelor	17
Adelaide River	Postgraduate	3
Alawa	Certificate nfd	30
Alawa	Certificate I and II Level	18
Alawa	Certificate III and IV Level	247
Alawa	Advanced Diploma and Diploma	146
Alawa	Bachelor	255
Alawa	Graduate Diploma and Graduate Certificate	60
Alawa	Postgraduate	107
Ali Curung	Certificate I and II Level	5
Ali Curung	Certificate III and IV Level	14
Ali Curung	Advanced Diploma and Diploma	6
Ali Curung	Bachelor	9
Ali Curung	Graduate Diploma and Graduate Certificate	3
Alice Springs	Certificate nfd	3
Alice Springs	Certificate III and IV Level	16
Alice Springs	Advanced Diploma and Diploma	20
Alice Springs	Bachelor	36
Alice Springs	Postgraduate	16
Alpurrurulam	Certificate nfd	4
Alpurrurulam	Certificate I and II Level	6
Alpurrurulam	Certificate III and IV Level	21
Alpurrurulam	Bachelor	12
Alpurrurulam	Graduate Diploma and Graduate Certificate	3
Alyangula	Certificate nfd	9
Alyangula	Certificate I and II Level	6
Alyangula	Certificate III and IV Level	133
Alyangula	Advanced Diploma and Diploma	66
Alyangula	Bachelor	119
Alyangula	Graduate Diploma and Graduate Certificate	14
Alyangula	Postgraduate	33
Amoonguna	Certificate nfd	4
Amoonguna	Certificate I and II Level	10
Amoonguna	Certificate III and IV Level	5
Amoonguna	Bachelor	8
Ampilatwatja	Certificate I and II Level	3
Ampilatwatja	Certificate III and IV Level	10
Ampilatwatja	Advanced Diploma and Diploma	3
Ampilatwatja	Bachelor	10
Ampilatwatja	Graduate Diploma and Graduate Certificate	3
Anatye	Certificate nfd	6
Anatye	Certificate I and II Level	4
Anatye	Certificate III and IV Level	7
Anatye	Advanced Diploma and Diploma	3
Angurugu	Certificate nfd	11
Angurugu	Certificate III and IV Level	17
Angurugu	Advanced Diploma and Diploma	3
Angurugu	Bachelor	9
Anindilyakwa	Certificate III and IV Level	3
Anmatjere	Certificate III and IV Level	7
Anmatjere	Advanced Diploma and Diploma	4
Anmatjere	Bachelor	9
Anula	Certificate nfd	37
Anula	Certificate I and II Level	30
Anula	Certificate III and IV Level	355
Anula	Advanced Diploma and Diploma	159
Anula	Bachelor	222
Anula	Graduate Diploma and Graduate Certificate	40
Anula	Postgraduate	75
Araluen (NT)	Certificate nfd	32
Araluen (NT)	Certificate I and II Level	30
Araluen (NT)	Certificate III and IV Level	363
Araluen (NT)	Advanced Diploma and Diploma	213
Araluen (NT)	Bachelor	300
Araluen (NT)	Graduate Diploma and Graduate Certificate	57
Araluen (NT)	Postgraduate	115
Areyonga	Certificate I and II Level	3
Areyonga	Certificate III and IV Level	4
Areyonga	Advanced Diploma and Diploma	6
Areyonga	Bachelor	5
Arumbera	Certificate nfd	5
Arumbera	Certificate III and IV Level	17
Arumbera	Advanced Diploma and Diploma	5
Arumbera	Bachelor	17
Atitjere	Certificate nfd	21
Atitjere	Certificate I and II Level	10
Atitjere	Certificate III and IV Level	23
Atitjere	Advanced Diploma and Diploma	5
Atitjere	Bachelor	5
Baines	Certificate I and II Level	7
Baines	Certificate III and IV Level	10
Baines	Advanced Diploma and Diploma	8
Baines	Bachelor	5
Bakewell	Certificate nfd	51
Bakewell	Certificate I and II Level	45
Bakewell	Certificate III and IV Level	623
Bakewell	Advanced Diploma and Diploma	199
Bakewell	Bachelor	220
Bakewell	Graduate Diploma and Graduate Certificate	37
Bakewell	Postgraduate	39
Barunga	Certificate nfd	7
Barunga	Certificate I and II Level	28
Barunga	Certificate III and IV Level	20
Barunga	Advanced Diploma and Diploma	9
Barunga	Bachelor	11
Barunga	Graduate Diploma and Graduate Certificate	3
Batchelor	Certificate nfd	11
Batchelor	Certificate I and II Level	21
Batchelor	Certificate III and IV Level	51
Batchelor	Advanced Diploma and Diploma	20
Batchelor	Bachelor	30
Batchelor	Graduate Diploma and Graduate Certificate	6
Batchelor	Postgraduate	9
Bayview (NT)	Certificate nfd	14
Bayview (NT)	Certificate I and II Level	9
Bayview (NT)	Certificate III and IV Level	269
Bayview (NT)	Advanced Diploma and Diploma	158
Bayview (NT)	Bachelor	258
Bayview (NT)	Graduate Diploma and Graduate Certificate	36
Bayview (NT)	Postgraduate	73
Bees Creek	Certificate nfd	19
Bees Creek	Certificate I and II Level	3
Bees Creek	Certificate III and IV Level	192
Bees Creek	Advanced Diploma and Diploma	63
Bees Creek	Bachelor	58
Bees Creek	Graduate Diploma and Graduate Certificate	13
Bees Creek	Postgraduate	10
Bellamack	Certificate nfd	40
Bellamack	Certificate I and II Level	21
Bellamack	Certificate III and IV Level	450
Bellamack	Advanced Diploma and Diploma	163
Bellamack	Bachelor	193
Bellamack	Graduate Diploma and Graduate Certificate	16
Bellamack	Postgraduate	53
Belyuen	Certificate nfd	3
Belyuen	Certificate I and II Level	9
Belyuen	Certificate III and IV Level	3
Berrimah	Certificate nfd	11
Berrimah	Certificate I and II Level	5
Berrimah	Certificate III and IV Level	84
Berrimah	Advanced Diploma and Diploma	46
Berrimah	Bachelor	46
Berrimah	Graduate Diploma and Graduate Certificate	4
Berrimah	Postgraduate	19
Berry Springs	Certificate nfd	12
Berry Springs	Certificate I and II Level	10
Berry Springs	Certificate III and IV Level	182
Berry Springs	Advanced Diploma and Diploma	50
Berry Springs	Bachelor	42
Berry Springs	Graduate Diploma and Graduate Certificate	12
Berry Springs	Postgraduate	13
Beswick	Certificate nfd	3
Beswick	Certificate I and II Level	20
Beswick	Certificate III and IV Level	23
Beswick	Advanced Diploma and Diploma	3
Beswick	Bachelor	3
Binjari	Certificate I and II Level	3
Binjari	Certificate III and IV Level	3
Binjari	Bachelor	5
Birdum	Certificate nfd	3
Birdum	Certificate III and IV Level	11
Birdum	Advanced Diploma and Diploma	5
Birdum	Bachelor	8
Blackmore	Certificate III and IV Level	3
Borroloola	Certificate nfd	14
Borroloola	Certificate I and II Level	4
Borroloola	Certificate III and IV Level	68
Borroloola	Advanced Diploma and Diploma	20
Borroloola	Bachelor	28
Borroloola	Graduate Diploma and Graduate Certificate	9
Borroloola	Postgraduate	4
Bradshaw	Certificate III and IV Level	3
Braitling	Certificate nfd	51
Braitling	Certificate I and II Level	37
Braitling	Certificate III and IV Level	472
Braitling	Advanced Diploma and Diploma	193
Braitling	Bachelor	280
Braitling	Graduate Diploma and Graduate Certificate	72
Braitling	Postgraduate	97
Brinkin	Certificate nfd	12
Brinkin	Certificate III and IV Level	109
Brinkin	Advanced Diploma and Diploma	81
Brinkin	Bachelor	282
Brinkin	Graduate Diploma and Graduate Certificate	31
Brinkin	Postgraduate	125
Buchanan (NT)	Certificate I and II Level	3
Buchanan (NT)	Certificate III and IV Level	11
Buchanan (NT)	Advanced Diploma and Diploma	8
Bulman Weemol	Certificate nfd	11
Bulman Weemol	Certificate I and II Level	14
Bulman Weemol	Certificate III and IV Level	12
Bulman Weemol	Advanced Diploma and Diploma	3
Bulman Weemol	Bachelor	4
Bulman Weemol	Graduate Diploma and Graduate Certificate	3
Burrundie	Certificate III and IV Level	9
Burt Plain	Certificate nfd	11
Burt Plain	Certificate III and IV Level	20
Burt Plain	Advanced Diploma and Diploma	3
Burt Plain	Bachelor	3
Bynoe	Certificate III and IV Level	24
Bynoe	Advanced Diploma and Diploma	3
Calvert (NT)	Bachelor	3
Canteen Creek	Certificate nfd	4
Canteen Creek	Certificate III and IV Level	11
Canteen Creek	Bachelor	7
Casuarina (NT)	Certificate nfd	4
Casuarina (NT)	Certificate III and IV Level	24
Casuarina (NT)	Advanced Diploma and Diploma	19
Casuarina (NT)	Bachelor	74
Casuarina (NT)	Graduate Diploma and Graduate Certificate	3
Casuarina (NT)	Postgraduate	32
Charlotte	Advanced Diploma and Diploma	3
Ciccone	Certificate nfd	3
Ciccone	Certificate I and II Level	3
Ciccone	Certificate III and IV Level	33
Ciccone	Advanced Diploma and Diploma	10
Ciccone	Bachelor	12
Ciccone	Graduate Diploma and Graduate Certificate	3
Ciccone	Postgraduate	3
Claravale	Certificate III and IV Level	3
Coconut Grove	Certificate nfd	40
Coconut Grove	Certificate I and II Level	43
Coconut Grove	Certificate III and IV Level	330
Coconut Grove	Advanced Diploma and Diploma	185
Coconut Grove	Bachelor	451
Coconut Grove	Graduate Diploma and Graduate Certificate	49
Coconut Grove	Postgraduate	146
Connellan	Certificate nfd	7
Connellan	Certificate I and II Level	3
Connellan	Certificate III and IV Level	71
Connellan	Advanced Diploma and Diploma	31
Connellan	Bachelor	31
Connellan	Graduate Diploma and Graduate Certificate	8
Connellan	Postgraduate	12
Coolalinga	Certificate nfd	7
Coolalinga	Certificate I and II Level	19
Coolalinga	Certificate III and IV Level	139
Coolalinga	Advanced Diploma and Diploma	29
Coolalinga	Bachelor	16
Coolalinga	Graduate Diploma and Graduate Certificate	4
Coolalinga	Postgraduate	4
Coomalie Creek	Bachelor	3
Coonawarra (NT)	Certificate III and IV Level	20
Coonawarra (NT)	Advanced Diploma and Diploma	5
Coonawarra (NT)	Bachelor	5
Coonawarra (NT)	Graduate Diploma and Graduate Certificate	3
Cossack (NT)	Certificate nfd	12
Cossack (NT)	Certificate I and II Level	10
Cossack (NT)	Certificate III and IV Level	170
Cossack (NT)	Advanced Diploma and Diploma	72
Cossack (NT)	Bachelor	87
Cossack (NT)	Graduate Diploma and Graduate Certificate	24
Cossack (NT)	Postgraduate	21
Cox Peninsula	Certificate III and IV Level	4
Creswell	Certificate III and IV Level	12
Creswell	Advanced Diploma and Diploma	6
Creswell	Bachelor	6
Daguragu	Certificate nfd	5
Daguragu	Certificate I and II Level	3
Daguragu	Certificate III and IV Level	10
Daly River	Certificate I and II Level	4
Daly River	Certificate III and IV Level	21
Daly River	Advanced Diploma and Diploma	5
Daly River	Bachelor	5
Daly River	Postgraduate	3
Darwin City	Certificate nfd	91
Darwin City	Certificate I and II Level	48
Darwin City	Certificate III and IV Level	814
Darwin City	Advanced Diploma and Diploma	564
Darwin City	Bachelor	1271
Darwin City	Graduate Diploma and Graduate Certificate	127
Darwin City	Postgraduate	437
Darwin River	Certificate nfd	12
Darwin River	Certificate I and II Level	10
Darwin River	Certificate III and IV Level	126
Darwin River	Advanced Diploma and Diploma	31
Darwin River	Bachelor	35
Darwin River	Graduate Diploma and Graduate Certificate	6
Darwin River	Postgraduate	4
Davenport (NT)	Certificate I and II Level	4
Davenport (NT)	Certificate III and IV Level	21
Davenport (NT)	Advanced Diploma and Diploma	5
Davenport (NT)	Bachelor	3
Davenport (NT)	Postgraduate	4
Delamere (NT)	Certificate nfd	4
Delamere (NT)	Certificate I and II Level	3
Delamere (NT)	Certificate III and IV Level	13
Desert Springs	Certificate nfd	21
Desert Springs	Certificate I and II Level	9
Desert Springs	Certificate III and IV Level	193
Desert Springs	Advanced Diploma and Diploma	123
Desert Springs	Bachelor	206
Desert Springs	Graduate Diploma and Graduate Certificate	35
Desert Springs	Postgraduate	73
Douglas-Daly	Certificate I and II Level	7
Douglas-Daly	Certificate III and IV Level	37
Douglas-Daly	Advanced Diploma and Diploma	7
Douglas-Daly	Bachelor	28
Douglas-Daly	Postgraduate	6
Driver	Certificate nfd	29
Driver	Certificate I and II Level	45
Driver	Certificate III and IV Level	481
Driver	Advanced Diploma and Diploma	200
Driver	Bachelor	209
Driver	Graduate Diploma and Graduate Certificate	44
Driver	Postgraduate	57
Dundee Beach	Certificate nfd	4
Dundee Beach	Certificate I and II Level	7
Dundee Beach	Certificate III and IV Level	38
Dundee Beach	Advanced Diploma and Diploma	9
Dundee Beach	Bachelor	10
Dundee Beach	Graduate Diploma and Graduate Certificate	3
Dundee Downs	Certificate III and IV Level	24
Dundee Forest	Certificate nfd	3
Dundee Forest	Certificate I and II Level	4
Dundee Forest	Certificate III and IV Level	18
Dundee Forest	Bachelor	7
Durack (NT)	Certificate nfd	36
Durack (NT)	Certificate I and II Level	49
Durack (NT)	Certificate III and IV Level	613
Durack (NT)	Advanced Diploma and Diploma	290
Durack (NT)	Bachelor	365
Durack (NT)	Graduate Diploma and Graduate Certificate	60
Durack (NT)	Postgraduate	83
East Arnhem	Certificate nfd	8
East Arnhem	Certificate I and II Level	35
East Arnhem	Certificate III and IV Level	26
East Arnhem	Advanced Diploma and Diploma	8
East Arnhem	Bachelor	4
East Arnhem	Postgraduate	3
East Point	Certificate III and IV Level	6
East Side	Certificate nfd	35
East Side	Certificate I and II Level	29
East Side	Certificate III and IV Level	336
East Side	Advanced Diploma and Diploma	180
East Side	Bachelor	447
East Side	Graduate Diploma and Graduate Certificate	108
East Side	Postgraduate	216
Eaton (NT)	Certificate I and II Level	6
Eaton (NT)	Certificate III and IV Level	61
Eaton (NT)	Advanced Diploma and Diploma	13
Eaton (NT)	Bachelor	18
Eaton (NT)	Postgraduate	3
Edith (NT)	Certificate nfd	3
Edith (NT)	Certificate III and IV Level	31
Edith (NT)	Advanced Diploma and Diploma	7
Edith (NT)	Bachelor	4
Elliott (NT)	Certificate nfd	9
Elliott (NT)	Certificate I and II Level	15
Elliott (NT)	Certificate III and IV Level	56
Elliott (NT)	Advanced Diploma and Diploma	5
Elliott (NT)	Bachelor	5
Elliott (NT)	Postgraduate	3
Elsey	Certificate nfd	3
Elsey	Certificate III and IV Level	4
Elsey	Advanced Diploma and Diploma	4
Elsey	Bachelor	4
Emungalan	Certificate nfd	8
Emungalan	Certificate I and II Level	3
Emungalan	Certificate III and IV Level	30
Emungalan	Advanced Diploma and Diploma	4
Emungalan	Bachelor	6
Engawala	Certificate nfd	7
Engawala	Certificate I and II Level	4
Engawala	Certificate III and IV Level	18
Eva Valley	Certificate I and II Level	3
Eva Valley	Certificate III and IV Level	14
Eva Valley	Advanced Diploma and Diploma	3
Eva Valley	Bachelor	6
Fannie Bay	Certificate nfd	31
Fannie Bay	Certificate I and II Level	9
Fannie Bay	Certificate III and IV Level	287
Fannie Bay	Advanced Diploma and Diploma	211
Fannie Bay	Bachelor	455
Fannie Bay	Graduate Diploma and Graduate Certificate	87
Fannie Bay	Postgraduate	174
Farrar	Certificate nfd	21
Farrar	Certificate I and II Level	10
Farrar	Certificate III and IV Level	308
Farrar	Advanced Diploma and Diploma	127
Farrar	Bachelor	102
Farrar	Graduate Diploma and Graduate Certificate	23
Farrar	Postgraduate	25
Finke	Certificate nfd	3
Finke	Certificate I and II Level	8
Finke	Certificate III and IV Level	15
Finke	Advanced Diploma and Diploma	5
Finke	Bachelor	3
Finniss Valley	Certificate III and IV Level	8
Finniss Valley	Advanced Diploma and Diploma	3
Finniss Valley	Bachelor	3
Finniss Valley	Postgraduate	3
Florina	Certificate nfd	3
Florina	Certificate III and IV Level	7
Florina	Advanced Diploma and Diploma	9
Florina	Bachelor	9
Fly Creek	Certificate nfd	7
Fly Creek	Certificate III and IV Level	27
Fly Creek	Advanced Diploma and Diploma	7
Fly Creek	Bachelor	13
Flying Fox (NT)	Certificate I and II Level	4
Flying Fox (NT)	Certificate III and IV Level	5
Flynn (NT)	Certificate nfd	3
Freds Pass	Certificate nfd	3
Freds Pass	Certificate III and IV Level	7
Freds Pass	Advanced Diploma and Diploma	3
Galiwinku	Certificate nfd	23
Galiwinku	Certificate I and II Level	51
Galiwinku	Certificate III and IV Level	82
Galiwinku	Advanced Diploma and Diploma	29
Galiwinku	Bachelor	26
Galiwinku	Graduate Diploma and Graduate Certificate	17
Galiwinku	Postgraduate	12
Gapuwiyak	Certificate I and II Level	15
Gapuwiyak	Certificate III and IV Level	23
Gapuwiyak	Advanced Diploma and Diploma	17
Gapuwiyak	Bachelor	13
Gapuwiyak	Postgraduate	9
Ghan	Certificate I and II Level	4
Ghan	Certificate III and IV Level	12
Ghan	Advanced Diploma and Diploma	4
Ghan	Bachelor	3
Gillen	Certificate nfd	68
Gillen	Certificate I and II Level	32
Gillen	Certificate III and IV Level	562
Gillen	Advanced Diploma and Diploma	273
Gillen	Bachelor	483
Gillen	Graduate Diploma and Graduate Certificate	79
Gillen	Postgraduate	118
Girraween (NT)	Certificate nfd	27
Girraween (NT)	Certificate I and II Level	15
Girraween (NT)	Certificate III and IV Level	359
Girraween (NT)	Advanced Diploma and Diploma	116
Girraween (NT)	Bachelor	103
Girraween (NT)	Graduate Diploma and Graduate Certificate	29
Girraween (NT)	Postgraduate	24
Gray (NT)	Certificate nfd	49
Gray (NT)	Certificate I and II Level	48
Gray (NT)	Certificate III and IV Level	484
Gray (NT)	Advanced Diploma and Diploma	179
Gray (NT)	Bachelor	220
Gray (NT)	Graduate Diploma and Graduate Certificate	40
Gray (NT)	Postgraduate	40
Gregory (NT)	Certificate III and IV Level	4
Gunbalanya	Certificate nfd	18
Gunbalanya	Certificate I and II Level	9
Gunbalanya	Certificate III and IV Level	54
Gunbalanya	Advanced Diploma and Diploma	16
Gunbalanya	Bachelor	25
Gunbalanya	Graduate Diploma and Graduate Certificate	3
Gunbalanya	Postgraduate	4
Gunn	Certificate nfd	43
Gunn	Certificate I and II Level	36
Gunn	Certificate III and IV Level	495
Gunn	Advanced Diploma and Diploma	230
Gunn	Bachelor	184
Gunn	Graduate Diploma and Graduate Certificate	53
Gunn	Postgraduate	52
Gunyangara	Certificate III and IV Level	6
Gunyangara	Advanced Diploma and Diploma	3
Gunyangara	Bachelor	3
Gurindji	Certificate III and IV Level	3
Haasts Bluff	Certificate I and II Level	4
Haasts Bluff	Certificate III and IV Level	11
Haasts Bluff	Bachelor	9
Hale	Certificate III and IV Level	4
Hale	Advanced Diploma and Diploma	3
Hale	Bachelor	3
Hart (NT)	Certificate nfd	5
Hart (NT)	Certificate I and II Level	5
Hart (NT)	Certificate III and IV Level	12
Hart (NT)	Bachelor	3
Herbert	Certificate nfd	23
Herbert	Certificate I and II Level	27
Herbert	Certificate III and IV Level	369
Herbert	Advanced Diploma and Diploma	132
Herbert	Bachelor	91
Herbert	Graduate Diploma and Graduate Certificate	25
Herbert	Postgraduate	16
Hermannsburg	Certificate nfd	6
Hermannsburg	Certificate I and II Level	27
Hermannsburg	Certificate III and IV Level	26
Hermannsburg	Advanced Diploma and Diploma	12
Hermannsburg	Bachelor	21
Hermannsburg	Graduate Diploma and Graduate Certificate	3
Hermannsburg	Postgraduate	10
Holtze	Certificate nfd	12
Holtze	Certificate I and II Level	22
Holtze	Certificate III and IV Level	191
Holtze	Advanced Diploma and Diploma	62
Holtze	Bachelor	69
Holtze	Graduate Diploma and Graduate Certificate	5
Holtze	Postgraduate	11
Howard Springs	Certificate nfd	58
Howard Springs	Certificate I and II Level	37
Howard Springs	Certificate III and IV Level	1203
Howard Springs	Advanced Diploma and Diploma	264
Howard Springs	Bachelor	297
Howard Springs	Graduate Diploma and Graduate Certificate	44
Howard Springs	Postgraduate	67
Hugh	Certificate nfd	3
Hugh	Certificate I and II Level	5
Hugh	Certificate III and IV Level	11
Hugh	Advanced Diploma and Diploma	9
Hugh	Bachelor	8
Hughes (NT)	Certificate nfd	3
Hughes (NT)	Certificate III and IV Level	23
Hughes (NT)	Advanced Diploma and Diploma	3
Hughes (NT)	Bachelor	4
Humpty Doo	Certificate nfd	84
Humpty Doo	Certificate I and II Level	59
Humpty Doo	Certificate III and IV Level	932
Humpty Doo	Advanced Diploma and Diploma	239
Humpty Doo	Bachelor	248
Humpty Doo	Graduate Diploma and Graduate Certificate	47
Humpty Doo	Postgraduate	38
Ilparpa	Certificate I and II Level	4
Ilparpa	Certificate III and IV Level	71
Ilparpa	Advanced Diploma and Diploma	26
Ilparpa	Bachelor	38
Ilparpa	Graduate Diploma and Graduate Certificate	12
Ilparpa	Postgraduate	15
Imanpa	Certificate nfd	3
Imanpa	Certificate III and IV Level	4
Jabiru	Certificate nfd	6
Jabiru	Certificate I and II Level	11
Jabiru	Certificate III and IV Level	159
Jabiru	Advanced Diploma and Diploma	66
Jabiru	Bachelor	96
Jabiru	Graduate Diploma and Graduate Certificate	20
Jabiru	Postgraduate	28
Jilkminggan	Certificate III and IV Level	5
Jilkminggan	Advanced Diploma and Diploma	3
Jilkminggan	Bachelor	3
Jingili	Certificate nfd	31
