SSC_NAME16	Sex	employmentToPopulation
Brombin	F	54.5
Brombin	M	62
Bronte	F	62.9
Bronte	M	72.1
Brookdale (NSW)	M	100
Brookfield (NSW)	F	52.2
Brookfield (NSW)	M	59.5
Brooklana	F	56.3
Brooklana	M	51.9
Brooklet	F	49.1
Brooklet	M	63
Brooklyn (NSW)	F	60.5
Brooklyn (NSW)	M	66.9
Brookvale	F	66.4
Brookvale	M	73.3
Brooman	F	66.7
Brooman	M	50
Brooms Head	F	24.7
Brooms Head	M	29.8
Broughams Gate	M	100
Broughton (NSW)	F	40
Broughton (NSW)	M	60.6
Broughton Vale	F	40.3
Broughton Vale	M	46.6
Broughton Village	F	72.5
Broughton Village	M	88.9
Broulee	F	41.7
Broulee	M	49
Brownlow Hill	F	42.5
Brownlow Hill	M	60.6
Browns Creek	F	72.5
Browns Creek	M	73.9
Browns Mountain	F	33.3
Browns Mountain	M	60
Brownsville	F	42.6
Brownsville	M	44.5
Brucedale	F	70.8
Brucedale	M	58.7
Bruie Plains	F	70
Bruie Plains	M	55
Bruinbun	F	15.8
Bruinbun	M	50
Brundee	F	61.9
Brundee	M	80
Brungle	F	28.9
Brungle	M	38.1
Brungle Creek	F	70
Brungle Creek	M	61.1
Brunkerville	F	61.1
Brunkerville	M	64.6
Brunswick Heads	F	43.2
Brunswick Heads	M	47.3
Brushgrove	F	30.7
Brushgrove	M	41.4
Brushy Creek	F	125
Brushy Creek	M	160
Bucca (NSW)	F	60.8
Bucca (NSW)	M	59.1
Bucca Wauka	F	21.2
Bucca Wauka	M	57.1
Buccarumbi	F	60
Buccarumbi	M	27.3
Buchanan (NSW)	F	55.4
Buchanan (NSW)	M	57.7
Buckajo	F	56.7
Buckajo	M	69.5
Buckaroo	F	44.6
Buckaroo	M	66.7
Buckenbowra	M	42.9
Buckenderra	F	27.3
Buckenderra	M	30.8
Buckendoon	F	25
Buckendoon	M	76.9
Bucketty	F	54.2
Bucketty	M	46.6
Buckra Bendinni	F	46.2
Buckra Bendinni	M	31.5
Buddabadah	F	63.6
Buddabadah	M	88.9
Budden	F	30
Budden	M	50
Budgee Budgee (NSW)	F	58.7
Budgee Budgee (NSW)	M	70.7
Budgewoi	F	44.9
Budgewoi	M	50.1
Budgong	F	41.4
Budgong	M	51.9
Buff Point	F	42.8
Buff Point	M	52.3
Bugaldie	F	48.3
Bugaldie	M	49.2
Bukkulla	F	63
Bukkulla	M	72.7
Bulahdelah	F	40.1
Bulahdelah	M	40.4
Bulga (NSW)	F	50.3
Bulga (NSW)	M	60.4
Bulgary	F	60
Bulla (NSW)	M	100
Bulla Creek	F	54.5
Bulla Creek	M	78.9
Bullaburra	F	55.1
Bullaburra	M	60.9
Bullagreen	F	76.9
Bullagreen	M	73.3
Bullarah	F	72.7
Bullarah	M	71.4
Bullatale	F	44.4
Bullatale	M	94.1
Bullawa Creek	F	37
Bullawa Creek	M	50
Bulli	F	59.5
Bulli	M	65.2
Bulliac	F	52.9
Bulliac	M	58.8
Bullio	F	73.3
Bullio	M	74.3
Bulyeroi	M	100
Bumbaldry	F	37.5
Bumbaldry	M	40.7
Bumbalong	F	60
Bumbalong	M	80
Bundabah	F	31.8
Bundabah	M	53.2
Bundagen	F	40.7
Bundagen	M	21.9
Bundanoon (NSW)	F	40.3
Bundanoon (NSW)	M	48
Bundarra	F	39.3
Bundarra	M	43.1
Bundeena	F	54.1
Bundeena	M	64.6
Bundella	F	72
Bundella	M	68
Bundemar	F	72.2
Bundemar	M	87.5
Bundewallah	F	55
Bundewallah	M	30.8
Bundook	F	25.6
Bundook	M	39.1
Bundure	M	75
Bungaba	F	33.3
Bungaba	M	29.4
Bungalora	F	60
Bungalora	M	52
Bungarby	F	37.9
Bungarby	M	42.4
Bungarribee	F	66.2
Bungarribee	M	78.3
Bungawalbin	F	43.9
Bungawalbin	M	53.3
Bungendore	F	68
Bungendore	M	73.2
Bungonia	F	45.2
Bungonia	M	52.5
Bungowannah	F	74.6
Bungowannah	M	81.2
Bungwahl	F	36.6
Bungwahl	M	56.6
Bunnaloo	F	63.2
Bunnaloo	M	71.1
Bunnan	F	60
Bunnan	M	47.7
Bunyah	F	56.5
Bunyah	M	39.1
Bunyan	F	65
Bunyan	M	54.5
Burcher	F	24.2
Burcher	M	48.6
Bureen	F	35
Bureen	M	72
Burnt Bridge	F	25
Burnt Bridge	M	12.3
Burnt Yards	F	37.5
Burnt Yards	M	100
Buronga	F	55.5
Buronga	M	54.4
Burra (Queanbeyan-Palerang Regional - NSW)	F	57.7
Burra (Queanbeyan-Palerang Regional - NSW)	M	60.2
Burra (Snowy Valleys - NSW)	F	51.9
Burra (Snowy Valleys - NSW)	M	52.6
Burra Creek	F	54.1
Burra Creek	M	80
Burraboi	F	62.1
Burraboi	M	74.1
Burradoo	F	35
Burradoo	M	46.5
Burraga	F	35.3
Burraga	M	61
Burragate	F	42.2
Burragate	M	38.3
Burrandana	F	100
Burrandana	M	125
Burraneer	F	61.4
Burraneer	M	69.4
Burrangong	F	54.5
Burrangong	M	60.4
Burrapine	F	13
Burrapine	M	23.1
Burrawang	F	50.6
Burrawang	M	59
Burrell Creek	F	43.4
Burrell Creek	M	54.5
Burren Junction	F	52
Burren Junction	M	67.2
Burrier	F	47.6
Burrier	M	68.2
Burrill Lake	F	42.2
Burrill Lake	M	43.4
Burringbar	F	51.8
Burringbar	M	56.5
Burrinjuck	M	37.5
Burroway	F	61.4
Burroway	M	72.7
Burrumbuttock	F	64.3
Burrumbuttock	M	68.9
Burrundulla	F	64.8
Burrundulla	M	69.8
Burwood (NSW)	F	45.5
Burwood (NSW)	M	54.3
Burwood Heights	F	47.4
Burwood Heights	M	59.7
Busby	F	30.9
Busby	M	43.8
Busbys Flat	F	37.5
Busbys Flat	M	58.8
Buttaba	F	51.8
Buttaba	M	56.6
Buttai	F	53.6
Buttai	M	78.3
Butterwick	F	59.7
Butterwick	M	71.9
Buxton (NSW)	F	61.2
Buxton (NSW)	M	72.7
Byabarra	F	54.3
Byabarra	M	61.7
Byangum	F	52.5
Byangum	M	56.1
Bylong	F	69.2
Bylong	M	142.9
Byng	F	52.2
Byng	M	75
Byrock	F	53.3
Byrock	M	21.7
Byron Bay	F	47.7
Byron Bay	M	49.4
Byrrill Creek	F	44.2
Byrrill Creek	M	36.5
Bywong	F	64.7
Bywong	M	66.9
Cabarita (NSW)	F	54.9
Cabarita (NSW)	M	62.9
Cabarita Beach	F	45.7
Cabarita Beach	M	50
Cabbage Tree Island (Ballina - NSW)	F	18.2
Cabbage Tree Island (Ballina - NSW)	M	12.5
Cabramatta	F	34.6
Cabramatta	M	49.3
Cabramatta West	F	37.4
Cabramatta West	M	51
Cabramurra	F	41.7
Cabramurra	M	27.8
Caddens	F	50
Caddens	M	64.9
Cadgee (NSW)	F	55
Cadgee (NSW)	M	21.4
Caffreys Flat	F	22.2
Caffreys Flat	M	43.5
Calala	F	59.8
Calala	M	64.9
Calderwood	F	72.1
Calderwood	M	63.2
Caldwell	F	21.4
Caldwell	M	50
Calga	F	53.1
Calga	M	64.2
Califat	F	75
Califat	M	100
Calimo	F	51.9
Calimo	M	60.6
Callaghan	F	38
Callaghan	M	29.8
Callala Bay	F	44.7
Callala Bay	M	45.3
Callala Beach	F	36.6
Callala Beach	M	39.8
Calliope (NSW)	F	42.9
Calliope (NSW)	M	43.6
Caloola	F	53.3
Caloola	M	61.1
Camberwell (NSW)	F	31.3
Camberwell (NSW)	M	60.6
Cambewarra	F	62.9
Cambewarra	M	75.5
Cambewarra Village	F	64
Cambewarra Village	M	68.4
Camboon (NSW)	F	85.7
Camboon (NSW)	M	57.1
Cambra	F	66.7
Cambra	M	93.8
Cambridge Gardens	F	60.2
Cambridge Gardens	M	70.6
Cambridge Park	F	53.1
Cambridge Park	M	63.4
Camden	F	50.2
Camden	M	63.8
Camden Head	F	28.6
Camden Head	M	37.3
Camden Park (NSW)	F	69.1
Camden Park (NSW)	M	79.9
Camden South	F	59.5
Camden South	M	69.4
Cameron Park	F	65.6
Cameron Park	M	73.7
Camerons Creek	F	15.8
Camerons Creek	M	55
Camira (NSW)	F	33.3
Camira (NSW)	M	16.7
Cammeray	F	67.1
Cammeray	M	74.1
Camp Creek (NSW)	F	55.6
Camp Creek (NSW)	M	72.7
Campbelltown (NSW)	F	43.9
Campbelltown (NSW)	M	57
Camperdown (NSW)	F	61
Camperdown (NSW)	M	63.3
Campsie	F	46.1
Campsie	M	59.5
Campvale	F	64.3
Campvale	M	68
Cams Wharf	F	58.1
Cams Wharf	M	51.8
Canada Bay	F	56.8
Canada Bay	M	63.7
Canbelego	F	40
Canbelego	M	57.9
Candelo	F	55.3
Candelo	M	53.5
Cangai	F	18.8
Cangai	M	58.8
Caniaba	F	68.1
Caniaba	M	62.7
Canley Heights	F	39
Canley Heights	M	52.2
Canley Vale	F	36.5
Canley Vale	M	48.6
Canobolas	F	68.1
Canobolas	M	67
Canoelands	F	65.2
Canoelands	M	66.2
Canonba	F	66.7
Canonba	M	62.5
Canowindra	F	47.4
Canowindra	M	56.5
Canterbury (NSW)	F	54.7
Canterbury (NSW)	M	64.6
Canton Beach	F	21.7
Canton Beach	M	31.1
Canyonleigh	F	57.6
Canyonleigh	M	66
Caparra	F	25
Caparra	M	41.2
Capeen Creek	M	100
Capertee	F	46.6
Capertee	M	38.1
Captains Flat	F	58.5
Captains Flat	M	60.6
Carabost	F	100
Carabost	M	40
Caragabal	F	55.1
Caragabal	M	58.7
Carcalgong	F	26.3
Carcalgong	M	64
Carcoar	F	37.6
Carcoar	M	47.2
Cardiff (NSW)	F	52.7
Cardiff (NSW)	M	60
Cardiff Heights	F	49.4
Cardiff Heights	M	58.2
Cardiff South	F	55.9
Cardiff South	M	65.7
Carey Bay	F	34.6
Carey Bay	M	41.7
Cargo	F	54.4
Cargo	M	66.8
Carinda	F	58.7
Carinda	M	82.9
Caringbah	F	58.1
Caringbah	M	68.6
Caringbah South	F	58
Caringbah South	M	66.4
Carlaminda	F	85.7
Carlaminda	M	110
Carlingford	F	50.1
Carlingford	M	61.8
Carlton (NSW)	F	54.5
Carlton (NSW)	M	62.7
Carnes Hill	F	61.9
Carnes Hill	M	75.8
Carnham	M	42.9
Carool	F	45.5
Carool	M	61.5
Caroona	F	38.9
Caroona	M	47.8
Carramar (NSW)	F	34.5
Carramar (NSW)	M	47.1
Carrathool	F	54.2
Carrathool	M	68.4
Carrick (NSW)	F	62.5
Carrick (NSW)	M	55.9
Carrington (Mid-Coast - NSW)	F	50
Carrington (Mid-Coast - NSW)	M	33.3
Carrington (Newcastle - NSW)	F	63.7
Carrington (Newcastle - NSW)	M	60.2
Carrington Falls	F	30
Carrington Falls	M	42.9
Carroll	F	41.8
Carroll	M	57.6
Carrowbrook	F	25
Carrowbrook	M	25
Carrs Creek	F	46.2
Carrs Creek	M	58.9
Carrs Peninsula	F	85.7
Carrs Peninsula	M	30
Carss Park	F	48.7
Carss Park	M	59.4
Cartwright	F	28.3
Cartwright	M	39
Cartwrights Hill	F	66.7
Cartwrights Hill	M	61.7
Carwell	F	66.7
Carwell	M	55.6
Carwoola	F	62.5
Carwoola	M	62.7
Casino	F	37.5
Casino	M	45.4
Cassilis (NSW)	F	55
Cassilis (NSW)	M	70.7
Castle Cove	F	50.2
Castle Cove	M	62.2
Castle Doyle	F	66.2
Castle Doyle	M	74.2
Castle Hill (NSW)	F	55
Castle Hill (NSW)	M	66.4
Castle Rock	F	47.9
Castle Rock	M	57.7
Castlecrag	F	55
Castlecrag	M	64.6
Castlereagh	F	56.7
Castlereagh	M	66.6
Casuarina (NSW)	F	62
Casuarina (NSW)	M	68
Casula	F	47.4
Casula	M	60.2
Catalina	F	34.3
Catalina	M	40.5
Cathcart (NSW)	F	46.5
Cathcart (NSW)	M	53.3
Catherine Field	F	51.3
Catherine Field	M	61.6
Catherine Hill Bay	F	51.6
Catherine Hill Bay	M	51.5
Cathundral	F	42.9
Cathundral	M	52.6
Cattai	F	65.2
Cattai	M	69
Cattle Creek (NSW)	F	46.2
Cattle Creek (NSW)	M	100
Cavan (NSW)	F	68.2
Cavan (NSW)	M	50
Caves Beach	F	49.3
Caves Beach	M	55
Cawdor (NSW)	F	53.3
Cawdor (NSW)	M	68.3
Cawongla	F	47.1
Cawongla	M	42.4
Cecil Hills	F	55.2
Cecil Hills	M	65.4
Cecil Park	F	55.9
Cecil Park	M	65.9
Cedar Brush Creek	F	58
Cedar Brush Creek	M	44.4
Cedar Creek (Cessnock - NSW)	M	56.3
Cedar Party	F	44.2
Cedar Party	M	45.9
Cedar Point	F	51.5
Cedar Point	M	67.5
Centennial Park (NSW)	F	66.7
Centennial Park (NSW)	M	71.4
Central Colo	F	63.6
Central Colo	M	100
Central Macdonald	F	59.1
Central Macdonald	M	21.7
Central Mangrove	F	66.1
Central Mangrove	M	69.3
Central Tilba	F	53.4
Central Tilba	M	55.3
Cessnock	F	38.8
Cessnock	M	42.5
Chain Valley Bay	F	33.7
Chain Valley Bay	M	40
Chakola	F	41.2
Chakola	M	78.9
Chambigne	F	66.7
Chambigne	M	36
Charbon	F	30.9
Charbon	M	25.5
Charles Sturt University	F	40.7
Charles Sturt University	M	36
Charlestown (NSW)	F	55.8
Charlestown (NSW)	M	61.4
Charleys Forest	F	33.3
Charleys Forest	M	48
Charlotte Bay	F	31.8
Charlotte Bay	M	48.7
Charlton (NSW)	F	75
Charlton (NSW)	M	50
Charmhaven	F	46.7
Charmhaven	M	53.9
Chatham Valley	F	40
Chatham Valley	M	33.3
Chatsbury	F	61.1
Chatsbury	M	69.2
Chatswood	F	49.8
Chatswood	M	62.5
Chatswood West	F	57.1
Chatswood West	M	64.2
Chatsworth (NSW)	F	58.8
Chatsworth (NSW)	M	67.1
Cheero Point	F	61.5
Cheero Point	M	72.2
Cheltenham (NSW)	F	58.1
Cheltenham (NSW)	M	65.2
Cherry Tree Hill	F	37.9
Cherry Tree Hill	M	69.2
Cherrybrook	F	56.1
Cherrybrook	M	66.2
Chester Hill	F	37.6
Chester Hill	M	51.8
Chichester (NSW)	M	25
Chifley (NSW)	F	54.7
Chifley (NSW)	M	59.7
Chilcotts Grass	F	62.5
Chilcotts Grass	M	66
Chillingham	F	40.4
Chillingham	M	40.6
Chinderah	F	28.8
Chinderah	M	31.9
Chinnock	F	27.3
Chinnock	M	116.7
Chippendale	F	42.4
Chippendale	M	50.1
Chipping Norton	F	54.1
Chipping Norton	M	64.2
Chisholm (NSW)	F	70.6
Chisholm (NSW)	M	77.2
Chiswick	F	61.6
Chiswick	M	69.7
Chittaway Bay	F	55.2
Chittaway Bay	M	63.4
Chittaway Point	F	56.6
Chittaway Point	M	67.2
Chowan Creek	F	18.8
Chowan Creek	M	18.8
Church Point	F	50.1
Church Point	M	58.2
Clandulla	F	40
Clandulla	M	31.8
Clare (NSW)	F	60
Clare (NSW)	M	55.6
Claremont Meadows	F	65.4
Claremont Meadows	M	76.1
Clarence	F	50
Clarence	M	50
Clarence Town	F	50.6
Clarence Town	M	61.3
Clarendon (NSW)	F	65.2
Clarendon (NSW)	M	86.7
Clarenza	F	51.1
Clarenza	M	58.3
Clareville	F	51.8
Clareville	M	58
Claymore	F	19.5
Claymore	M	28.6
Clear Creek	F	60.4
Clear Creek	M	66.7
Clear Range	F	60
Clear Range	M	41.2
Clearfield	M	100
Clemton Park	F	41.6
Clemton Park	M	55
Clergate	F	59.3
Clergate	M	72.6
Cleveland (NSW)	F	33.3
Cleveland (NSW)	M	100
Clifden	F	72.7
Clifden	M	30
Cliftleigh	F	44.1
Cliftleigh	M	61.5
Clifton (NSW)	F	76.9
Clifton (NSW)	M	54.5
Clifton Grove	F	61.5
Clifton Grove	M	61.2
Clontarf (NSW)	F	51.4
Clontarf (NSW)	M	63.3
Clothiers Creek	F	62.3
Clothiers Creek	M	53.2
Clouds Creek	M	100
Clovelly	F	67
Clovelly	M	71.8
Clunes (NSW)	F	62.4
Clunes (NSW)	M	60
Clybucca	F	74.5
Clybucca	M	62.5
Clyde (NSW)	M	60
Clydesdale (NSW)	F	64.5
Clydesdale (NSW)	M	47.2
Coal Point	F	52.4
Coal Point	M	55.4
Coalcliff	F	58.9
Coalcliff	M	72.5
Coaldale	F	44
Coaldale	M	53.8
Coasters Retreat	F	21.1
Cobaki	F	57.7
Cobaki	M	63.6
Cobaki Lakes	F	112.5
Cobaki Lakes	M	40
Cobar	F	51
Cobar	M	61.7
Cobar Park	F	25
Cobar Park	M	38.5
Cobargo	F	40.7
Cobargo	M	46.1
Cobark	F	50
Cobark	M	50
Cobbadah	F	72.7
Cobbadah	M	84.8
Cobbitty	F	58
Cobbitty	M	70.6
Cobramunga	F	100
Cobramunga	M	66.7
Cockwhy	F	175
Cockwhy	M	57.1
Codrington (NSW)	F	83.3
Codrington (NSW)	M	41.9
Coffee Camp	F	40.9
Coffee Camp	M	48
Coffs Harbour	F	45.1
Coffs Harbour	M	50
Cogra Bay	F	42.9
Cogra Bay	M	60
Coila	F	20
Coila	M	39.3
Coldstream (NSW)	F	45
Coldstream (NSW)	M	66.7
Coleambally	F	58.7
Coleambally	M	68.3
Colebee	F	67.8
Colebee	M	76.7
Coledale	F	64.6
Coledale	M	65.2
Colinroobie	F	47.8
Colinroobie	M	59.1
Colinton (NSW)	F	63.3
Colinton (NSW)	M	56.4
Collarenebri	F	44.5
Collarenebri	M	41.7
Collaroy (NSW)	F	61.2
Collaroy (NSW)	M	68.8
Collaroy Plateau	F	62
Collaroy Plateau	M	71.5
Collector	F	59.3
Collector	M	72.1
Collendina	F	65.8
Collendina	M	62.8
Collerina	F	41.2
Collerina	M	90.5
Collie (NSW)	F	60
Collie (NSW)	M	68.7
Collingullie	F	59.3
Collingullie	M	59.8
Collingwood (NSW)	F	58.8
Collingwood (NSW)	M	75
Collins Creek	F	54
Collins Creek	M	45.9
Collombatti	F	41.3
Collombatti	M	40.5
Colly Blue	F	27.3
Colly Blue	M	22.2
Colo (Hawkesbury - NSW)	F	95.5
Colo (Hawkesbury - NSW)	M	65.4
Colo Heights	F	44.5
Colo Heights	M	55.6
Colo Vale	F	55.2
Colo Vale	M	61.9
Colyton	F	48.2
Colyton	M	61
Comara	F	37.5
Comara	M	33.3
Combaning	F	65.8
Combaning	M	76.2
Combara	F	54.3
Combara	M	50
Comberton	F	36.4
Comberton	M	20
Comboyne	F	44.3
Comboyne	M	55.7
Come By Chance	F	68.2
Come By Chance	M	59.6
Comerong Island	F	44.4
Commissioners Creek	F	16.7
Commissioners Creek	M	24.1
Como (NSW)	F	64.7
Como (NSW)	M	71.2
Comobella	F	47.1
Comobella	M	55.6
Conargo	F	41.9
Conargo	M	57.1
Concord	F	54.9
Concord	M	63.6
Concord West	F	55.9
Concord West	M	62.2
Condell Park	F	42.9
Condell Park	M	56.3
Condobolin	F	46
Condobolin	M	56
Condong	F	51.7
Condong	M	58.1
Congarinni	F	48.3
Congarinni	M	54.1
Congarinni North	F	54.7
Congarinni North	M	46.7
Congewai	F	43
Congewai	M	67.1
Congo	F	46.9
Congo	M	45.1
Conimbia	F	100
Conimbia	M	150
Coniston	F	46.6
Coniston	M	51
Conjola	F	71
Conjola	M	69.5
Conjola Park	F	47.3
Conjola Park	M	40.3
Connells Point	F	54.5
Connells Point	M	66.2
Constitution Hill	F	49.1
Constitution Hill	M	60.1
Coogee (NSW)	F	68.5
Coogee (NSW)	M	72.5
Cookamidgera	F	42.6
Cookamidgera	M	46.2
Cookardinia	F	53.3
Cookardinia	M	50
Cooks Gap	F	46
Cooks Gap	M	46.3
Cooks Hill	F	60.2
Cooks Hill	M	64.7
Cooks Myalls	F	33.3
Cooks Myalls	M	70
Coolabah	F	44
Coolabah	M	66.7
Coolac	F	68.1
Coolac	M	60.6
Coolagolite	F	47.7
Coolagolite	M	45.8
Coolah	F	46
Coolah	M	54.2
Coolamon	F	49.7
Coolamon	M	55.8
Coolangatta (NSW)	F	59.1
Coolangatta (NSW)	M	66.2
Coolatai	F	62
Coolatai	M	60.8
Cooleys Creek	M	100
Coolgardie (NSW)	F	43.1
Coolgardie (NSW)	M	28.3
Coolongolook	F	35.2
Coolongolook	M	43.4
Coolringdon	F	67.9
Coolringdon	M	72.7
Coolumbooka	F	100
Cooma (NSW)	F	49.7
Cooma (NSW)	M	52.3
Coomba Bay	F	45.5
Coomba Bay	M	22.6
Coomba Park	F	22.3
Coomba Park	M	23.5
Coombadjha	F	100
Coombadjha	M	114.3
Coombell	F	40
Coombell	M	80
Coomealla	F	43.4
Coomealla	M	51.5
Coomoo Coomoo	F	100
Coomoo Coomoo	M	50
Coonabarabran	F	40
Coonabarabran	M	42.2
Coonamble	F	41.4
Coonamble	M	46.1
Cooperabung	F	54.5
Cooperabung	M	58.2
Coopernook	F	46.6
Coopernook	M	40.2
Coopers Gully	F	65.2
Coopers Gully	M	57.8
Coopers Shoot	F	36.4
Coopers Shoot	M	56.9
Cooplacurripa	F	42.9
Cooplacurripa	M	120
Coorabell	F	49.5
Coorabell	M	60.7
Cooranbong	F	42.8
Cooranbong	M	52.6
Cootamundra	F	41.1
Cootamundra	M	47.5
Cootralantra	F	71.9
Cootralantra	M	80.6
Cooyal	F	52.3
Cooyal	M	83.3
Copacabana	F	61.4
Copacabana	M	65.6
Cope	F	55.3
Cope	M	54
Copeland	F	29.6
Copeland	M	57.7
Copeton	F	58.3
Copeton	M	50
Copmanhurst	F	36.2
Copmanhurst	M	30.1
Coppabella (NSW)	M	100
Copperhannia	M	75
Coraki	F	38.7
Coraki	M	43.7
Coralville	F	40
Coralville	M	27.4
Coramba	F	58.1
Coramba	M	59.5
Corang	M	50
Corbie Hill	F	60
Corbie Hill	M	66.4
Cordeaux Heights	F	64.6
Cordeaux Heights	M	69.8
Coree	F	100
Coree	M	91.7
Coreen	F	73.7
Coreen	M	55.6
Corindi Beach	F	47.5
Corindi Beach	M	56
Corinella (NSW)	F	77.8
Corinella (NSW)	M	76.5
Corlette	F	44.9
Corlette	M	50.3
Corndale (NSW)	F	59.2
Corndale (NSW)	M	64.1
Corney Town	F	41.7
Corney Town	M	44.7
Cornwallis	F	64.7
Cornwallis	M	78.3
Corobimilla	F	57.1
Corobimilla	M	97.1
Corowa	F	43.6
Corowa	M	53.1
Corrabare	M	33.3
Corrimal	F	48.6
Corrimal	M	58.2
Corunna	F	52.4
Corunna	M	48.6
Cottage Point	F	35.4
Cottage Point	M	28
Cottonvale (NSW)	M	44.4
Cougal	M	25
Countegany	F	61.5
Countegany	M	68.8
Courabyra	F	47.1
Courabyra	M	73.2
Couradda	F	28.6
Couradda	M	60.9
Couridjah	F	61
Couridjah	M	64.6
Coutts Crossing	F	43.9
Coutts Crossing	M	50
Cow Flat	F	86.4
Cow Flat	M	57.1
Cowabbie	F	133.3
Cowabbie	M	100
Cowan	F	63.3
Cowan	M	68.6
Cowper	F	37.8
Cowper	M	66.7
Cowra	F	42.5
Cowra	M	50.5
Coxs Creek	F	25
Coxs Creek	M	23.1
Crabbes Creek	F	57.4
Crabbes Creek	M	53.1
Crackenback	F	64.1
Crackenback	M	77.9
Craigie (NSW)	F	73.3
Craigie (NSW)	M	35.3
Cranebrook	F	61
Cranebrook	M	71.7
Craven	F	31.1
Craven	M	52.6
Craven Plateau	M	100
Crawford River	F	89.5
Crawford River	M	40.9
Crawney	F	64.3
Crawney	M	82.4
Creewah	F	21.4
Creewah	M	25
Cremorne (NSW)	F	64.6
Cremorne (NSW)	M	72.3
Cremorne Point	F	60.5
Cremorne Point	M	66.8
Crescent Head	F	51.6
Crescent Head	M	48.3
Crestwood	F	59.7
Crestwood	M	66.2
Cringila	F	29.3
Cringila	M	42.6
Croki	F	35.3
Croki	M	36.4
Cromer (NSW)	F	57.8
Cromer (NSW)	M	68.1
Cronulla	F	60.6
Cronulla	M	68.4
Crooble	F	51.9
Crooble	M	71.4
Croobyar	F	50.7
Croobyar	M	47
Crooked Corner	F	57.1
Crooked Corner	M	54.3
Crookwell	F	45.3
Crookwell	M	55.9
Croom	F	46
Croom	M	68.2
Croppa Creek	F	69.8
Croppa Creek	M	73.9
Cross Roads (NSW)	F	120
Cross Roads (NSW)	M	100
Crosslands	F	50.9
Crosslands	M	51.6
Croudace Bay	F	51.1
Croudace Bay	M	58.4
Crowdy Head	F	27.3
Crowdy Head	M	25
Crows Nest (NSW)	F	69
Crows Nest (NSW)	M	75.7
Crowther	F	41.7
Crowther	M	64.3
Croydon (NSW)	F	53.6
Croydon (NSW)	M	60.2
Croydon Park (NSW)	F	55.8
Croydon Park (NSW)	M	63.8
Crudine	F	41.4
Crudine	M	52
Cryon	F	66.7
Cryon	M	81.8
Crystal Creek (NSW)	F	42.1
Crystal Creek (NSW)	M	61.1
Cubba	F	57.1
Cubba	M	108.3
Cudal	F	51.8
Cudal	M	61.9
Cudgegong	F	16.7
Cudgegong	M	46.7
Cudgel	F	60
Cudgel	M	90.9
Cudgen	F	55.7
Cudgen	M	61.8
Cudgera Creek	F	66.1
Cudgera Creek	M	68.2
Cudmirrah	F	31
Cudmirrah	M	41.9
Culburra Beach	F	36.9
Culburra Beach	M	42.1
Culcairn	F	46.7
Culcairn	M	54.7
Cullen Bullen	F	32.8
Cullen Bullen	M	42.6
Cullenbone	F	43.8
Cullenbone	M	53.3
Cullendore	F	100
Cullendore	M	85.7
Cullerin	F	87.5
Cullerin	M	61.9
Cullivel	M	166.7
Culmaran Creek	M	66.7
Cumbalum	F	63
Cumbalum	M	70.7
Cumberland Reach	F	71
Cumberland Reach	M	73.4
Cumborah	F	32
Cumborah	M	17.6
Cumnock	F	48.1
Cumnock	M	56.2
Cundle Flat	F	133.3
Cundle Flat	M	44.4
Cundletown	F	45.2
Cundletown	M	50.3
Cundumbul	F	85.7
Cundumbul	M	113.3
Cunjurong Point	F	18.4
Cunjurong Point	M	47.1
Cunningar	F	62.3
Cunningar	M	77.4
Cunninyeuk	F	30.8
Cunninyeuk	M	64.7
Curban	F	46.3
Curban	M	83.6
Curl Curl	F	59.2
Curl Curl	M	65
Curlew Waters	F	50
Curlew Waters	M	33.3
Curlewis (NSW)	F	44.7
Curlewis (NSW)	M	65.4
Curlwaa	F	58.1
Curlwaa	M	62.9
Curra Creek	F	41.7
Curra Creek	M	53.1
Currabubula	F	55.1
Currabubula	M	62
Curramore (NSW)	F	53.8
Curramore (NSW)	M	50.6
Currans Hill	F	66.4
Currans Hill	M	77.2
Currarong	F	31.3
Currarong	M	35
Currawang	F	56.6
Currawang	M	64.2
Currawarna	F	46.2
Currawarna	M	57.5
Curraweela	F	85
Curraweela	M	65.2
Curricabark	M	166.7
Currowan	F	39.3
Currowan	M	28
Cuttabri	F	37.5
Cuttabri	M	31.6
Cuttagee	F	10.7
Cuttagee	M	31.8
Dabee	F	50
Dabee	M	47.4
Daceyville	F	24.7
Daceyville	M	32.1
Dairy Arm	M	27.3
Dairy Flat	F	100
Dairy Flat	M	64.3
Dairymans Plains	F	73.4
Dairymans Plains	M	64.2
Daleys Point	F	33.6
Daleys Point	M	36.7
Dalgety	F	62.7
Dalgety	M	61.1
Dalmeny	F	32
Dalmeny	M	36.1
Dalswinton	F	71.4
Dalswinton	M	88.2
Dalton	F	58.3
Dalton	M	65.9
Dalwood (Ballina - NSW)	F	61.2
Dalwood (Ballina - NSW)	M	57.6
Dalwood (Singleton - NSW)	F	63.8
Dalwood (Singleton - NSW)	M	78
Dandaloo	F	46.2
Dandaloo	M	85.7
Dandry	F	44.4
Dandry	M	41.9
Dangar Island	F	53.1
Dangar Island	M	51.8
Dangarsleigh	F	63.3
Dangarsleigh	M	61.4
Dapto	F	47.4
Dapto	M	56.5
Darawank	F	43.4
Darawank	M	46.2
Darbalara	F	25
Darbalara	M	65
Darbys Falls	F	36.5
Darbys Falls	M	46.3
Dareton	F	22.9
