SSC_NAME16	employmentToPopulation
Noarlunga Downs	50.9
Nora Creina	25
Normanville (SA)	36.3
North Adelaide	51
North Beach (SA)	42.6
North Booborowie	43.5
North Brighton	52.9
North Haven (SA)	58.2
North Moonta	21.9
North Plympton	49.4
North Shields	58.1
North West Bend	23.1
Northern Heights	53.4
Northfield	38.3
Northgate (SA)	65.3
Norton Summit	56.9
Norwood (SA)	58.6
Novar Gardens	48.3
Nullarbor	76
Nunjikompita	72.7
Nuriootpa	55.6
Nurom	57.1
Nurragi	48.3
O'Halloran Hill	59.9
O'Sullivan Beach	45.1
Oakbank	63.6
Oakden	51.6
Oakden Hills	100
Oaklands Park	45.7
Ob Flat	69.6
Olary	100
Old Calperum	81.8
Old Noarlunga	56.8
Old Reynella	56.7
One Tree Hill	63.5
Onkaparinga Hills	65.7
Oodla Wirra	100
Oodnadatta	38.8
Orroroo	47.9
Osborne (SA)	48.6
Ottoway	45.7
Outer Harbor	25
Overland Corner	50
Ovingham	58.1
Owen	46.5
Padthaway	63.2
Paechtown	58
Pages Flat	63.1
Paisley	64.1
Pallamana	82.8
Palmer (SA)	49.7
Panitya (SA)	70
Panorama	53.3
Para Hills	53.4
Para Hills West	48.8
Para Vista	51
Parachilna	118.8
Paracombe	63.7
Paradise (SA)	53
Parafield	14.3
Parafield Gardens	49.7
Paralowie	56.7
Paramatta	60
Parawa	62.7
Parham	37.9
Parilla	64.1
Paringa	57.1
Paris Creek	59.2
Park Holme	49.1
Parkside (SA)	62.5
Parndana	67.2
Parrakie	66.3
Paruna	65.8
Pasadena	45.5
Paskeville	44.2
Pata	57.4
Payneham	56.3
Payneham South	56.7
Peake	50
Pearlah	42.2
Peebinga	40
Peep Hill	100
Pekina	65.1
Pelican Lagoon	50.9
Pelican Point (SA)	51.3
Penfield	46.1
Penfield Gardens	52.7
Penneshaw	52.2
Pennington	45.8
Penola	61.9
Penong	57.5
Penrice	65.9
Penwortham	62.8
Perlubie	47.6
Perponda	77.8
Peterborough (SA)	32.5
Peterhead	56.9
Petersville	51.7
Petherick	69
Petina	73.1
Petwood	55.6
Pewsey Vale	64.1
Piccadilly (SA)	63.9
Piednippie	75
Pike River	76.2
Pimba	55.6
Pimbaacla	42.9
Pine Hill (SA)	73.7
Pine Point	36.8
Pinery	60.2
Pinkawillinie	76.5
Pinkerton Plains	85.5
Pinks Beach	39.4
Pinnaroo	58.9
Pipalyatjara	25.5
Pirie East	88.9
Pleasant Park	113.8
Plympton	60.9
Plympton Park	57.3
Point Boston	78.9
Point Lowly	20
Point Pass	48.9
Point Pearce	16.9
Point Souttar	68
Point Sturt	61.5
Point Turton	40.2
Polish Hill River	71
Poltalloch	80.6
Pompoota	56
Ponde	47.6
Poochera	61.4
Pooginagoric	79.2
Pooginook	57.1
Poonindie	49
Pooraka	48.9
Porky Flat	50
Port Adelaide	48.1
Port Augusta	45.1
Port Augusta West	52.4
Port Broughton	37.3
Port Elliot	35.4
Port Gawler	65.7
Port Germein	39.9
Port Gibbon	37.5
Port Hughes	45.1
Port Julia	17.8
Port Kenny	44.6
Port Lincoln	54.1
Port Macdonnell	44.2
Port Mannum	40.7
Port Moorowie	32.2
Port Neill	50
Port Noarlunga	50.8
Port Noarlunga South	56.2
Port Paterson	60.7
Port Pirie	19.5
Port Pirie South	48.3
Port Pirie West	34.1
Port Rickaby	26.7
Port Victoria	33.1
Port Vincent	31.7
Port Wakefield	51
Port Willunga	51.2
Price	30.6
Proof Range	60
Prospect (SA)	61.3
Prospect Hill	59.3
Pukatja	22.7
Puntabie	85.7
Punthari	46.2
Punyelroo	21.4
Purnong	22.9
Pyap	66.7
Pyap West	84.6
Pygery	79.6
Qualco	63.6
Queenstown (SA)	47.9
Quinyambie	40
Quorn	46.9
Racecourse Bay	58.1
Ramco	63.4
Ramco Heights	63
Ramsay (SA)	65.6
Rapid Bay	50
Red Creek	61
Redbanks	51.3
Redhill	40.8
Redwood Park	64
Reedy Creek (SA)	76.4
Reeves Plains	61.2
Regency Park	2.2
Reid (SA)	69.7
Rendelsham	66.2
Renmark	43.2
Renmark North	60.5
Renmark South	64.1
Renmark West	62.3
Renown Park	45.8
Reynella	56.9
Reynella East	54.4
Rhynie	51.7
Richmond (SA)	58.9
Ridgehaven	51.2
Ridleyton	59.1
Risdon Park	44.6
Risdon Park South	54.1
Riverglades	58.8
Riverglen	42.1
Riverton (SA)	42.5
Robe	53.7
Robertstown	40.7
Rochester (SA)	37.5
Rockleigh	47.9
Rocky Camp	59
Rocky Gully (SA)	61
Rocky Plain (SA)	50
Rogues Point	10
Rose Park	55.8
Rosedale (SA)	70.1
Rosetown	62.9
Rosewater	52.5
Roseworthy	68.8
Rosslyn Park	52.5
Rostrevor	52.9
Rowland Flat	65.9
Roxby Downs	77
Royal Park	53.3
Royston Park	62.2
Rudall	59.7
SA Remainder	16
Saddleworth	43.8
Saints	100
Salisbury (SA)	39.9
Salisbury Downs	46.3
Salisbury East	47.9
Salisbury Heights	65.1
Salisbury North	42.9
Salisbury Park	51.1
Salisbury Plain	50.5
Salisbury South	3
Salt Creek	50
Salter Springs	60.8
Saltia	80
Sampson Flat	60.8
Sandalwood	57.4
Sandergrove	69.1
Sanderston	53
Sandilands (SA)	75
Sandleton	23.1
Sandy Creek (SA)	67.6
Sandy Grove	53.4
Sapphiretown	45.5
Sceale Bay	62.5
Schell Well	50
Scott Creek	70.7
Seacliff	61.5
Seacliff Park	60.8
Seacombe Gardens	49.7
Seacombe Heights	58.5
Seaford (SA)	47.9
Seaford Heights	75.5
Seaford Meadows	65.5
Seaford Rise	58
Seaton (SA)	50.9
Seaview Downs	59.8
Sebastopol (SA)	42.6
Second Valley	39.7
Sedan	48.3
Seddon (SA)	65.3
Sefton Park	59.9
Sellicks Beach	54.2
Sellicks Hill	62.4
Semaphore	58
Semaphore Park	49
Semaphore South	59.5
Senior	83.5
Seppeltsfield	76.9
Sevenhill	66
Shaugh	72.2
Shea-Oak Log	61.9
Sheaoak Flat	44.4
Sheidow Park	72.1
Sheringa	92
Sherlock (SA)	59.6
Sherwood (SA)	76.4
Short	27.3
Silverton (SA)	22.2
Skye (SA)	58
Sleaford	55.8
Smithfield (SA)	39.1
Smithfield Plains	35.6
Smoky Bay	55.9
Snowtown	37.2
Solomon	80
Solomontown	39
Somerton Park	54.2
South Brighton	53.7
South Hummocks	46.9
South Kilkerran	47.8
South Plympton	58.1
Southend	56.8
Spalding (SA)	48.3
Spence (SA)	97.5
Spring Farm (SA)	64.3
Spring Gully (SA)	74.5
Springfield (SA)	57.2
Springton	54.2
Square Mile	70.4
St Agnes (SA)	57.2
St Clair (SA)	69.3
St Georges	55.1
St Ives (SA)	27.8
St Johns	30
St Kilda (SA)	44.1
St Kitts	66.7
St Marys (SA)	54.9
St Morris	57.7
St Peters (SA)	61.2
Stanley (SA)	64
Stanley Flat	63.5
Stansbury	35.1
Steelton	56
Steinfeld	46.7
Stepney	61.2
Stewart Range	64
Stirling (SA)	57.1
Stirling North	48
Stockport	46.5
Stockwell	72.1
Stockyard Creek (SA)	43.8
Stockyard Plain	30
Stokes Bay	65.9
Stone Hut	38.1
Stone Well	68.2
Stonyfell	58.9
Stow	50
Strathalbyn (SA)	51
Streaky Bay	54.6
Struan	45.9
Stuart (SA)	28.6
Sturt (SA)	49
Sultana Point	24
Summertown	63.1
Sunlands	52.4
Sunnybrae	73.3
Sunnydale	47.2
Sunnyside (SA)	63.2
Sunnyvale	63.6
Surrey Downs	63.6
Sutherlands	41.2
Suttontown	71.2
Swan Reach (SA)	40.9
Swanport	68.1
Swede Flat	128.6
Tailem Bend	42
Taldra	81.8
Talia	100
Tantanoola	56.3
Tanunda	56.8
Taperoo	43.3
Taplan	68.8
Taratap	59.5
Tarcowie	61.4
Tarlee	46.7
Tarnma	37.5
Tarpeena	44.9
Tatachilla	67.8
Taunton (SA)	75
Taylorville	59.8
Tea Tree Gully	58.1
Telowie	51.2
Templers	69.3
Tennyson (SA)	56.7
Tepko	56.3
Teringie	65.6
Terowie	20.8
The Gap (SA)	105.9
The Pines (SA)	30.6
The Range (SA)	63.4
Thebarton	55.6
Thevenard	58
Thomas Plain	67.7
Thompson Beach	41.9
Thorngate	58.6
Thornlea	71.4
Thrington	87.5
Tiatukia	71.6
Tickera	36.6
Tiddy Widdy Beach	27.7
Tilley Swamp	81
Tintinara	64.3
Tolderol	61.9
Tooligie	66.7
Tooperang	58.3
Toora (SA)	44.8
Toorak Gardens	57.7
Tootenilla	47.4
Torrens Park	60.1
Torrens Vale	75.4
Torrensville	56.8
Tothill Belt	77.8
Tothill Creek	41.2
Totness	67.4
Towitta	81.5
Tranmere (SA)	58.6
Trinity Gardens	64.9
Trott Park	65.2
Truro	64.3
Tulka	65
Tumby Bay	44.2
Tungkillo	54.3
Tunkalilla	62.5
Tusmore	60.4
Two Wells	59.3
Tyringa	150
Ucolta	133.3
Uleybury	66.7
Ulyerra	81.8
Undalya	37.5
Underdale	59.6
Ungarra	57.3
Unley	62
Unley Park	58.7
Upper Hermitage	57.9
Upper Sturt	63.3
Uraidla	63
Urania	65.9
Urrbrae	57
Uworra	100
Vale Park	53.4
Valley View	52.1
Veitch	42.9
Venus Bay (SA)	38.2
Verdun	60.8
Verran	91.4
Victor Harbor	36.4
Vine Vale	63.2
Virginia (SA)	54
Vista	57
Vivonne Bay	71.9
Waddikee	80
Waikerie	45.9
Waitpinga	46.1
Walker Flat	26.9
Walkerville (SA)	50.3
Walkley Heights	55.5
Wall Flat	66.7
Wallala	75
Wallaroo (SA)	36.6
Wallaroo Mines	43
Wallaroo Plain	83.9
Waltowa	75
Wami Kata	75
Wanbi	48.6
Wandana (SA)	75
Wandearah East	81.6
Wandearah West	100
Wandilo	68.5
Wangary	56
Wangolina	81.8
Wanilla	66.7
Wappilka	25
Warburto	66.1
Ward Belt	58.8
Ward Hill	64.6
Warnertown	61.3
Warnes	100
Warooka	56.5
Warradale	56.5
Warramboo	63
Warraweena	64.7
Washpool (SA)	60
Wasleys	62.8
Watchman	88
Waterfall Gully	63.2
Waterloo (SA)	54.5
Waterloo Corner	34.3
Watervale	64.2
Wattle Flat (SA)	57
Wattle Park	54.8
Wattle Range	81
Wattle Range East	60
Wauraltee	81.4
Wayville	59.8
Webb Beach	48.8
Weeroona Island	40.8
Weetulta	77.1
Welland	54.6
Wellington (SA)	44.5
Wellington East	36.8
Wepar	60
West Beach (SA)	59.3
West Bundaleer	100
West Croydon	57.9
West Hindmarsh	60.1
West Lakes	50
West Lakes Shore	55.1
West Range	57.9
West Richmond	57.7
Westall	66.7
Westbourne Park	57.2
Western Flat	73.1
Western River	47.4
Wharminda	41.7
White Hill	52.4
White Hut	78.6
White Sands	61
Whites Flat	79.4
Whites River	100
Whites Valley	64
Whitwarta	35.1
Whyalla	54.4
Whyalla Jenkins	62.3
Whyalla Norrie	44.4
Whyalla Playford	54.7
Whyalla Stuart	37.9
Whyte Yarcowie	37.5
Wigley Flat	16.7
Wilcherry	50
Wild Dog Valley (SA)	72.7
Wild Horse Plains	46.9
Wilgena	83.3
Willalo	55.6
Willalooka	77
Willamulka	61.7
Willaston	54.6
William Creek	40
Williamstown (SA)	61.1
Willippa	66.7
Willochra	63.6
Willoughby (SA)	54.5
Willow Creek	89.7
Willowie	93.9
Willunga	59.1
Willunga Hill	65.1
Willunga South	66.1
Willyaroo	57.7
Wilmington	52.4
Windsor (SA)	49.2
Windsor Gardens	56.5
Wingfield	42.6
Winkie	59.1
Winulta	100
Wirrabara	47.7
Wirrega	79.2
Wirrina Cove	35.8
Wirrulla	61.8
Wisanger	67.7
Wistow	61.2
Witera	75
Wokurna	69.8
Wolseley	57.9
Wongulla	17.5
Wongyarra	55.6
Wonuarra	62.8
Woodchester	65.6
Woodcroft (SA)	62.7
Woodforde	57.3
Woodlane	58.5
Woodleigh (SA)	77.6
Woods Point (SA)	58.8
Woodside (SA)	55.4
Woodville (SA)	58.2
Woodville Gardens	36.8
Woodville North	48.7
Woodville Park	61
Woodville South	60.6
Woodville West	56
Wool Bay	26.1
Woolpunda	81.8
Woolshed Flat (SA)	82.6
Woolsheds	59.3
Woolumbool	71.2
Woomera	77.8
Worrolong	75.4
Wrattonbully	81.3
Wudinna	64.4
Wunkar	70.7
Wye	70.7
Wynarka	77.2
Wynn Vale	63.8
Wyomi	34.8
Yacka	47.9
Yahl	64.5
Yalanda	121.4
Yalata	23.9
Yallunda Flat	69.1
Yalpara	100
Yamba (SA)	100
Yaninee	96.5
Yankalilla	36.6
Yantanabie	122.2
Yarrah	69.2
Yatala Vale	60.9
Yatina	50
Yattalunga (SA)	63.6
Yeelanna	67.7
Yinkanie	20
Yongala	47.4
Yorke Valley	52.2
Yorketown	49.3
Younghusband	41.6
Yumali	71.4
Yundi	63.4
Yunta	66.2
Zadows Landing	45.5
No usual address (SA)	27.8
Migratory - Offshore - Shipping (SA)	100
Abba River	64.2
Abbey	60.8
Acton Park (WA)	64
Adamsvale	89.3
Ajana	50
Albany	57.1
Aldersyde	86.8
Alexander Heights	59.9
Alexandra Bridge	88.9
Alfred Cove	61.5
Alkimos	70.3
Allanooka	57.9
Allanson	55.9
Alma (WA)	70
Ambergate	68.6
Amelup	73.2
Angelo River	55.6
Anketell	58.6
Anniebrook	62
Applecross	55.7
Ardath	65
Ardross	58.5
Argyle (WA)	59.8
Armadale (WA)	43.5
Arrino	77.5
Arrowsmith	144.4
Arrowsmith East	74.3
Arthur River (WA)	53.9
Ascot (WA)	61.7
Ashby (WA)	56.7
Ashendon	30
Ashfield (WA)	52.5
Attadale	58.9
Atwell	70.4
Aubin Grove	70.8
Augusta	40
Australind	58.3
Aveley	70.5
Avon Valley National Park	87.5
Baandee	73.3
Babakin	76.2
Babbage Island	60.9
Badgebup	64.7
Badgerin Rock	93.8
Badgin	28.6
Badgingarra	83
Badjaling	27.3
Bailup	35
Bakers Hill	57
Balbarrup	68.7
Balcatta	54.4
Baldivis	63.8
Balga	51.3
Balingup	48.3
Balkuling	45
Balladong	60.7
Ballajura	60.7
Ballaying	57.9
Ballidu	45.8
Bally Bally	41.5
Bambun	52.5
Bandy Creek	69.6
Bandya	69.3
Banjup	65.2
Banksia Grove	67.1
Bannister (WA)	85.4
Barbalin	85.7
Barberton	33.3
Barrabup	28.6
Barragup	56.9
Barrow Island	78.9
Baskerville	61.5
Bassendean (WA)	60.1
Bateman	58.6
Baynton (WA)	67.1
Bayonet Head	56.2
Bayswater (WA)	62
Beachlands	51.3
Beacon	81
Beaconsfield (WA)	55.3
Beaufort River	67.3
Beaumont (WA)	73.7
Beckenham	56.1
Bedford	61.2
Bedfordale	62.2
Beechboro	54.7
Beechina	59.6
Beedelup	55.3
Beela	55.6
Beelerup	51.9
Beeliar	68.2
Beenong	94.7
Beermullah	79.8
Bejoording	58
Beldon	64.7
Belhus	50.2
Bellevue (WA)	56
Belmont (WA)	56.2
Bencubbin	57.3
Benger	65.9
Benjaberring	65
Benjinup	60.5
Bennett Springs	62
Bentley (WA)	38.7
Beresford	56.8
Berkshire Valley	72
Bertram	66.2
Beverley (WA)	40.1
Bibra Lake	60.4
Bickley	56.4
Bicton	57.1
Biddelia	60
Big Grove	40.8
Bilbarin	83.3
Bilingurr	71.8
Bindi Bindi	70.6
Bindoon	49.2
Binningup	57
Binnu	67.2
Birchmont	49.2
Bluff Point	45.9
Blythewood	67.9
Boallia	51.4
Bobalong	72.7
Bodallin	60
Boddington	57.8
Boilup	94.1
Bokal	64.5
Bolgart	59
Bonnie Rock	71.4
Bonniefield	57.4
Boodarie	52.2
Bookara	54.5
Boonanarring	66.7
Booragoon	54.7
Booralaming	41.7
Boorara Brook	38.8
Bootenal	61.5
Boothendarra	44.4
Borden	61.2
Borderdale	63.6
Bornholm	47.8
Boscabel	71.2
Boulder	59.8
Boundain	52.4
Bouvard	42.4
Bovell	61.6
Bow Bridge	57.6
Bowelling	57.4
Bowes	63.1
Bowgada	65.7
Boxwood Hill	64.4
Boya	66.3
Boyanup	62.9
Boyatup	56.3
Boyerine	60.9
Boyup Brook	45.4
Brabham	74.2
Bramley	61.8
Brazier	41
Breera	41.9
Bremer Bay	54.3
Brentwood (WA)	54.2
Bridgetown	48
Brigadoon	62.9
Bringo	57.6
Broadwater (WA)	45.9
Broadwood	76.3
Brockman	48.7
Broke (WA)	69.2
Brookdale (WA)	53.5
Brookhampton	56.7
Brookton	44.6
Broome	51.5
Broomehill East	69.8
Broomehill Village	43.6
Broomehill West	77.5
Brown Range	50.8
Bruce Rock	53
Brunswick (WA)	52.2
Buckingham (WA)	52.6
Buckland (WA)	26.8
Bulgarra	70.1
Bull Creek (WA)	52.4
Bullabulling	125
Bullaring	81.8
Buller	50.5
Bullfinch	47.1
Bullock Hills	75
Bullsbrook	59.7
Bulyee	72.1
Bunbury (WA)	55.1
Bundanoon (WA)	71.4
Buniche	94.7
Bunjil	76.7
Buntine	43.2
Burakin	57.7
Burekup	61.5
Burges	42.9
Burlong	3.3
Burma Road	75
Burns Beach	73.6
Burnside (WA)	64.8
Burracoppin	58.4
Burran Rock	91.7
Burswood	61
Busselton	42.4
Butler (WA)	61.2
Byford	67.4
Cable Beach	65
Cadoux	75
Caiguna	75
Calingiri	54.4
Calista	36.4
Caljie	39.5
Callcup	50
Camballin	26.1
Cambridge Gulf	58.3
Camillo	51.8
Cancanning	56.5
Cane	23.1
Canna	57.1
Canning Mills	66.7
Canning Vale	62
Cannington	55
Cape Burney	50.2
Cape Le Grand	17.6
Capel	53.9
Capel River	54.5
Capricorn	28.6
Caraban	42.9
Carabooda	58.6
Carani	100
Carbunup River	71.3
Cardiff (WA)	44.8
Cardup	64.4
Carey Park	48.4
Carine	64
Carlisle	57
Carlotta	45.8
Carmel	50.6
Carnamah	60.6
Carnarvon	50.3
Carrabin	60
Carramar (WA)	69.7
Carrolup	73.7
Cartmeticup	76.7
Cascade (WA)	84.9
Castletown	59.1
Casuarina (WA)	25
Cataby	66
Catterick	70.5
Caversham	68.4
Centennial Park (WA)	43.3
Cervantes	47
Chadwick	51
Champion Lakes	60.1
Chandler (WA)	46.2
Changerup	57.1
Channybearup	61.4
Chapman Hill	57.8
Charley Creek	49
Cherry Tree Pool	90
Cheynes	90
Chichester (WA)	31.6
Chidlow	59.8
Chittering	59.3
Chowerup	77.8
Churchlands	62.8
City Beach	55
Clackline	48.9
Claremont (WA)	51.1
Clarkson	63.2
Cleary	60
Cloverdale	52.7
Coblinine	59.5
Cockburn Central	67.5
Cocklebiddy	47.4
Codjatotine	53.7
Cold Harbour	61.2
Collanilling	68.4
College Grove	44.9
Collie (WA)	44.7
Collie Burn	67.4
Collingwood Heights	58.1
Collingwood Park (WA)	59.1
Collins	55.2
Commodine	95
Como (WA)	59.5
Condingup	53
Connolly	65.5
Contine	43.8
Coodanup	35
Coogee (WA)	58.6
Cookernup	50.4
Cooladar Hill	200
Coolbellup	52.7
Coolbinia	64.2
Coolcalalaya	37.5
Coolgardie (WA)	45.4
Cooloongup	47
Coolup	61.9
Coomalbidgup	77.6
Coomberdale	83.3
Coonabidgee	55.2
Coondle	43.4
Coorow	62.6
Cooya Pooya	100
Copley (WA)	57.1
Coral Bay	84.6
Corrigin	51.8
Cosmo Newbery	36.6
Cottesloe	59.6
Courtenay	57.6
Cowalellup	55
Cowalla	56.4
Cowaramup	65.7
Cowcowing	108.3
Coyrecup	85.3
Craigie (WA)	62.3
Cramphorne	63.3
Cranbrook (WA)	59.2
Crawley	34.4
Crooked Brook	62.2
Crossman	53.7
Crowea	44.6
Cuballing	56.7
Cubbine	73.7
Cue	43.3
Culham	44.8
Cullalla	48
Cundeelee	82.5
Cunderdin	55
Cundinup	52.1
Cunjardine	110.5
Currambine	67.1
Cuthbert	57.8
Daadenning Creek	95.2
Daglish	60.4
Dale	62.9
Daliak	26.4
Dalkeith	55.4
Dalwallinu	66.9
Dalyellup	64.7
Dalyup	54.3
Dampier	73.4
Dampier Peninsula	37.7
Dandanning	92.3
Dandaragan	65.5
Dangin	36.7
Darch	66.3
Dardadine	68.8
Dardanup	60.3
Dardanup West	64.3
Darkan	63.8
Darling Downs	60
Darlington (WA)	59.9
Darradup	47.1
Dartmoor (WA)	166.7
Dartnall	82.1
Datatine	70.8
Davenport (WA)	72.7
Dawesville	49.7
Dayton	72.1
De Grey	25.9
Deanmill	63.1
Deepdale	68
Deepdene (WA)	62.8
Denbarker	72.6
Denham	51.8
Denmark	44.7
Derby (WA)	48
Devils Creek	72.2
Dewars Pool	44.1
Diamond Tree	110
Dianella	56.5
Dindiloa	17.6
Dingup	72.3
Dinninup	64.2
Dixvale	65
Djugun	74.1
Dongara	45.6
Dongolocking	64
Donnybrook (WA)	48.2
Doodenanning	48.6
Doodlakine	63.8
Doubleview	63.7
Dowerin	53.3
Drome	70.7
Drummond Cove	64.3
Drysdale River	56.5
Dudawa	80
Dudinin	57.9
Dudley Park (WA)	42.6
Dukin	80
Dulbelling	58.5
Dulyalbin	89.5
Dumbarton	51.6
Dumberning	44.6
Dumbleyung	49.8
Duncraig	61.7
Dunn Rock	90.9
Dunsborough	62.2
Durack (WA)	50.6
Duranillin	69.2
Durawah	114.3
Dwarda	66.7
Dwellingup	50.7
Eagle Bay	32.4
East Augusta	23.1
East Ballidu	73.2
East Beverley	65.4
East Bowes	53.3
East Bunbury	50.2
East Cannington	58.6
East Carnarvon	58.2
East Chapman	50
East Damboring	27.3
East Fremantle	61.7
East Munglinup	49
East Murchison	57.1
East Nabawa	75
East Nannup	44.4
East Newdegate	90.9
East Perth	59.1
East Pingelly	76.8
East Popanyinning	76.9
East Rockingham	20.5
East Victoria Park	62.1
East Wickepin	69.7
East Yuna	36.4
Eastbrook	73.8
Eaton (WA)	54.4
Eden Hill	55.7
Edgewater	64.4
Eganu	85.3
Eglinton (WA)	72.9
Eighty Mile Beach	52
Elabbin	100
Elachbutting	60
Elgin (WA)	74
Elleker	62.8
Ellenbrook	62.8
Ellendale (WA)	72.7
Embleton	56
Emu Flat (WA)	56
Emu Point	30.9
Eneabba	49.2
Eradu	75
Eradu South	118.2
Erskine (WA)	34
Esperance	44.4
Eucla	56.9
Ewlyamartup	62.5
Exmouth	67.1
Exmouth Gulf	54.3
Fairbridge	48.6
Falcon	46.6
Ferguson (WA)	62.2
Ferndale (WA)	54.9
Fitzroy Crossing	39.5
Floreat	64.4
Forest Grove (WA)	66.2
Forest Hill (WA)	26.2
Forrest Beach (WA)	76.9
Forrestania	82.2
Forrestdale	58.8
Forrestfield	58.8
Fortescue (WA)	37.5
Frankland River	66.2
Fraser Range	47.9
Fremantle	55.3
Furnissdale	34.3
Gabalong	112.5
Gabbadah	44.7
Gabbin	57.8
Gairdner	67.4
Gap Ridge	49.4
Garden Island (WA)	53.6
Gascoyne Junction	39.7
Gascoyne River	26.1
Geegully Creek	61.1
Gelorup	60.6
Geographe	50.5
Georgina (WA)	71
Geraldton	44.5
Ghooli	66.7
Gibb	40.3
Gibson	47.4
Gibson Desert North	22.2
Gidgegannup	62.5
Gilgering	55.1
Gillimanning	93.3
Gillingarra	87.1
Gingin	57.1
Ginginup	46.7
Girrawheen	49.1
Gledhow	55.2
Glen Forrest	59.2
Glen Iris (WA)	60.4
Glen Mervyn	72.1
Glencoe (WA)	82.8
Glendalough	58.8
Glenfield (WA)	64.6
Glenlynn	88.1
Glenoran	57.1
Glentromie	70.5
Gnangara	56.2
Gnarabup	72.8
Gnowangerup	51.8
Gnowellen	69.2
Golden Bay	63.3
Goode Beach	47.2
Goodlands	67.5
Goomalling	42.6
Goomarin	90
Gooseberry Hill	54.9
Gorge Rock	82.1
Gosnells	49
Gracetown	61
Granville (WA)	40
Grass Patch	67.7
Grass Valley	51.7
Green Head	30.4
Green Range	78.4
Green Valley (WA)	68.2
Greenbushes	40
Greenfields	41.3
Greenhills	58.1
Greenmount (WA)	55.4
Greenough	57
Greenwood (WA)	61.7
Greenwoods Valley	50
Gregory (WA)	34.4
Greys Plain	3.9
Guilderton	36.5
Guildford (WA)	50.6
Gundaring	75
Gunyidi	74.3
Gutha	69.7
Gwambygine	63.6
Gwelup	61.1
Gwindinup	71.8
Hacketts Gully	60
Halls Creek (WA)	33
Halls Head	53.3
Hamel	61.4
Hamelin Bay	43.9
Hamelin Pool	40
Hamersley	59.6
Hamilton Hill	51.7
Hammond Park	73.9
Hannans	72
Harris River	53.4
Harrisdale	73.5
Harrismith	83.7
Harvey	49.9
Hastings (WA)	67.9
Hay (WA)	59.9
Haynes	70.1
Hazelmere	46.5
Hazelvale	58.7
Heathridge	64.5
Helena Valley	63.3
Henderson	46.2
Henley Brook	61
Henty (WA)	59.2
Herne Hill (WA)	57.3
Herron	46.5
Hester	46.3
Hester Brook	65.1
Higginsville	83.3
High Wycombe	60.6
Highbury (WA)	51.2
Highgate (WA)	66.4
Hilbert	71.1
Hill River (WA)	86.6
Hillarys	63.2
Hillman	46.9
Hillside (WA)	64.7
Hilton (WA)	55.5
Hindmarsh (WA)	87.5
Hines Hill	48.9
Hithergreen	72.5
Hocking	70.5
Hoddys Well	54.6
Hoffman	38.2
Holmwood	90.9
Holt Rock	81.5
Holyoake	78.9
Hope Valley (WA)	39.3
Hopeland (WA)	57.8
Hopetoun (WA)	42.8
Horrocks	46.9
Hovea	66.5
Howatharra	60.7
Howick (WA)	67.6
Hulongine	56.7
Huntingdale (WA)	61.6
Hyden	75.5
Ikewa	84
Iluka (WA)	69.3
Indee	61.8
Inggarda	50
Inglehope	34.4
Inglewood (WA)	63.5
Inkpen	60
Innaloo	61.5
Innawanga	40.9
Irishtown (WA)	54.5
Irwin	69.6
Isseka	66
Jackitup	75
Jacup	86
Jalbarragup	33.6
Jaloran	45.8
Jandabup	57.8
Jandakot	59.6
Jane Brook	68.7
Jardee	66.2
Jarrahdale	57.9
Jarrahwood	29.4
Jelcobine	65.6
Jennacubbine	62.5
Jennapullin	57.7
Jerdacuttup	81.4
Jerramungup	63.8
Jibberding	62.9
Jilakin	52.6
Jindalee (WA)	71.5
Jindong	68.5
Jingalup	75.3
Jitarning	100
Jolimont	43.8
Joondalup	59.3
Joondanna	63.2
Julimar	47.3
Juna Downs	86
Jurien Bay	45.9
Kadathinni	92.3
Kalamunda	52.4
Kalannie	57.1
Kalbarri	50
Kalgan	50.4
Kalgoorlie	62.2
Kalgup	75
Kallaroo	58.6
Kaloorup	84.5
Kalumburu	20.6
Kambalda East	52.5
Kambalda West	57.4
Kangaroo Gully	50.7
Kanowna	40
Karakin	43
Karalundi	49
Karawara	41.5
Kardinya	59.6
Karijini	50
Karlgarin	73.2
Karlkurla	66.7
Karloning	75
Karloo	35.6
Karnup	64.6
Karragullen	65.3
Karrakatta	80
Karrakup	51.3
Karranadgin	76.5
Karratha	66.2
Karratha Industrial Estate	63.8
Karridale	60.7
Karrinyup	59.4
Katanning	51.5
Katrine	66.7
Kauring	45.3
Kealy	75.1
Kebaringup	72
Kellerberrin	43.6
Kelmscott	52.4
Kendenup	44
Kenmare (WA)	100
Kensington (WA)	62
Kentdale	57
Kenwick	56.6
Kewdale	55.7
Keysbrook	21.6
Kiara	59.7
Kimbolton (WA)	54.5
King Leopold Ranges	52.9
King River	61.4
Kings Park (WA)	39.1
Kingsford (WA)	52
Kingsley	60.2
Kingston (WA)	50
Kinross	67.3
Kirk Rock	36.4
Kirup	49.4
Kojaneerup South	51.6
Kojarena	54.2
Kojonup	56.7
Kokeby	37.7
Kondinin	58.7
Kondut	77.8
Konnongorring	77.4
Koojan	82.2
Kookynie	28.9
Koolanooka	125
Koolyanobbing	64.9
Koomberkine	59.6
Koondoola	42.5
Koongamia	50.8
Koorda	49.8
Korbel	70
Kordabup	48.9
Korrelocking	64.3
Kronkup	62.9
Kudardup	60.5
Kuender	87.1
Kukerin	36.5
Kulikup	62.9
