SSC_NAME16	labourForceParticipation
Cookamidgera	50.8
Cookardinia	65
Cooks Gap	49.1
Cooks Hill	66.1
Cooks Myalls	59.5
Coolabah	53.8
Coolac	65.3
Coolagolite	50.6
Coolah	53
Coolamon	55.2
Coolangatta (NSW)	63.6
Coolatai	60.2
Cooleys Creek	87.5
Coolgardie (NSW)	41.1
Coolongolook	41.3
Coolringdon	76.3
Coolumbooka	100
Cooma (NSW)	53.5
Coomba Bay	35.9
Coomba Park	27.6
Coombadjha	71.4
Coombell	38.9
Coomealla	50.1
Coomoo Coomoo	125
Coonabarabran	44.8
Coonamble	48.5
Coongbar	100
Cooperabung	60.6
Coopernook	50.6
Coopers Gully	60.9
Coopers Shoot	45.1
Cooplacurripa	46.7
Coorabell	60.2
Cooranbong	51.2
Cootamundra	47.3
Cootralantra	73.2
Cooyal	59.8
Copacabana	67.6
Cope	51.1
Copeland	57.4
Copeton	40.5
Copmanhurst	38.2
Coppabella (NSW)	45.5
Copperhannia	100
Coraki	43.5
Coralville	33.3
Coramba	61.8
Corang	40
Corangula	23.8
Corbie Hill	61.4
Cordeaux Heights	70.9
Coree	70.8
Coreen	60.2
Corindi Beach	56.8
Corinella (NSW)	69
Corlette	50.4
Corndale (NSW)	64.5
Corney Town	48.4
Cornwallis	61.9
Corobimilla	90.6
Corowa	51.3
Corrabare	40
Corrimal	56.6
Corrong	100
Corrowong	46.2
Corunna	50.8
Cottage Point	38.7
Cottonvale (NSW)	15.8
Cougal	15.2
Countegany	58.6
Courabyra	66.7
Couradda	56.8
Couragago	60
Couridjah	66.3
Coutts Crossing	52.5
Cow Flat	51.8
Cowabbie	71.4
Cowan	67.4
Cowper	59.2
Cowra	49.7
Coxs Creek	48.8
Coxs Crown	75
Crabbes Creek	56.7
Crackenback	72.5
Craigie (NSW)	61.5
Cranebrook	69.7
Craven	43.3
Craven Plateau	75
Crawford River	54.8
Crawney	71
Creewah	20.7
Cremorne (NSW)	70.8
Cremorne Point	66
Crescent Head	53.2
Crestwood	66.6
Cringila	41.5
Croki	33.3
Cromer (NSW)	64.7
Cronulla	66.5
Crooble	81.6
Croobyar	52.6
Crooked Corner	51.8
Crookwell	52.2
Croom	68.8
Croppa Creek	72.8
Cross Roads (NSW)	76.5
Crosslands	54.3
Croudace Bay	59.4
Crowdy Head	31
Crows Nest (NSW)	74.9
Crowther	58.8
Croydon (NSW)	60.3
Croydon Park (NSW)	62.7
Crudine	50
Cryon	96.4
Crystal Creek (NSW)	56.7
Cubba	68
Cudal	58.7
Cudgegong	41.9
Cudgel	52
Cudgen	65
Cudgera Creek	68.1
Cudmirrah	41.6
Culburra Beach	42.9
Culcairn	53.5
Cullen Bullen	37.7
Cullenbone	65.5
Cullendore	60
Cullerin	73.5
Cullivel	40
Culmaran Creek	70
Cumbalum	70.5
Cumbandry	33.3
Cumberland Reach	77.9
Cumbo	33.3
Cumborah	27.9
Cumnock	55.9
Cundle Flat	90
Cundletown	50.9
Cundumbul	83.3
Cunjurong Point	44.4
Cunningar	66.7
Cunninyeuk	74.1
Curban	71.4
Curl Curl	64.7
Curlew Waters	80
Curlewis (NSW)	59.4
Curlwaa	64
Curra Creek	50.8
Currabubula	64.6
Curramore (NSW)	54.8
Currans Hill	75.3
Currarong	36.8
Currawang	63.2
Currawarna	58.4
Curraweela	70
Curricabark	40
Currowan	42.6
Cuttabri	59.4
Cuttagee	22.2
Dabee	64.5
Daceyville	32.2
Dairy Arm	57.1
Dairy Flat	71.4
Dairymans Plains	67.6
Daleys Point	38.4
Dalgety	61.5
Dalmeny	35.9
Dalswinton	78.6
Dalton	65.7
Dalwood (Ballina - NSW)	63.7
Dalwood (Singleton - NSW)	72.3
Dandaloo	70.4
Dandry	42.3
Dangar Island	53.9
Dangarsleigh	65.1
Dangelong	100
Dapto	56
Darawank	49.7
Darbalara	51.4
Darbys Falls	45.5
Dareton	30.3
Dargan	41.9
Dark Corner	64.7
Darkes Forest	64.9
Darkwood	50.7
Darling Point	56.7
Darlinghurst	69.2
Darlington (Singleton - NSW)	63.2
Darlington (Sydney - NSW)	56
Darlington Point	56.4
Darlow	80
Dartbrook	66.3
Daruka	76.9
Davidson	66.2
Davis Creek	42.9
Davistown	52.4
Dawes Point	65.6
Daysdale	48.8
Dean Park	61.6
