SSC_NAME16	Sex	labourForceParticipation
Brown Range	M	60.9
Bruce Rock	F	49.8
Bruce Rock	M	60.9
Brunswick (WA)	F	48.6
Brunswick (WA)	M	63.4
Buckingham (WA)	F	66.7
Buckingham (WA)	M	77.8
Buckland (WA)	F	56.3
Buckland (WA)	M	72.2
Bulgarra	F	68.1
Bulgarra	M	77.9
Bull Creek (WA)	F	50.6
Bull Creek (WA)	M	63.9
Bullabulling	M	37.5
Bullaring	F	69
Bullaring	M	97.3
Buller	F	56
Buller	M	54.2
Bullfinch	F	46.7
Bullfinch	M	50
Bullock Hills	F	100
Bullock Hills	M	100
Bullsbrook	F	59.8
Bullsbrook	M	67.8
Bulyee	F	57.9
Bulyee	M	60
Bunbury (WA)	F	54.8
Bunbury (WA)	M	63.9
Bundanoon (WA)	F	100
Bundanoon (WA)	M	100
Buniche	F	100
Buniche	M	100
Bunjil	F	68.8
Bunjil	M	66.7
Buntine	F	54.5
Buntine	M	60.7
Burakin	F	40
Burakin	M	90
Burekup	F	60.7
Burekup	M	70.5
Burlong	F	30.8
Burlong	M	1.1
Burns Beach	F	74.8
Burns Beach	M	82.5
Burnside (WA)	F	66.3
Burnside (WA)	M	75.5
Burracoppin	F	63.4
Burracoppin	M	51.2
Burran Rock	F	33.3
Burran Rock	M	40
Burswood	F	62
Burswood	M	69.6
Busselton	F	41.7
Busselton	M	51.8
Butler (WA)	F	62.3
Butler (WA)	M	73.2
Byford	F	66.1
Byford	M	79.5
Cable Beach	F	65.7
Cable Beach	M	70
Cadoux	F	70.4
Cadoux	M	77.4
Caiguna	F	100
Caiguna	M	42.9
Calingiri	F	46.7
Calingiri	M	61.3
Calista	F	34.7
Calista	M	48.9
Caljie	F	16.7
Caljie	M	52.4
Callcup	F	125
Callcup	M	53.8
Camballin	F	31.1
Camballin	M	46.3
Cambridge Gulf	F	77.8
Cambridge Gulf	M	69.2
Camillo	F	52.5
Camillo	M	66.2
Cancanning	F	25
Cancanning	M	85.7
Cane	M	60
Canna	F	86.4
Canna	M	92.3
Canning Mills	F	100
Canning Mills	M	37.5
Canning Vale	F	64.6
Canning Vale	M	70.5
Cannington	F	55.8
Cannington	M	70.2
Cape Burney	F	55.6
Cape Burney	M	56.1
Cape Le Grand	M	23.1
Cape Range National Park	F	42.9
Cape Range National Park	M	50
Capel	F	51.8
Capel	M	64
Capel River	F	65.6
Capel River	M	65.5
Capricorn	F	43.8
Capricorn	M	31.3
Caraban	M	37.5
Carabooda	F	58.9
Carabooda	M	61.8
Carani	F	100
Carani	M	100
Carbunup River	F	62.8
Carbunup River	M	81.6
Cardiff (WA)	F	43.6
Cardiff (WA)	M	60.9
Cardup	F	65.4
Cardup	M	73.3
Carey Park	F	48.3
Carey Park	M	60.5
Carine	F	64
Carine	M	70.6
Carlisle	F	59.7
Carlisle	M	65.1
Carlotta	F	45.7
Carlotta	M	46.3
Carmel	F	54
Carmel	M	56.8
Carnamah	F	55.3
Carnamah	M	69.3
Carnarvon	F	56.8
Carnarvon	M	49.5
Carramar (WA)	F	70.8
Carramar (WA)	M	79
Carrolup	F	100
Carrolup	M	81
Cartmeticup	F	64.7
Cartmeticup	M	90
Cascade (WA)	F	68.3
Cascade (WA)	M	87.8
Castletown	F	56.6
Castletown	M	67.9
Casuarina (WA)	F	63.9
Casuarina (WA)	M	18.6
Cataby	F	80
Cataby	M	87.9
Catterick	F	69
Catterick	M	82.9
Caversham	F	67.4
Caversham	M	78.7
Centennial Park (WA)	F	39.6
Centennial Park (WA)	M	54.4
Cervantes	F	46.9
Cervantes	M	50.4
Chadwick	F	58.2
Chadwick	M	57.7
Champion Lakes	F	60.1
Champion Lakes	M	67.9
Chandler (WA)	F	85.7
Changerup	F	52.9
Changerup	M	57.7
Channybearup	F	64.5
Channybearup	M	75.4
Chapman Hill	F	52.3
Chapman Hill	M	68.9
Charley Creek	F	58.3
Charley Creek	M	65.4
Cherry Tree Pool	F	85
Cherry Tree Pool	M	86.4
Cheynes	F	71.4
Cheynes	M	100
Chichester (WA)	M	50
Chidlow	F	61.4
Chidlow	M	67.2
Chittering	F	56
Chittering	M	68.1
Chowerup	F	61.5
Chowerup	M	115.4
Churchlands	F	63.3
Churchlands	M	70.7
City Beach	F	50.6
City Beach	M	66.4
Clackline	F	45.7
Clackline	M	57.2
Claremont (WA)	F	48.9
Claremont (WA)	M	60.8
Clarkson	F	65.1
Clarkson	M	75.9
Cleary	F	100
Cleary	M	100
Cloverdale	F	52.7
Cloverdale	M	64.2
Coblinine	F	55
Coblinine	M	78.6
Cockburn Central	F	68.6
Cockburn Central	M	80.7
Cocklebiddy	F	30
Cocklebiddy	M	21.4
Codjatotine	F	42.9
Codjatotine	M	91.3
Cold Harbour	F	50
Cold Harbour	M	73.5
Collanilling	F	72.7
Collanilling	M	45.5
College Grove	F	59.2
College Grove	M	42.6
Collie (WA)	F	45.7
Collie (WA)	M	54.8
Collie Burn	F	57.9
Collie Burn	M	72
Collingwood Heights	F	55.1
Collingwood Heights	M	63
Collingwood Park (WA)	F	58.4
Collingwood Park (WA)	M	65.6
Collins	F	27.3
Collins	M	50
Commodine	F	85.7
Commodine	M	109.1
Como (WA)	F	59.1
Como (WA)	M	69.6
Condingup	F	52.3
Condingup	M	63
Connolly	F	67.7
Connolly	M	72.2
Contine	F	66.7
Contine	M	83.3
Coodanup	F	37.2
Coodanup	M	46.9
Coogee (WA)	F	59.5
Coogee (WA)	M	66.4
Cookernup	F	50.3
Cookernup	M	61
Coolbellup	F	55.4
Coolbellup	M	62.7
Coolbinia	F	63
Coolbinia	M	72.6
Coolcalalaya	F	42.9
Coolgardie (WA)	F	46.3
Coolgardie (WA)	M	54.5
Cooloongup	F	49.1
Cooloongup	M	59.6
Coolup	F	64.8
Coolup	M	66.7
Coomalbidgup	F	70.5
Coomalbidgup	M	78.6
Coomberdale	F	73.9
Coomberdale	M	78.6
Coonabidgee	F	45.7
Coonabidgee	M	63.2
Coondle	F	41.8
Coondle	M	51.6
Coorow	F	54.8
Coorow	M	78.6
Cooya Pooya	M	100
Copley (WA)	F	59.3
Copley (WA)	M	60.9
Coral Bay	F	79.3
Coral Bay	M	90.2
Corrigin	F	49.1
Corrigin	M	58.2
Cosmo Newbery	F	61.9
Cosmo Newbery	M	43.5
Cottesloe	F	57.1
Cottesloe	M	68.3
Courtenay	F	85.7
Courtenay	M	82.4
Cowalellup	F	100
Cowalellup	M	80
Cowalla	F	50
Cowalla	M	61.9
Cowaramup	F	65.5
Cowaramup	M	70.5
Cowcowing	F	75
Cowcowing	M	133.3
Coyrecup	F	100
Coyrecup	M	85.7
Craigie (WA)	F	62
Craigie (WA)	M	72.8
Cramphorne	F	54.5
Cramphorne	M	91.7
Cranbrook (WA)	F	52.4
Cranbrook (WA)	M	66.2
Crawley	F	42.4
Crawley	M	45.7
Crooked Brook	F	61.7
Crooked Brook	M	72.1
Crossman	F	64.4
Crossman	M	62.2
Crowea	F	63
Crowea	M	51.8
Cuballing	F	60.2
Cuballing	M	54.5
Cubbine	F	62.5
Cubbine	M	58.3
Cue	F	36.4
Cue	M	47.2
Culham	F	80
Culham	M	63.6
Cullalla	F	23.1
Cullalla	M	60
Cundeelee	F	133.3
Cundeelee	M	87.1
Cunderdin	F	50.2
Cunderdin	M	64.3
Cundinup	F	50
Cundinup	M	59.1
Cunjardine	F	100
Cunjardine	M	100
Currambine	F	68.8
Currambine	M	76
Cuthbert	F	62.3
Cuthbert	M	57.6
Daadenning Creek	F	111.1
Daadenning Creek	M	46.2
Daglish	F	63.5
Daglish	M	67.7
Dale	F	58.4
Dale	M	61.2
Daliak	F	19
Daliak	M	44.4
Dalkeith	F	49.5
Dalkeith	M	67.8
Dalwallinu	F	60.1
Dalwallinu	M	77.5
Dalyellup	F	64.3
Dalyellup	M	76.5
Dalyup	F	48.2
Dalyup	M	63
Dampier	F	71.5
Dampier	M	83.2
Dampier Peninsula	F	42.4
Dampier Peninsula	M	45.1
Dandanning	M	100
Dandaragan	F	62.7
Dandaragan	M	70.4
Dangin	F	21.1
Dangin	M	35.3
Darch	F	67.2
Darch	M	75.8
Dardadine	F	71.4
Dardadine	M	128.6
Dardanup	F	58.1
Dardanup	M	70.8
Dardanup West	F	68.8
Dardanup West	M	69.2
Darkan	F	57.1
Darkan	M	75
Darling Downs	F	56.5
Darling Downs	M	71.8
Darlington (WA)	F	58.4
Darlington (WA)	M	67.7
Darradup	F	37.5
Darradup	M	73.7
Dartmoor (WA)	M	100
Dartnall	F	75
Dartnall	M	100
Datatine	F	100
Datatine	M	85.7
Davenport (WA)	M	71.4
Dawesville	F	51.4
Dawesville	M	59.4
Dayton	F	70.4
Dayton	M	82.4
De Grey	F	43.8
De Grey	M	20
Deanmill	F	61.8
Deanmill	M	71.7
Deepdale	F	71.1
Deepdale	M	72.3
Deepdene (WA)	F	65
Deepdene (WA)	M	59.3
Denbarker	F	76
Denbarker	M	76.9
Denham	F	52.9
Denham	M	56.3
Denmark	F	43.1
Denmark	M	51.9
Derby (WA)	F	52.3
Derby (WA)	M	52.8
Devils Creek	F	44.4
Devils Creek	M	84.6
Dewars Pool	F	46.2
Dewars Pool	M	71.4
Diamond Tree	F	53.8
Diamond Tree	M	70
Dianella	F	55.6
Dianella	M	66.8
Dindiloa	F	120
Dindiloa	M	33.3
Dingup	F	68.5
Dingup	M	67.5
Dinninup	F	66.7
Dinninup	M	72.5
Dixvale	F	50
Dixvale	M	95.7
Djugun	F	75.7
Djugun	M	78.3
Dongara	F	47
Dongara	M	52.5
Dongolocking	F	100
Dongolocking	M	80
Donnelly River	M	60
Donnybrook (WA)	F	45.6
Donnybrook (WA)	M	60.1
Doodenanning	F	30.8
Doodenanning	M	40
Doodlakine	F	75.9
Doodlakine	M	72.7
Doubleview	F	63.9
Doubleview	M	71.9
Dowerin	F	43.8
Dowerin	M	67.6
Drome	F	68.2
Drome	M	77.3
Drummond Cove	F	64.1
Drummond Cove	M	73.5
Drysdale River	F	30
Drysdale River	M	50
Dudawa	F	140
Dudawa	M	100
Dudinin	F	52.4
Dudinin	M	78.1
Dudley Park (WA)	F	42.6
Dudley Park (WA)	M	52.9
Dukin	F	50
Dukin	M	100
Dulbelling	F	65.2
Dulbelling	M	72.2
Dulyalbin	F	55.6
Dulyalbin	M	71.4
Dumbarton	F	50
Dumbarton	M	59.4
Dumberning	F	43.6
Dumberning	M	47.3
Dumbleyung	F	55.5
Dumbleyung	M	61.9
Duncraig	F	61
Duncraig	M	70.8
Dunn Rock	F	50
Dunn Rock	M	71.4
Dunsborough	F	60.9
Dunsborough	M	69.3
Durack (WA)	F	44
Durack (WA)	M	51.9
Duranillin	F	66.7
Duranillin	M	56.7
Durawah	F	100
Durawah	M	100
Dwarda	F	85.7
Dwarda	M	30
Dwellingup	F	49.3
Dwellingup	M	58.8
Eagle Bay	F	27.8
Eagle Bay	M	42.1
East Augusta	F	33.3
East Augusta	M	25
East Ballidu	F	69.2
East Ballidu	M	100
East Beverley	F	65.8
East Beverley	M	72.7
East Bowes	F	41.4
East Bowes	M	94.4
East Bunbury	F	50.3
East Bunbury	M	60.6
East Cannington	F	59.1
East Cannington	M	71.3
East Carnarvon	F	58.8
East Carnarvon	M	63.3
East Chapman	F	100
East Chapman	M	71.4
East Damboring	M	200
East Fremantle	F	62.3
East Fremantle	M	68.9
East Munglinup	F	70.6
East Munglinup	M	55.2
East Murchison	F	100
East Nannup	F	88.9
East Nannup	M	47.1
East Newdegate	F	60
East Newdegate	M	100
East Perth	F	60.9
East Perth	M	67.9
East Pingelly	F	69.2
East Pingelly	M	89.5
East Popanyinning	F	71.4
East Popanyinning	M	55.6
East Rockingham	F	23.5
East Rockingham	M	29.4
East Victoria Park	F	65.3
East Victoria Park	M	70
East Wickepin	F	100
East Wickepin	M	68.4
East Yuna	F	35.3
East Yuna	M	52.6
Eastbrook	F	64.6
Eastbrook	M	75.4
Eaton (WA)	F	52.7
Eaton (WA)	M	65.4
Eden Hill	F	55.8
Eden Hill	M	66.1
Edgewater	F	64
Edgewater	M	73.2
Eganu	F	83.3
Eganu	M	84.2
Eglinton (WA)	F	72.1
Eglinton (WA)	M	80.7
Eighty Mile Beach	F	52.6
Eighty Mile Beach	M	58.9
Elabbin	F	66.7
Elabbin	M	53.8
Elachbutting	F	66.7
Elachbutting	M	75
Elgin (WA)	F	62
Elgin (WA)	M	86
Elleker	F	67.1
Elleker	M	63.7
Ellenbrook	F	62.3
Ellenbrook	M	75.4
Ellendale (WA)	F	42.9
Ellendale (WA)	M	100
Embleton	F	55.3
Embleton	M	67.5
Emu Flat (WA)	F	75
Emu Flat (WA)	M	88.2
Emu Point	F	28.1
Emu Point	M	34.1
Eneabba	F	40.7
Eneabba	M	65
Eradu	F	42.9
Eradu	M	100
Eradu South	M	116.7
Erskine (WA)	F	33.2
Erskine (WA)	M	43.4
Esperance	F	40.8
Esperance	M	53.1
Eucla	F	60.9
Eucla	M	62.5
Ewlyamartup	F	57.1
Ewlyamartup	M	62.5
Exmouth	F	67.7
Exmouth	M	72.3
Exmouth Gulf	F	41.7
Exmouth Gulf	M	52.2
Fairbridge	F	40
Fairbridge	M	55.6
Falcon	F	50.1
Falcon	M	55.5
Ferguson (WA)	F	61.3
Ferguson (WA)	M	56.3
Ferndale (WA)	F	54.6
Ferndale (WA)	M	65.3
Fitzroy Crossing	F	40.2
Fitzroy Crossing	M	48.9
Floreat	F	62.9
Floreat	M	73.1
Forest Grove (WA)	F	63.4
Forest Grove (WA)	M	67
Forest Hill (WA)	F	56
Forest Hill (WA)	M	20.6
Forrest Beach (WA)	F	27.8
Forrest Beach (WA)	M	90.9
Forrestania	F	66.7
Forrestania	M	87.5
Forrestdale	F	58.2
Forrestdale	M	68.2
Forrestfield	F	57.1
Forrestfield	M	70.5
Fortescue (WA)	F	25
Fortescue (WA)	M	45
Frankland River	F	64.3
Frankland River	M	65.8
Fraser Range	F	42.9
Fraser Range	M	46.5
Fremantle	F	57.6
Fremantle	M	62.1
Furnissdale	F	40
Furnissdale	M	40.6
Gabalong	M	100
Gabbadah	F	41.6
Gabbadah	M	55.1
Gabbin	F	72.2
Gabbin	M	90
Gairdner	F	83.3
Gairdner	M	82
Gap Ridge	F	80
Gap Ridge	M	48.1
Garden Island (WA)	F	48.4
Garden Island (WA)	M	54.4
Gascoyne Junction	F	56
Gascoyne Junction	M	58.1
Gascoyne River	F	25
Gascoyne River	M	32.4
Geegully Creek	F	133.3
Geegully Creek	M	31.3
Gelorup	F	59.7
Gelorup	M	69.8
Geographe	F	51.6
Geographe	M	58.2
Georgina (WA)	F	88.5
Georgina (WA)	M	87.1
Geraldton	F	45.2
Geraldton	M	54.6
Ghooli	F	75
Gibb	F	40.5
Gibb	M	52.4
Gibson	F	50.6
Gibson	M	54.2
Gibson Desert North	F	31
Gibson Desert North	M	42.9
Gidgegannup	F	61.9
Gidgegannup	M	69.6
Gilgering	F	55.2
Gilgering	M	61.1
Gillimanning	F	100
Gillimanning	M	33.3
Gillingarra	F	93.3
Gillingarra	M	95
Gingin	F	54.6
Gingin	M	64.3
Ginginup	F	61.5
Ginginup	M	66.7
Girrawheen	F	50.5
Girrawheen	M	62.1
Gledhow	F	57.6
Gledhow	M	59.7
Glen Forrest	F	61.1
Glen Forrest	M	66.5
Glen Iris (WA)	F	62.1
Glen Iris (WA)	M	72.4
Glen Mervyn	F	68.2
Glen Mervyn	M	72
Glencoe (WA)	F	53.3
Glencoe (WA)	M	108.3
Glendalough	F	59.7
Glendalough	M	69.7
Glenfield (WA)	F	65.6
Glenfield (WA)	M	72.4
Glenlynn	F	82.2
Glenlynn	M	78.9
Glenoran	F	50
Glenoran	M	50
Glentromie	F	78.9
Glentromie	M	60.7
Gnangara	F	55.5
Gnangara	M	62.3
Gnarabup	F	71
Gnarabup	M	74.4
Gnowangerup	F	45.8
Gnowangerup	M	63.5
Gnowellen	F	87.5
Gnowellen	M	60
Golden Bay	F	64.2
Golden Bay	M	75.4
Goode Beach	F	45.9
Goode Beach	M	46.2
Goodlands	F	92.3
Goodlands	M	72
Goomalling	F	41.7
Goomalling	M	49.8
Goomarin	F	75
Goomarin	M	77.8
Gooseberry Hill	F	53
Gooseberry Hill	M	64.1
Gorge Rock	F	66.7
Gorge Rock	M	90.9
Gosnells	F	48.1
Gosnells	M	63.5
Gracetown	F	60.7
Gracetown	M	61.9
Granville (WA)	F	33.3
Granville (WA)	M	128.6
Grass Patch	F	67.4
Grass Patch	M	71.4
Grass Valley	F	53.7
Grass Valley	M	63.9
Green Head	F	33.9
Green Head	M	34.5
Green Range	F	83.3
Green Range	M	92
Green Valley (WA)	F	57.9
Green Valley (WA)	M	60.7
Greenbushes	F	40.5
Greenbushes	M	47.1
Greenfields	F	41.8
Greenfields	M	54.2
Greenhills	F	47.8
Greenhills	M	38.1
Greenmount (WA)	F	55.2
Greenmount (WA)	M	64.1
Greenough	F	51.7
Greenough	M	60.7
Greenwood (WA)	F	62.5
Greenwood (WA)	M	70.5
Greenwoods Valley	F	100
Greenwoods Valley	M	100
Gregory (WA)	F	51.9
Gregory (WA)	M	34.3
Greys Plain	F	18.2
Greys Plain	M	29.5
Guilderton	F	33.8
Guilderton	M	39.7
Guildford (WA)	F	52.8
Guildford (WA)	M	55.1
Gundaring	F	100
Gundaring	M	100
Gunyidi	F	85.7
Gunyidi	M	87
Gutha	F	38.9
Gutha	M	85.7
Gwambygine	F	55.6
Gwambygine	M	58.1
Gwelup	F	57.7
Gwelup	M	71.7
Gwindinup	F	59.1
Gwindinup	M	52.6
Hacketts Gully	F	78.6
Hacketts Gully	M	66.7
Halls Creek (WA)	F	35.4
Halls Creek (WA)	M	42.8
Halls Head	F	54.5
Halls Head	M	63.4
Hamel	F	57.8
Hamel	M	65.2
Hamelin Bay	F	57.9
Hamelin Bay	M	56
Hamelin Pool	F	114.3
Hamelin Pool	M	20
Hamersley	F	59.4
Hamersley	M	67.3
Hamilton Hill	F	53.5
Hamilton Hill	M	61.2
Hammond Park	F	73.2
Hammond Park	M	84.3
Hannans	F	66.8
Hannans	M	82.5
Harris River	F	36.8
Harris River	M	74.4
Harrisdale	F	72.8
Harrisdale	M	85.7
Harrismith	F	73.9
Harrismith	M	85.7
Harvey	F	45.7
Harvey	M	61.4
Hastings (WA)	F	100
Hastings (WA)	M	56.3
Hay (WA)	F	59.4
Hay (WA)	M	62.3
Haynes	F	69.9
Haynes	M	81.1
Hazelmere	F	44.8
Hazelmere	M	56.6
Hazelvale	F	41.2
Hazelvale	M	57.6
Heathridge	F	64.8
Heathridge	M	74.6
Helena Valley	F	62.3
Helena Valley	M	73.3
Henderson	M	25
Henley Brook	F	60.2
Henley Brook	M	71.9
Henty (WA)	F	53.8
Henty (WA)	M	74.1
Herne Hill (WA)	F	58.3
Herne Hill (WA)	M	64.3
Herron	F	52
Herron	M	55.9
Hester	F	32.4
Hester	M	65.1
Hester Brook	F	69.4
Hester Brook	M	55.1
Higginsville	F	78.6
Higginsville	M	96
High Wycombe	F	60.5
High Wycombe	M	71.3
Highbury (WA)	F	48.2
Highbury (WA)	M	54.2
Highgate (WA)	F	67.7
Highgate (WA)	M	74.1
Hilbert	F	70.6
Hilbert	M	84
Hill River (WA)	F	86.1
Hill River (WA)	M	81.6
Hillarys	F	62.9
Hillarys	M	72.5
Hillman	F	47.9
Hillman	M	61
Hillside (WA)	F	64
Hillside (WA)	M	63
Hilton (WA)	F	56.5
Hilton (WA)	M	65.7
Hindmarsh (WA)	F	83.3
Hindmarsh (WA)	M	60
Hines Hill	F	73.3
Hines Hill	M	51.7
Hithergreen	F	71
Hithergreen	M	80
Hocking	F	70.1
Hocking	M	81.3
Hoddys Well	F	48.2
Hoddys Well	M	66.1
Hoffman	F	35.3
Hoffman	M	70.6
Holmwood	F	122.2
Holmwood	M	72.7
Holt Rock	F	64.3
Holt Rock	M	94.4
Holyoake	F	175
Holyoake	M	36.4
Hope Valley (WA)	F	45.8
Hope Valley (WA)	M	61.5
Hopeland (WA)	F	64.7
Hopeland (WA)	M	63.7
Hopetoun (WA)	F	39.2
Hopetoun (WA)	M	54.2
Horrocks	F	52.5
Horrocks	M	57.4
Hovea	F	68
Hovea	M	69.2
Howatharra	F	52.2
Howatharra	M	69.5
Howick (WA)	F	36.8
Howick (WA)	M	75
Hulongine	F	80
Hulongine	M	53.3
Huntingdale (WA)	F	61.5
Huntingdale (WA)	M	74.4
Hyden	F	78.4
Hyden	M	74.8
Ikewa	F	87.5
Ikewa	M	61.5
Iluka (WA)	F	69.5
Iluka (WA)	M	78.8
Indee	M	41.2
Inggarda	M	75
Inglehope	F	50
Inglehope	M	77.3
Inglewood (WA)	F	64.1
Inglewood (WA)	M	71.5
Inkpen	F	33.3
Inkpen	M	80
Innaloo	F	61.1
Innaloo	M	71
Innawanga	F	83.3
Innawanga	M	50
Irishtown (WA)	F	44.4
Irishtown (WA)	M	57.6
Irwin	F	62.5
Irwin	M	62.5
Isseka	F	71.4
Isseka	M	48.3
Jackitup	F	90
Jackitup	M	82.6
Jacup	F	70
Jacup	M	95.5
Jalbarragup	F	40.7
Jalbarragup	M	41.3
Jaloran	F	77.8
Jaloran	M	28.6
Jandabup	F	58.7
Jandabup	M	65.6
Jandakot	F	61.2
Jandakot	M	65.5
Jane Brook	F	70.4
Jane Brook	M	76.4
Jardee	F	68.1
Jardee	M	73.1
Jarrahdale	F	58.2
Jarrahdale	M	68
Jarrahwood	F	40
Jarrahwood	M	50
Jelcobine	F	56.9
Jelcobine	M	71.4
Jennacubbine	F	65
Jennacubbine	M	74.1
Jennapullin	F	44
Jennapullin	M	79.2
Jerdacuttup	F	62.2
Jerdacuttup	M	80.9
Jerramungup	F	61.1
Jerramungup	M	70.7
Jibberding	F	40
Jibberding	M	52.2
Jilakin	F	71.4
Jilakin	M	68.2
Jindalee (WA)	F	72
Jindalee (WA)	M	80.8
Jindong	F	72.7
Jindong	M	81.8
Jingalup	F	67.6
Jingalup	M	77.1
Jitarning	F	123.1
Jitarning	M	71.4
Jolimont	F	39.2
Jolimont	M	54.8
Joondalup	F	63.1
Joondalup	M	69.2
Joondanna	F	63.2
Joondanna	M	73.2
Julimar	F	51.7
Julimar	M	55
Juna Downs	F	90.3
Juna Downs	M	83.3
Jurien Bay	F	46.5
Jurien Bay	M	51.2
Kadathinni	F	91.7
Kadathinni	M	100
Kalamunda	F	51.3
Kalamunda	M	60.9
Kalannie	F	53
Kalannie	M	64.7
Kalbarri	F	51.5
Kalbarri	M	55.5
Kalgan	F	49.2
Kalgan	M	58.8
Kalgoorlie	F	61.4
Kalgoorlie	M	69.3
Kalgup	F	68
Kalgup	M	72
Kallaroo	F	58.2
Kallaroo	M	66.6
Kaloorup	F	74.1
Kaloorup	M	64.9
Kalumburu	F	36.2
Kalumburu	M	48.5
Kambalda East	F	52.9
Kambalda East	M	61.8
Kambalda West	F	54.8
Kambalda West	M	68.1
Kangaroo Gully	F	49.7
Kangaroo Gully	M	53.5
Kanowna	M	50
Karakin	F	45.4
Karakin	M	47
Karalundi	F	40.6
Karalundi	M	73.9
Karawara	F	47.5
Karawara	M	54.8
Kardinya	F	60.6
Kardinya	M	68
Karijini	F	30.8
Karijini	M	59.3
Karlgarin	F	71.4
Karlgarin	M	71.1
Karlkurla	F	69.8
Karlkurla	M	70
Karloning	F	71.4
Karloning	M	100
Karloo	F	40.9
Karloo	M	55.7
Karnup	F	63.2
Karnup	M	72.3
Karragullen	F	65.4
Karragullen	M	70.2
Karrakatta	F	100
Karrakatta	M	100
Karrakup	F	53.2
Karrakup	M	59.5
Karranadgin	F	56
Karranadgin	M	86.2
Karratha	F	73.7
Karratha	M	78.4
Karratha Industrial Estate	F	68.1
Karratha Industrial Estate	M	68.5
Karridale	F	58.1
Karridale	M	70.2
Karrinyup	F	57.1
Karrinyup	M	69.7
Katanning	F	48.3
Katanning	M	61.6
Katrine	F	72.2
Katrine	M	70.6
Kauring	F	64.3
Kauring	M	52.3
Kealy	F	74.1
Kealy	M	82.2
Kebaringup	F	50
Kebaringup	M	66.7
Kellerberrin	F	40
Kellerberrin	M	51.9
Kelmscott	F	52.5
Kelmscott	M	63.7
Kendenup	F	49.3
Kendenup	M	48.6
Kenmare (WA)	F	58.3
Kenmare (WA)	M	100
Kensington (WA)	F	61.2
Kensington (WA)	M	71.1
Kentdale	F	58.7
Kentdale	M	64.9
Kenwick	F	55.7
Kenwick	M	69.7
Kewdale	F	54.1
Kewdale	M	68
Keysbrook	F	62.6
Keysbrook	M	16.2
Kiara	F	59.5
Kiara	M	69.9
Kimbolton (WA)	M	66.7
King Leopold Ranges	F	51.8
King Leopold Ranges	M	61.5
King River	F	65.5
King River	M	71.4
Kings Park (WA)	F	33.3
Kings Park (WA)	M	37.5
Kingsford (WA)	F	53.7
Kingsford (WA)	M	53.7
Kingsley	F	59
Kingsley	M	69.9
Kingston (WA)	F	37.5
Kingston (WA)	M	37.5
Kinross	F	69
Kinross	M	78.2
Kirk Rock	F	66.7
Kirk Rock	M	100
Kirup	F	48.2
Kirup	M	47.9
Kojaneerup South	F	42.9
Kojaneerup South	M	47.1
Kojarena	F	76.9
Kojarena	M	35.7
Kojonup	F	51.6
Kojonup	M	66.7
Kokeby	F	56.8
Kokeby	M	57.5
Kondinin	F	56.9
Kondinin	M	69
Kondut	F	100
Kondut	M	85
Konnongorring	F	84.6
Konnongorring	M	93.9
Koojan	F	92.9
Koojan	M	74.1
Kookynie	F	42.9
Kookynie	M	63.6
Koolanooka	F	75
Koolanooka	M	100
Koolyanobbing	F	63.6
Koolyanobbing	M	66.2
Koomberkine	F	75
Koomberkine	M	95.8
Koondoola	F	42.4
Koondoola	M	57.2
Koongamia	F	51.3
Koongamia	M	62.5
Koorda	F	45.9
Koorda	M	52.8
Korbel	F	54.2
Korbel	M	79.2
Kordabup	F	57.6
Kordabup	M	49.3
Korrelocking	F	54.2
Korrelocking	M	55.6
Kronkup	F	64.4
Kronkup	M	73
Kudardup	F	56.4
Kudardup	M	61
Kuender	F	82.4
Kuender	M	75
Kukerin	F	45.8
Kukerin	M	33.3
Kulikup	F	46.7
Kulikup	M	68.8
Kulin	F	45.9
Kulin	M	65.8
Kulin West	F	92.9
Kulin West	M	80
Kulja	F	100
Kulja	M	62.5
Kumarina	F	25
Kumarina	M	72.3
Kunjin	F	64.7
Kunjin	M	82.4
Kununoppin	F	39.1
Kununoppin	M	35.3
Kununurra	F	65.7
Kununurra	M	70.7
Kurnalpi	F	100
Kurnalpi	M	100
Kurrenkutten	F	33.3
Kurrenkutten	M	83.3
Kweda	F	100
Kweda	M	30
Kwelkan	F	75
Kwelkan	M	42.9
Kwinana Beach	M	57.1
Kwinana Town Centre	F	49
Kwinana Town Centre	M	69.7
Kwolyin	F	83.3
Kwolyin	M	50
Lagrange	F	36.7
Lagrange	M	53.5
Lake Argyle	F	47.7
Lake Argyle	M	62.2
Lake Biddy	F	100
Lake Biddy	M	83.3
Lake Brown	F	71.4
Lake Brown	M	100
Lake Camm	F	50
Lake Camm	M	91.7
Lake Carnegie	F	100
Lake Carnegie	M	30
Lake Clifton	F	54.2
Lake Clifton	M	60.9
Lake Darlot	F	26.7
Lake Darlot	M	50
Lake Deborah	F	54.5
Lake Deborah	M	68.4
Lake Grace	F	55.3
Lake Grace	M	75.4
Lake Hinds	F	66.7
Lake Hinds	M	100
Lake Jasper	F	100
Lake Jasper	M	100
Lake King	F	83.3
Lake King	M	78.3
Lake Margarette	F	100
Lake Margarette	M	122.2
Lake Muir	F	45.5
Lake Muir	M	27.3
Lake Ninan	F	80
Lake Ninan	M	71.4
Lake Toolbrunup	F	78.9
Lake Toolbrunup	M	109.1
Lakelands (WA)	F	58.2
Lakelands (WA)	M	72.5
Lamington (WA)	F	67.9
