SSC_NAME16	unemployment
Horningsea Park	4.9
Hornsby	6.1
Hornsby Heights	4.2
Horse Station Creek	7.1
Horseshoe Bend	11.4
Horsfield Bay	5.3
Horsley	4.9
Horsley Park	3.5
Hoskinstown	2.9
Hovells Creek	13.6
Howes Valley	20
Howlong	4.9
Hoxton Park	6
Humula	5.3
Hunters Hill	3.4
Hunterview	6.7
Huntingdon	9.8
Huntleys Cove	2.5
Huntleys Point	9.2
Huonbrook	13
Hurlstone Park	4.9
Hurstville	9.8
Hurstville Grove	5.1
Huskisson	5.8
Hyland Park	8.8
Ilarwill	6
Ilford	8.2
Illabo	7.2
Illawong	3.5
Iluka (NSW)	9.1
Ingleburn	8.5
Ingleside	2.1
Inverell	7.6
Invergowrie	4.6
Irvington	15.6
Islington	7.5
Ivanhoe (NSW)	2.8
Jacks Creek	4.2
Jamberoo	3.6
James Creek	3.8
Jamisontown	5.2
Jannali	4.5
Jaspers Brush	5.3
Jellat Jellat	7.3
Jennings	13.5
Jeremadra	6.3
Jerilderie	4.7
Jerrabomberra	3.3
Jerrara	4.8
Jerrawa	15.6
Jerrys Plains	1.5
Jesmond	17.7
Jewells	5.2
Jiggi	4.5
Jilliby	2.4
Jindabyne	1.9
Jindera	4.7
Johns River	8.8
Jones Island	10.7
Jordan Springs	3.9
Jugiong	2.7
Junction Hill	5.8
Junee	5.9
