SSC_NAME16	medianMortgageRepayment
Clinton Centre	
Clovelly Park	19200
Cobdogla	9996
Cocata	
Cockaleechie	14208
Cockatoo Valley	22884
Cockburn	
Coffin Bay	15600
Colebatch	
Coles	
College Park	33600
Colley	
Collinsfield	
Collinsville (SA)	
Collinswood	23400
Colonel Light Gardens	25200
Colton	
Comaum	
Commissariat Point	19200
Compton	19200
Concordia	19500
Condowie	
Conmurra	55800
Coober Pedy	6672
Coobowie	11544
Cooke Plains	12996
Coolillie	
Cooltong	16644
Coomandook	10308
Coombe	6504
Coomooroo	
Coomunga	18204
Coonalpyn	7800
Coonamia	13260
Coonawarra (SA)	12000
Coorong	
Cootra	
Copeville	4704
Copley (SA)	
Corny Point	8160
Coromandel East	19500
Coromandel Valley	21600
Cortlinye	7500
Corunna Station	
Coulta	12504
Cowandilla	19764
Cowell	14400
Cowirra	15600
Cradock	
Crafers	22800
Crafers West	24000
Craigburn Farm	26004
Craigmore	15624
Crescent	14976
Cromer (SA)	17292
Cross Roads (SA)	10116
Croydon (SA)	20796
Croydon Park (SA)	17808
Crystal Brook (SA)	12996
Cudlee Creek	18000
Culburra	5664
Cultana	
Cumberland Park	22428
Cummins	12996
Cungena	
Cunliffe	
Cunningham (SA)	
Cunyarie	
Curramulka	8976
Currency Creek	17160
Custon	
Cuttlefish Bay	
Cygnet River	7284
D'Estrees Bay	
Dalkey	
Danggali	
Darke Peak	4200
Darlington (SA)	20424
Davenport (SA)	
Daveyston	14172
Davoren Park	11640
Daw Park	18204
Dawesley	20796
Dawson (SA)	
De Mole River	
Deep Creek (SA)	
Deepwater (SA)	
Delamere (SA)	17592
Denial Bay	11964
Dernancourt	19500
Devlins Pound	
Devon Park (SA)	20796
Dingabledinga	26256
Direk	19500
Dismal Swamp	11700
Donovans	10404
Dorset Vale	
Dover Gardens	19800
Dowlingville	
Dry Creek (SA)	12480
Dublin	13764
Duck Ponds	12228
Dudley East	11700
Dudley Park (SA)	15600
Dudley West	
Dulwich	24360
Duncan	10800
Dutton	11520
Dutton East	
East Moonta	14556
Eastwood (SA)	20604
Eba	
Eba Anchorage	
Ebenezer (SA)	16380
Echunga	20796
Eden Hills	20400
Eden Valley	15600
Edillilie	8628
Edinburgh	
Edinburgh North	
Edithburgh	12768
Edwardstown	19908
Eight Mile Creek (SA)	15912
Elizabeth	12996
Elizabeth Downs	12720
Elizabeth East	12996
Elizabeth Grove	10992
Elizabeth North	11652
Elizabeth Park	12840
Elizabeth South	11184
Elizabeth Vale	12996
Elliston	14592
Elwomple	12996
Emu Bay	7428
Emu Downs	7416
Emu Flat (SA)	14304
Encounter Bay	14376
Enfield (SA)	19200
Erindale	26004
Erith	10200
Erskine (SA)	
Ethelton	17160
Ettrick (SA)	12000
Eudunda	12000
Eurelia	
Euromina	
Evandale (SA)	23148
Evanston	15600
Evanston Gardens	18000
Evanston Park	18204
Evanston South	20796
Everard Central	
Everard Park	19128
Exeter (SA)	19464
Fairview Park	19200
Faraway Hill	
Farina	
Farrell Flat	11964
Felixstow	18204
Ferryden Park	18204
Field	
Findon	19500
Finniss	20604
Firle	20796
Fischer	12996
Fisher (SA)	7800
Fisherman Bay	
Fitzroy (SA)	26004
Five Miles	
Flagstaff Hill	20796
Flaxley	24312
Flaxman Valley	15996
Flinders Chase	
Flinders Park	20796
Flinders Ranges	6996
Florina Station	
Fords	15600
Forest Range	20796
Forestville (SA)	20400
Forreston	23916
Forster (SA)	
Foul Bay	13776
Fountain	
Fowlers Bay	6864
Fox	
Frahns	
Frances	11964
Franklyn	
Frankton	
Frayville	
Freeling	16380
Frewville	23400
Fulham (SA)	23400
Fulham Gardens	20796
Fullarton	20796
Furner	12876
Galga	
Gammon Ranges	
Garden Island (SA)	
Gawler (SA)	12216
Gawler Belt	18468
Gawler East	18204
Gawler Ranges	
Gawler River	14304
Gawler South	16896
Gawler West	12180
Gemmells	25200
Georgetown (SA)	5508
Gepps Cross	17280
Geranium	4944
Geranium Plains	
Gerard	
German Creek	13080
German Flat	
Germein Bay	
Gidgealpa	
Gifford Hill	10404
Gilberton (SA)	24000
Giles Corner	11832
Gillentown	24000
Gilles Plains	18000
Gillman	15600
Gladstone (SA)	7512
Glandore	20796
Glanville	16800
Glen Osmond	26004
Glenalta	20676
Glenburnie	17160
Glencoe (SA)	12588
Glendambo	
Glenelg (SA)	18408
Glenelg East	21600
Glenelg North	22200
Glenelg South	22104
Glengowrie	20796
Glenroy (SA)	24000
Glenside	20796
Glenunga	26004
Globe Derby Park	15600
Glossop	12996
Glynde	22236
Golden Grove	20400
Golden Heights	10404
Gomersal	23400
Good Hope Landing	
Goodwood (SA)	23400
Goolwa	12996
Goolwa Beach	14304
Goolwa North	14964
Goolwa South	14040
Gosse	
Gould Creek	22620
Goyder	
Grace Plains	18720
Grange (SA)	21324
Green Fields	15156
Green Hills Range	24000
Green Patch	14304
Greenacres	19500
Greenhill (SA)	24228
Greenock	16848
Greenways	
Greenwith	19188
Gulfview Heights	18204
Gulnare	4680
Gum Creek	
Gumeracha	18204
Gurra Gurra	11436
Hackham	14880
Hackham West	13200
Hacklins Corner	19008
Hackney	23256
Hahndorf	20796
Haines	14400
Halbury	10608
Halidon	
Hallelujah Hills	
Hallett	6396
Hallett Cove	19200
Hambidge	
Hamilton (SA)	21600
Hamley	
Hamley Bridge	12000
Hammond	
Hampden (SA)	10404
Hampstead Gardens	19200
Hansborough	15600
Hanson	
Happy Valley (SA)	18204
Hardwicke Bay	9840
Hardy	
Harrogate	18852
Hart (SA)	12000
Hartley (SA)	17400
Haslam	
Hatherleigh	13392
Hawker (SA)	8316
Hawson	15804
Hawthorn (SA)	26004
Hawthorndene	20400
Hay Flat	14400
Hay Valley	
Hayborough	15600
Hazelwood Park	21348
Heathfield	24000
Heathpool	24000
Hectorville	18204
Hendon (SA)	19428
Henley Beach	22104
Henley Beach South	24000
Hewett	21192
Highbury (SA)	19224
Highgate (SA)	24000
Highland Valley	25080
Hill River (SA)	21756
Hillbank	16896
Hillcrest (SA)	20400
Hillier	15648
Hilltown	
Hilton (SA)	18000
Hincks	
Hindmarsh (SA)	15960
Hindmarsh Island	16248
Hindmarsh Tiers	14952
Hindmarsh Valley	16200
Holden Hill	17052
Holder (SA)	10800
Holder Siding	
Honiton	21096
Hope Forest	16248
Hope Gap	
Hope Valley (SA)	18000
Hornsdale	
Horsnell Gully	
Hoskin Corner	
Houghton	20340
Hove	20796
Hoyleton	6852
Huddleston	
Humbug Scrub	16644
Huntfield Heights	15600
Hyde Park (SA)	24000
Hynam	12996
Ingle Farm	16020
Inglewood (SA)	22800
Ingomar	
Inkerman (SA)	
Inkster	
Inman Valley	15600
Innamincka	
Inneston	
Iron Knob	5196
Ironbank	22044
Ironstone	
Island Beach	
Island Lagoon	
Iwantja	
Jabuk	6780
James Well	14040
Jamestown	12996
Jamieson (SA)	
Jericho (SA)	11340
Jerusalem	15600
Jervois	12000
Joanna	19308
Johnburgh	
Joslin	25308
Julanka Holdings	
Julia	
Jupiter Creek	24600
Kadina	13200
Kainton	
Kalamurina	
Kalanbi	
Kalangadoo	7800
Kalbeeba	20364
Kaldoonera	
Kalka	
Kallora	
Kaltjiti	
Kangarilla	18204
Kangaroo Flat (SA)	13704
Kangaroo Head	
Kangaroo Inn	
Kanmantoo	18324
Kanni	
Kanpi	
Kanyaka	
Kapinnie	11208
Kappawanta	
Kapunda	14400
Karatta	
Karcultaby	
Karkoo	
Karoonda	7800
Karte	
Katarapko	
Keilira	
Keith	10404
Kellidie Bay	
Kelly	
Kensington (SA)	20796
Kensington Gardens	22368
Kensington Park	26004
Kent Town	23400
Kenton Valley	23400
Kepa	16644
Keppoch	5196
Kersbrook	22104
Keswick	15600
Keswick Terminal	
Keyneton	15336
Ki Ki	1872
Kiana	
Kidman Park	22884
Kielpa	
Kilburn	16608
Kilkenny	18108
Kimba	10404
Kingoonya	
Kings Park (SA)	26400
Kingscote	13368
Kingsford (SA)	
Kingston On Murray	12996
Kingston Park	22404
Kingston Se	12480
Kingswood (SA)	24000
Klemzig	20004
Kohinoor	20388
Kokatha	
Kolendo	
Kongal	
Kongorong	11856
Koolgera	
Koolunga	10296
Koolywurtie	20412
Koongawa	
Koonibba	
Koonoona	
Koonunga	32736
Koorine	16260
Kooroona	
Koppamurra	13680
Koppio	20688
Korunye	17028
Kringin	
Krondorf	18852
Krongart	
Kudla	16692
Kuitpo	21648
Kuitpo Colony	
Kulpara	9600
Kurralta Park	18204
Kyancutta	11472
Kybunga	3636
Kybybolite	6204
Kyeema	15504
Laffer	
Lake Albert (SA)	
Lake Alexandrina	
Lake Carlet	
Lake Everard	
Lake Eyre	
Lake Frome	
Lake Gairdner	
Lake Gilles	
Lake Macfarlane	
Lake Plains	37200
Lake Torrens	
Lake View	
Lameroo	9876
Langhorne Creek	15600
Langs Landing	
Largs Bay	20796
Largs North	20796
Laura (SA)	11700
Laura Bay	
Laurie Park	12996
Leabrook	26004
Leasingham	19104
Leawood Gardens	26952
Leigh Creek (SA)	
Leighton	14556
Lenswood	16800
Lewiston	19608
Light Pass	15468
Lincoln Gap	
Lincoln National Park	
Linden Park	24000
Lindley	
Linwood	18720
Lipson	14892
Little Douglas	
Littlehampton	19764
Lobethal	16896
Lochaber	3168
Lochiel (SA)	9096
Lock	3516
Lockleys	21372
Long Flat (SA)	15600
Long Plains	13260
Longwood (SA)	24000
Lonsdale	
Louth Bay	13200
Loveday	14400
Lowan Vale	21600
Lowbank	
Lower Broughton	21264
Lower Hermitage	24000
Lower Inman Valley	18204
Lower Light	12996
Lower Mitcham	22908
Loxton	12996
Loxton North	13260
Lucindale	9360
Lucky Bay	
Lyndhurst (SA)	
Lyndoch	16896
Lynton	21600
Lyrup	15216
Maaoupe	18720
Macclesfield (SA)	17676
Macdonald Park	16380
Macgillivray	13668
Magarey	
Magdala	15600
Maggea	
Magill	21600
Mahanewo	
Maitland (SA)	11436
Makin	
Malinong	6600
Mallala	14304
Malpas	
Maltee	
Malvern (SA)	26004
Mambray Creek	
Mangalo	
Manna Hill	
Mannanarie	
Manningham	21132
Mannum	12996
Manoora (SA)	8760
Mansfield Park	19200
Mantung	
Marama	19632
Marananga	18984
Marble Hill	30684
Marcollat	
Marden	18204
Marino	21000
Marion	18204
Marion Bay (SA)	6756
Markaranka	
Marks Landing	
Marla	
Marleston	20604
Marola	
Marrabel	11124
Marree	
Marryatville	23448
Maryvale (SA)	
Maslin Beach	16728
Matta Flat	10404
Maude (SA)	
Mawson Lakes	21000
Mayfield (SA)	
Maylands (SA)	24000
McBean Pound	
McCallum	
McCracken	13464
McHarg Creek	16200
McLaren Flat	22356
McLaren Vale	18204
Meadows	18204
Medindie	36000
Medindie Gardens	24000
Melrose (SA)	12348
Melrose Park (SA)	21540
Melton (SA)	
Melton Station	
Meningie	11700
Meningie East	
Meningie West	
Menzies (SA)	20796
Mercunda	
Merghiny	
Meribah	
Merriton	6816
Middle Beach	11808
Middle River	
Middleback Range	
Middleton (SA)	16848
Midgee (SA)	
Mil-Lel	20796
Milang	12996
Mile End	21840
Mile End South	
Milendella	11892
Millbrook (SA)	17160
Millicent	11700
Millswood	26004
Miltalie	16500
Mimili	
Minbrie	7800
Minburra	
Mindarie (SA)	
Mingary	
Mingbool	18540
Minlaton	12996
Minnipa	7800
Mintaro	16800
Minvalara	
Miranda (SA)	19632
Mitcham (SA)	24360
Mitchell (SA)	
Mitchell Park (SA)	18456
Mitchellville	
Moana	17556
Mobilong	
Moculta	18204
Modbury	16944
Modbury Heights	18000
Modbury North	17160
Moerlong	20796
Monarto	15192
Monarto South	18000
Monash (SA)	13548
Monbulla	8892
Mongolata	
Montacute	23100
Montarra	
Monteith	11148
Moockra	
Moody	
Moonaree	
Moonta	11436
Moonta Bay	15600
Moonta Mines	10968
Moorak	15600
Moorlands	
Moorook	9228
Moorook South	7980
Moppa	
Morchard	
Morgan	10404
Morn Hill	
Morphett Vale	15600
Morphetts Flat	
Morphettville	20400
Mortana	
Moseley	
Mosquito Hill	12600
Mount Barker (SA)	19500
Mount Barker Junction	
Mount Barker Springs	26208
Mount Barker Summit	26400
Mount Benson	15528
Mount Bryan	6972
Mount Bryan East	
Mount Burr	5460
Mount Charles	
Mount Clarence Station	
Mount Compass	19500
Mount Cooper (SA)	
Mount Crawford	22056
Mount Damper	
Mount Drummond	
Mount Dutton Bay	
Mount Eba	
Mount Gambier	13824
Mount George (SA)	20796
Mount Hope (SA)	
Mount Jagged	19836
Mount Joy	
Mount Light	18204
Mount Magnificent	23400
Mount Mary	2772
Mount Mcintyre	21528
Mount Mckenzie	17880
Mount Observation (SA)	
Mount Osmond	24000
Mount Pleasant (SA)	16728
Mount Schank	19632
Mount Serle	
Mount Templeton	12996
Mount Torrens	18204
Mount Wedge	
Mount Willoughby	
Moyhall	10788
Mudamuckla	
Mulgundawa	16020
Mullaquana	20796
Mundallio	
Mundic Creek	
Mundoo Island	
Mundoora	11688
Mundulla	14400
Mundulla West	12504
Mungeranie	
Munno Para	15048
Munno Para Downs	18000
Munno Para West	18000
Murbko	12000
Murdinga	7140
Murlong	
Murninnie Beach	
Murputja	
Murrawong	
Murray Bridge	13524
Murray Bridge East	15180
Murray Bridge North	14304
Murray Bridge South	22116
Murray Town	7020
Murtho	15600
Muston	
Mylor	21540
Mypolonga	13524
Myponga	18072
Myponga Beach	18204
Myrtle Bank (SA)	24000
Nackara	
Nadia	
Naidia	
Nailsworth	21600
Nain	
Nairne	18204
Nalyappa	
Nangkita	20796
Nangwarry	7728
Nantawarra	
Napperby	14820
Naracoorte	13260
Narridy	15144
Narrung (SA)	12192
Naturi	
Neales Flat	12996
Nectar Brook	
Nelshaby	12996
Nene Valley	12096
Nepabunna	
Nepean Bay	12420
Netherby (SA)	27588
Netherton	
Netley	18204
New Port	17844
New Residence	14436
New Town (SA)	15600
New Well	
Newland	5196
Newton	18720
Ngapala	14400
Ngarkat	
Nildottie	11712
Ninnes	
Noarlunga Centre	18000
Noarlunga Downs	16476
Nora Creina	
Normanville (SA)	12996
North Adelaide	23400
North Beach (SA)	15600
North Booborowie	
North Brighton	23400
North Cape	
North Haven (SA)	20400
North Moonta	12996
North Plympton	20796
North Shields	15600
North West Bend	
North Yelta	
Northern Heights	12996
Northfield	19500
Northgate (SA)	21600
Norton Summit	20796
Norwood (SA)	21948
Notts Well	
Novar Gardens	24000
Nullarbor	
Nunjikompita	
Nuriootpa	16896
Nurom	
Nurragi	13008
O'Halloran Hill	18420
O'Sullivan Beach	14148
Oakbank	23400
Oakden	18204
Oakden Hills	
Oaklands Park	18144
Ob Flat	18984
Olary	
Old Calperum	
Old Noarlunga	16224
Old Reynella	16800
Old Teal Flat	
Olympic Dam	
One Tree Hill	18792
Onkaparinga Hills	18720
Oodla Wirra	
Oodnadatta	
Orroroo	9840
Osborne (SA)	18204
Ottoway	15600
Outer Harbor	
Overland Corner	
Ovingham	20544
Owen	11616
Padthaway	10404
Paechtown	26208
Pages Flat	19500
Paisley	15132
Palkagee	
Pallamana	12744
Palmer (SA)	15600
Panitya (SA)	
Panorama	21600
Para Hills	15600
Para Hills West	15600
Para Vista	15600
Parachilna	
Paracombe	23400
Paradise (SA)	18108
Parafield	
Parafield Gardens	16644
Paralowie	15600
Paramatta	
Paratoo	
Parawa	16440
Parham	11400
Parilla	9108
Paringa	13308
Paris Creek	20796
Park Holme	20400
Parkside (SA)	24000
Parnaroo	
Parndana	11664
Parrakie	6504
Paruna	5460
Pasadena	18204
Paskeville	6756
Pata	10404
Payneham	19236
Payneham South	18732
Peake	7200
Pearlah	14400
Peebinga	
Peep Hill	16800
Pekina	14400
Pelican Lagoon	7800
Pelican Point (SA)	18204
Pellaring Flat	
Penfield	16800
Penfield Gardens	22332
Penneshaw	15000
Pennington	17676
Penola	12000
Penong	9312
Penrice	18720
Penwortham	18720
Perlubie	16800
Perponda	5196
Peterborough (SA)	6756
Peterhead	18000
Petersville	
Petherick	
Petina	
Petwood	22752
Pewsey Vale	32868
Piccadilly (SA)	26004
Piednippie	
Pike River	24000
Pimba	
Pimbaacla	
Pine Creek (SA)	
Pine Hill (SA)	11088
Pine Point	12000
Pinery	15600
Pinkawillinie	
Pinkerton Plains	24000
Pinks Beach	15216
Pinnaroo	7800
Pipalyatjara	
Pirie East	3120
Pleasant Park	11292
Plympton	19200
Plympton Park	20472
Point Boston	
Point Lowly	
Point Pass	11208
Point Pearce	
Point Souttar	
Point Sturt	12996
Point Turton	16896
Polda	
Polish Hill River	52908
Poltalloch	
Pompoota	4680
Ponde	9828
Poochera	
Pooginagoric	2604
Pooginook	
Poonindie	18180
Pooraka	15600
Porky Flat	
Port Adelaide	18312
Port Arthur (SA)	
Port Augusta	12996
Port Augusta West	15600
Port Bonython	
Port Broughton	14220
Port Davis	
Port Elliot	14400
Port Gawler	22404
Port Germein	11880
Port Gibbon	
Port Hughes	16116
Port Julia	
Port Kenny	8460
Port Lincoln	15600
Port Macdonnell	14400
Port Mannum	11964
Port Moorowie	15672
Port Neill	14868
Port Noarlunga	18204
Port Noarlunga South	18204
Port Paterson	18000
Port Pirie	
Port Pirie South	12996
Port Pirie West	9096
Port Rickaby	
Port Victoria	15600
Port Vincent	12996
Port Wakefield	10404
Port Willunga	15600
Porter Lagoon	
Price	11520
Proof Range	
Prospect (SA)	22800
Prospect Hill	24000
Pukatja	
Puntabie	
Punthari	12000
Punyelroo	
Pureba	
Purnong	
Pyap	13788
Pyap West	8676
Pygery	8460
Qualco	
Queenstown (SA)	17604
Quinyambie	
Quorn	12000
Racecourse Bay	15600
Ramco	14040
Ramco Heights	10008
Ramsay (SA)	3060
Rapid Bay	
Red Creek	19380
Redbanks	15600
Redhill	7164
Redwood Park	18204
Reedy Creek (SA)	7200
Reeves Plains	16152
Regency Park	
Reid (SA)	20796
Rendelsham	12996
Renmark	11892
Renmark North	11892
Renmark South	15600
Renmark West	12996
Renown Park	19200
Reynella	15600
Reynella East	16896
Rhynie	15468
Richmond (SA)	20208
Ridgehaven	17652
Ridleyton	19500
Risdon Park	12996
Risdon Park South	15600
Riverglades	15600
Riverglen	
Riverton (SA)	12972
Robe	15600
Robertstown	5196
Rochester (SA)	
Rockleigh	19320
Rocky Camp	12996
Rocky Gully (SA)	10872
Rocky Plain (SA)	
Rocky Point (SA)	
Rogues Point	
Rose Park	27036
Rosedale (SA)	16800
Rosetown	14928
Rosewater	16668
Roseworthy	18984
Rosslyn Park	23400
Rostrevor	20796
Rowland Flat	26652
Roxby Downs	24000
Royal Park	19236
Royston Park	24000
Rudall	7800
SA Remainder	
Saddleworth	10116
Saints	
Salisbury (SA)	14556
Salisbury Downs	15600
Salisbury East	15600
Salisbury Heights	18984
Salisbury North	14400
Salisbury Park	15600
Salisbury Plain	16644
Salisbury South	
Salt Creek	
Salter Springs	18204
Saltia	
Sampson Flat	20412
Sandalwood	
Sandergrove	17676
Sanderston	11700
Sandilands (SA)	
Sandleton	7020
Sandy Creek (SA)	20796
Sandy Grove	17988
Sapphiretown	7800
Sceale Bay	7152
Schell Well	
Scott Creek	20400
Seacliff	23400
Seacliff Park	20796
Seacombe Gardens	20208
Seacombe Heights	20928
Seaford (SA)	17220
Seaford Heights	19800
Seaford Meadows	20520
Seaford Rise	19524
Seal Bay	
Seaton (SA)	19200
Seaview Downs	20796
Sebastopol (SA)	
Second Valley	12000
Sedan	10404
Seddon (SA)	10680
Sefton Park	20352
Sellicks Beach	16644
Sellicks Hill	24012
Semaphore	20796
Semaphore Park	20220
Semaphore South	21600
Senior	18000
Seppeltsfield	15804
Sevenhill	16380
Shaugh	
Shea-Oak Log	18708
Sheaoak Flat	
Sheidow Park	19500
Sheringa	
Sherlock (SA)	7200
Sherwood (SA)	20400
Short	
Silverton (SA)	
Skye (SA)	24000
Sleaford	15600
Smithfield (SA)	14688
Smithfield Plains	12996
Smoky Bay	16500
Snowtown	7800
Solomon	
Solomontown	9876
Somerton Park	23400
South Brighton	20676
South Hummocks	8220
South Kilkerran	4752
South Plympton	19500
Southend	12996
Spalding (SA)	8736
Spectacle Lake	
Spence (SA)	15600
Spring Farm (SA)	24000
Spring Gully (SA)	24180
Springfield (SA)	34800
Springton	13344
Square Mile	
St Agnes (SA)	18000
St Clair (SA)	24000
St Georges	30600
St Ives (SA)	14904
St Johns	
St Kilda (SA)	7128
St Kitts	13572
St Marys (SA)	19200
St Morris	24000
St Peters (SA)	26004
Stanley (SA)	
Stanley Flat	18204
Stansbury	12996
Steelton	
Steinfeld	
Stephenston	
Stepney	22956
Stewart Range	
Stirling (SA)	24060
Stirling North	18000
Stockport	15600
Stockwell	18588
Stockyard Creek (SA)	
Stockyard Plain	
Stokes Bay	10848
Stone Hut	15600
Stone Well	17268
Stonyfell	30408
Stow	
Strathalbyn (SA)	18000
Streaky Bay	15204
Struan	11436
Stuart (SA)	
Stuarts Creek	
Stun'Sail Boom	
Sturt (SA)	18204
Sultana Point	
Summertown	23400
Sunlands	10404
Sunnybrae	
Sunnydale	
Sunnyside (SA)	14556
Sunnyvale	
Surrey Downs	17676
Sutherlands	12000
Suttontown	18000
Swan Reach (SA)	7800
Swanport	19500
Swede Flat	
Tailem Bend	10404
Taldra	
Talia	
Tantanoola	10920
Tanunda	16896
Taperoo	16116
Taplan	11004
Taratap	
Tarcoola	
Tarcowie	11352
Tarlee	11700
Tarnma	
Tarpeena	9360
Tatachilla	18000
Taunton (SA)	
Taylorville	12996
Tea Tree Gully	18204
Teal Flat	
Telowie	12996
Templers	19500
Tennyson (SA)	24000
Tepko	
Teringie	21600
Terowie	7800
The Gap (SA)	
The Pines (SA)	12996
The Range (SA)	21900
Thebarton	18360
Thevenard	15084
Thomas Plain	
Thompson Beach	11340
Thorngate	26904
Thornlea	
Thrington	
Tiatukia	19416
Tickera	8004
Tiddy Widdy Beach	11856
Tilley Swamp	
Tintinara	11964
Tolderol	
Tooligie	
Tooperang	16896
Toora (SA)	18432
Toorak Gardens	26004
Tootenilla	
Torrens Island	
Torrens Park	23640
Torrens Vale	14628
Torrensville	20796
Tothill Belt	
Tothill Creek	
Totness	24552
Towitta	11700
Tranmere (SA)	23844
Trinity Gardens	23700
Trott Park	18000
Truro	14556
Tulka	20148
Tumby Bay	14400
Tungkillo	15600
Tunkalilla	
Tusmore	23400
Two Wells	18204
Tyringa	
Ucolta	
Uley	
Uleybury	18984
Ulooloo	
Ulyerra	
Undalya	26004
Underdale	20796
Ungarra	5640
Unley	26004
Unley Park	28080
Uno	
Upper Hermitage	24228
Upper Sturt	20796
Uraidla	21996
Urania	
Urrbrae	24000
Uworra	
Vale Park	24000
Valley View	18000
Veitch	
Venus Bay (SA)	
Verdun	18000
Verran	
Victor Harbor	14484
Vine Vale	26868
Virginia (SA)	21372
Vista	19500
Vivonne Bay	11496
Waddikee	
Waikerie	11436
Waitpinga	23100
Walker Flat	9096
Walkerville (SA)	24000
Walkley Heights	20796
Wall Flat	10008
Wallala	
Wallaroo (SA)	14304
Wallaroo Mines	12996
Wallaroo Plain	26004
Wallerberdina	
Walloway	
Waltowa	
Wami Kata	
Wanbi	9348
Wandana (SA)	
Wandearah East	15000
Wandearah West	
Wandilo	18000
Wangary	12996
Wangolina	15084
Wanilla	12996
Wappilka	
Warburto	12996
Ward Belt	22320
Ward Hill	
Warnertown	12000
Warnes	
Warooka	9600
Warradale	20604
Warramboo	
Warraweena	
Washpool (SA)	9888
Wasleys	18000
Watarru	
Watchman	
Waterfall Gully	26004
Waterloo (SA)	6444
Waterloo Corner	20796
Watervale	15600
Watraba	
Wattle Flat (SA)	15888
Wattle Park	26400
Wattle Range	4944
Wattle Range East	
Wauraltee	
Wayville	23400
Webb Beach	7380
Wedge Island (SA)	
Weeroona Island	15336
Weetulta	5196
Welland	19632
Wellington (SA)	11208
Wellington East	15600
Wepar	4164
West Beach (SA)	23400
West Bundaleer	
West Croydon	19200
West Hindmarsh	20340
West Lakes	22356
West Lakes Shore	20796
West Range	
West Richmond	19500
Westall	
Westbourne Park	23400
Western Flat	11460
Western River	
Wharminda	
White Hill	22104
White Hut	
White Sands	15600
White Well Corner	
Whites Flat	18204
Whites River	
Whites Valley	20400
Whitwarta	17472
Whyalla	18000
Whyalla Barson	
Whyalla Jenkins	21948
Whyalla Norrie	12996
Whyalla Playford	17160
Whyalla Stuart	12996
Whyte Yarcowie	9480
Wigley Flat	
Wilcherry	
Wild Dog Valley (SA)	12996
Wild Horse Plains	10140
Wilgena	
Willalo	
Willalooka	
Willamulka	
Willaston	15000
William Creek	
Williamstown (SA)	18204
Willippa	
Willochra	
Willoughby (SA)	
Willow Creek	20148
Willowie	
Willson River	
Willunga	18336
Willunga Hill	23460
Willunga South	19368
Willyaroo	21204
Wilmington	12996
Windsor (SA)	12480
Windsor Gardens	19608
Wingfield	12312
Winkie	15600
Winninowie	
Winulta	
Wirrabara	8328
Wirraminna	
Wirrega	15600
Wirrina Cove	10404
Wirrulla	5196
Wisanger	16140
Wistow	28056
Witera	
Wokurna	
Wolseley	8400
Wombats Rest	
Wongulla	5556
Wongyarra	9600
Wonna	
Wonuarra	
Woodchester	18204
Woodcroft (SA)	18204
Woodforde	24000
Woodlane	15084
Woodleigh (SA)	11280
Woods Point (SA)	11592
Woodside (SA)	18252
Woodville (SA)	19224
Woodville Gardens	16392
Woodville North	18204
Woodville Park	20796
Woodville South	20796
Woodville West	20400
Wool Bay	16332
Woolpunda	
Woolshed Flat (SA)	
Woolsheds	
Woolumbool	14100
Woolundunga	
Woomera	
Worlds End (SA)	
Worrolong	19500
Wrattonbully	
Wudinna	10404
Wunkar	5196
Wye	21852
Wynarka	12000
Wynn Vale	18228
Wyomi	9600
Yacka	5724
Yahl	18384
Yalanda	1800
Yalata	
Yallunda Flat	24084
Yalpara	
Yamba (SA)	
Yanerbie	
Yaninee	9756
Yankalilla	13320
Yantanabie	
Yanyarrie	
Yardea	
Yarrah	
Yatala Vale	26400
Yatina	
Yattalunga (SA)	22416
Yeelanna	
Yellabinna	
Yelta (SA)	
Yinkanie	
Yongala	8400
Yorke Valley	
Yorketown	10800
Younghusband	14244
Younghusband Holdings	
Yumali	8460
Yumbarra	
Yundi	21852
Yunta	
Zadows Landing	
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Abba River	26004
Abbey	23400
Acton Park (WA)	19404
Adamsvale	
Ajana	
Albany	20760
Aldersyde	
Alexander Heights	21600
Alexandra Bridge	
Alfred Cove	29040
Alkimos	26988
Allanooka	
Allanson	20796
Alma (WA)	23136
Ambania	
Ambergate	25248
Amelup	
Angelo River	
Anketell	20796
Anniebrook	25644
Antonymyre	
Applecross	34992
Ardath	
Ardross	30000
Argyle (WA)	23400
Armadale (WA)	16800
Arrino	
Arrowsmith	
Arrowsmith East	
Arthur River (WA)	5208
Ascot (WA)	26004
Ashby (WA)	26004
Ashendon	
Ashfield (WA)	22104
Attadale	30000
Atwell	25200
Aubin Grove	26784
Augusta	18204
Australind	22164
Aveley	26004
Avon Valley National Park	
Baandee	
Babakin	5916
Babbage Island	
Badgebup	
Badgerin Rock	
Badgin	
Badgingarra	11664
Badjaling	
Bailup	
Bakers Hill	21360
Balbarrup	23472
Balcatta	22644
Baldivis	26004
Balga	20568
Balingup	14400
Balkuling	
Balla Balla	
Balladong	28596
Balladonia	
Ballajura	21360
Ballaying	
Ballidu	6120
Bally Bally	18000
Bambun	
Bandy Creek	24912
Bandya	
Banjup	28080
Banksia Grove	24696
Banksiadale	
Bannister (WA)	33000
Barbalin	
Barberton	
Barrabup	
Barragup	26004
Barrow Island	
Baskerville	26400
Bassendean (WA)	23472
Bateman	26004
Baudin	
Baynton (WA)	37404
Bayonet Head	19200
Bayswater (WA)	25200
Beachlands	19764
Beacon	6240
Beaconsfield (WA)	26004
Beadell	
Beaufort River	3600
