SSC_NAME16	medianTotalFamilyIncome
Eglinton (NSW)	89908
Eighteen Mile	
Elands	38428
Elanora Heights	131196
Elcombe	46800
Elderslie (Camden - NSW)	112632
Elderslie (Singleton - NSW)	84500
Eleebana	115336
Elermore Vale	84188
Elizabeth Bay	171340
Elizabeth Beach	74724
Elizabeth Hills	100516
Ellalong	73996
Elland	73112
Ellangowan (NSW)	53768
Ellenborough	60112
Ellerslie (Snowy Valleys - NSW)	108316
Ellerslie (Wentworth - NSW)	60112
Ellerston	84500
Ellis Lane	121316
Elong Elong	55224
Elrington	115336
Elsmore	24232
Eltham (NSW)	105144
Elvina Bay	75816
Emerald Beach	78104
Emerald Hill	110500
Emerton	63752
Emmaville	47944
Empire Bay	85384
Empire Vale	71500
Emu Heights (NSW)	114036
Emu Plains	105040
Emu Swamp	115336
Endrick	
Enfield (NSW)	96200
Engadine	111904
Englorie Park	84500
Enmore (Armidale Regional - NSW)	87724
Enmore (Inner West - NSW)	129428
Enngonia	61724
Environa	
Epping (NSW)	111592
Eraring	92248
Eremerang	97500
Erigolia	101816
Erin Vale	113724
Erina	76336
Erina Heights	115804
Ermington	97760
Erowal Bay	64168
Errowanbang	110500
Erskine Park	111852
Erskineville	156572
Erudgere	100724
Eschol Park	90636
Esk (NSW)	
Essington	71500
Estella	101972
Ettalong Beach	59592
Ettamogah	136500
Ettrema	
Ettrick (NSW)	55224
Euabalong	53456
Euabalong West	46800
Euberta	117000
Euchareena	71500
Eucumbene	
Eugowra	63856
Eulah Creek	95836
Eumungerie	55224
Eunanoreenya	102336
Eungai Creek	53612
Eungai Rail	46800
Eungella (NSW)	51376
Eureka (NSW)	81692
Eurimbla	69316
Eurobodalla	68224
Euroka	79924
Euroley	81224
Eurongilly	93600
Eurunderee	107692
Euston	79352
Evans Head	62972
Evans Plains	107900
Eveleigh	71500
Eviron	79248
Ewingar	40768
Ewingsdale	88816
Exeter (NSW)	83096
Failford	55900
Fairfield (NSW)	55484
Fairfield East	60424
Fairfield Heights	59696
Fairfield West	65208
Fairholme	84500
Fairlight	167908
Fairy Hill	62348
Fairy Meadow	74620
Falbrook	143000
Falconer	97500
Falls Creek (NSW)	73372
Far Meadow	98384
Fargunyah	84448
Farley	106860
Farmborough Heights	104312
Farnham	74724
Farrants Hill	67600
Farringdon	
Fassifern (NSW)	77428
Faulconbridge	105872
Faulkland	74724
Fawcetts Plain	89336
Federal (NSW)	67496
Fennell Bay	72436
Fern Bay	73632
Fern Gully	97500
Fernances	
Fernances Crossing	87724
Fernbank Creek	72384
Fernbrook	74048
Fernhill	72644
Fernleigh	79612
Fernmount	76180
Fernside	97500
Fernvale (NSW)	66300
Ferodale	97500
Fiddletown	102648
Fifield	54184
Figtree	99112
Findon Creek	35724
Fine Flower	61724
Fingal Bay	58344
Fingal Head	78832
Finley	66144
Firefly	65520
Fishermans Bay	71500
Fishermans Paradise	50336
Fishermans Reach	45500
Fishers Hill	84448
Fishing Point	76440
Fitzgeralds Mount	84500
Fitzgeralds Valley	
Fitzroy Falls	97500
Five Dock	126568
Five Ways	37700
Flat Tops	168948
Fletcher (NSW)	120484
Flinders (NSW)	100048
Floraville	106600
Forbes (NSW)	67392
Forbes Creek	143000
Forbes River	
Forbesdale	67132
Fords Bridge	64948
Fordwich	71500
Forest Glen (NSW)	97500
Forest Grove (NSW)	117000
Forest Hill (NSW)	82212
Forest Land	
Forest Lodge	151996
Forest Reefs	117000
Forestville (NSW)	132912
Forresters Beach	94016
Forster (NSW)	56888
Fortis Creek	40248
Fosters Valley	82316
Fosterton	67184
Fountaindale	117832
Four Corners	
Four Mile Creek (NSW)	
Fowlers Gap	
Foxground	94224
Frazer Park	
Frazers Creek	76648
Frederickton	63856
Freeburn Island	
Freemans	
Freemans Reach	104260
Freemans Waterhole	81224
Freemantle	62816
French Park	94224
Frenchs Forest	137228
Freshwater (NSW)	142012
Frog Rock	80132
Frogmore	84500
Frogs Hollow	58500
Frying Pan	
Fullerton	55224
Fullerton Cove	59800
Furracabad	90948
Gadara	93184
Gala Vale	
Galambine	117000
Galong	60320
Galore	73112
Galston	112528
Ganbenang	111800
Gangat	55224
Ganmain	65208
Garah	72384
Garden Suburb	106964
Garema	87724
Garland	88816
Garland Valley	
Garoo	87724
Garra	84500
Garthowen	92612
Gateshead	60528
Gearys Flat	
Geehi	
Gelston Park	132548
Gemalla	84500
Geneva	62920
Georges Creek (NSW)	97448
Georges Hall	83824
Georges Plains	97500
Georgetown (NSW)	87724
Georgica	62452
Gerogery	86632
Gerringong	97500
Gerroa	83564
Geurie	82628
Ghinni Ghi	58448
Ghinni Ghinni	71500
Ghoolendaadi	68224
Giants Creek	97500
Gibberagee	
Gibraltar Range	
Gidginbung	81224
Gidley	93132
Gilead	49348
Gilgai	54288
Gilgandra	59748
Gilgooma	58500
Gilgunnia	
Gillenbah	75816
Gilletts Ridge	117000
Gillieston Heights	97240
Gilmandyke	71500
Gilmore (NSW)	110500
Gin Gin (NSW)	110448
Gineroi	58448
Ginghi	
Gingkin	94224
Girards Hill	68796
Girilambone	84448
Giro	
Girral	100724
Girralong	66612
Girraween (NSW)	100568
Girvan	61724
Gladesville	130780
Gladstone (NSW)	57564
Glanmire (NSW)	82316
Glebe (NSW)	122044
Gledswood Hills	46800
Glen Alice	67184
Glen Allen	136448
Glen Alpine	121940
Glen Davis	45032
Glen Elgin	67132
Glen Fergus	
Glen Innes	58344
Glen Martin	71500
Glen Nevis	
Glen Oak	92092
Glen Ward	
Glen William	84500
Glenbawn	107224
Glenbrook	126308
Glencoe (NSW)	62816
Glendale (NSW)	80496
Glendenning	96304
Glendon	111436
Glendon Brook	86632
Glenelg (NSW)	117000
Glenellen	114400
Glenfield (NSW)	96772
Glenfield Park	85436
Glengarrie	53612
Glenhaven	131612
Gleniffer	66612
Glenmore (NSW)	71500
Glenmore Park	118820
Glennies Creek	67132
Glenning Valley	106444
Glenorie	106548
Glenquarry	114816
Glenreagh	59020
Glenridding	74724
Glenrock (NSW)	
Glenroy (Albury - NSW)	85072
Glenroy (Snowy Valleys - NSW)	97500
Glenthorne	54444
Glenugie	61724
Glenwood (NSW)	125736
Glenworth Valley	
Glossodia	102284
Gloucester	58084
Gloucester Tops	
Goat Island	
Gobarralong	122148
Gobbagombalin	113724
Gocup	107900
Godfreys Creek	84500
Gogeldrie	106600
Gol Gol	96200
Gollan	74048
Golspie	58500
Gongolgon	29900
Gonn	80184
Goobarragandra	74724
Good Forest	74724
Good Hope	98540
Goodnight	84448
Goodooga	45292
Goodwood Island	44200
Googong	146432
Goolgowi	76856
Goolhi	100724
Goolma	71500
Goolmangar	73112
Gooloogong	59488
Goombargana	84448
Goonellabah	70564
Goonengerry	58500
Goonoo Forest	
Goonoo Goonoo	112632
Goonumbla	84500
Goorangoola	97500
Goorianawa	71500
Gordon (NSW)	136708
Gorge Creek	
Gormans Hill	71500
Gorokan	65416
Gosford	77740
Gosforth	97500
Gostwyck	123448
Goulburn	76804
Gouldsville	
Gowan	71448
Gowang	54184
Gowrie (Singleton - NSW)	126724
Gowrie (Tamworth Regional - NSW)	112632
Grabben Gullen	73112
Gradys Creek	62816
Grafton	66664
Gragin	
Grahamstown	93132
Graman	66248
Grants Beach	
Granville (NSW)	71032
Grasmere	118820
Grassy Head	67184
Grattai	70824
Gravesend	74724
Grays Point	139984
Great Mackerel Beach	71448
Great Marlow	71500
Green Cape	
Green Creek	85748
Green Forest	
Green Gully (NSW)	73632
Green Hills (Armidale Regional - NSW)	56316
Green Hills (Snowy Valleys - NSW)	
Green Pigeon	69836
Green Point (Central Coast - NSW)	89336
Green Point (Gosford - NSW)	
Green Point (Mid-Coast - NSW)	56888
Green Valley (NSW)	79144
Greenacre	69368
Greendale (Bega Valley - NSW)	84448
Greendale (Liverpool - NSW)	94224
Greenethorpe	55224
Greenfield Park	73476
Greengrove	
Greenhill (NSW)	50336
Greenhills Beach	191256
Greenlands (Singleton - NSW)	84500
Greenlands (Snowy Monaro Regional - NSW)	58448
Greenleigh	157872
Greenridge	66612
Greenwell Point	55900
Greenwich	177684
Greenwich Park	58500
Greg Greg	117000
Gregadoo	93184
Gregory Hills	121628
Greigs Flat	70408
Grenfell	60164
Gresford	82316
Greta (NSW)	83824
Greta Main	108316
Grevillia	68224
Greystanes	91780
Griffith (NSW)	78988
Grogan	117000
Grong Grong	82836
Grose Vale	107848
Grose Wold	120224
Grosses Plain	110448
Growee	
Guerilla Bay	117000
Guildford (NSW)	62868
Guildford West	76076
Gulargambone	52416
Gulf Creek	24232
Gulgong	69836
Gulmarrad	62140
Gum Flat	68224
Gum Scrub	84500
Gumbalie	
Gumble	97500
Gumly Gumly	74360
Gumma	54600
Gunbar	74724
Gundagai	70148
Gundamulda	58448
Gundaroo	143312
Gundary	76960
Gunderbooka	
Gunderman	69836
Gundy	95836
Gungal	62348
Gungalman	
Gunnedah	84656
Gunning	96668
Gunning Gap	84448
Gunningbland	57408
Gunningrah	
Gurley	91936
Gurnang	
Gurranang	38428
Gurrundah	71500
Guyong	102336
Guyra	62140
Gwabegar	41080
Gwandalan	73684
Gwynneville	69368
Gymea	112320
Gymea Bay	140764
Haberfield	136292
Hacks Ferry	
Halekulani	60892
Halfway Creek	49348
Hallidays Point	72332
Halloran	53248
Halls Creek (NSW)	63856
Hallsville	86112
Halton	
Hambledon Hill	162448
Hamilton (NSW)	97552
Hamilton East	130936
Hamilton North	99476
Hamilton South	100204
Hamilton Valley	80392
Hamlyn Terrace	88296
Hammondville	97344
Hampden Hall	84500
Hampton (NSW)	100724
Hanging Rock	40976
Hanleys Creek	
Hannam Vale	63648
Hanwood	84500
Harden	56732
Hardys Bay	72748
Harefield	97448
Hargraves	38688
Harolds Cross	199316
Harparary	110448
Harpers Hill	71500
Harrington	49816
Harrington Park	126360
Harris Park	79040
Hartley (NSW)	100724
Hartley Vale	106600
Hartwood	103948
Hartys Plains	129948
Harwood	52780
Hassall Grove	89804
Hassans Walls	
Hastings Point	42224
Hat Head	51012
Hatfield	
Havilah (NSW)	103948
Hawkesbury Heights	127712
Hawks Nest	57096
Hay (NSW)	67808
Hay South	72124
Hayes Gap	
Haymarket	69732
Haystack	
Hayters Hill	110500
Haywards Bay	107744
Hazelbrook	93548
Hazelgrove	97448
Heathcote (NSW)	116116
Heatherbrae	66196
Hebden	143000
Hebersham	68588
Heckenberg	53196
Heddon Greta	98748
Heifer Station	
Helensburgh	118508
Henley	185536
Henty (NSW)	59384
Hereford Hall	77948
Hermidale	72748
Hermitage Flat	53196
Hernani	76648
Herons Creek	69316
Hexham (NSW)	55224
Hickeys Creek	58500
High Range	120692
Higher Macdonald	
Highfields (NSW)	108160
Hill End (NSW)	58500
Hill Top (Snowy Monaro Regional - NSW)	97500
Hill Top (Wingecarribee - NSW)	89024
Hilldale	81224
Hillgrove (Armidale Regional - NSW)	66612
Hillgrove (Wagga Wagga - NSW)	155948
Hillsborough (Lake Macquarie - NSW)	94952
Hillsborough (Maitland - NSW)	71500
Hillsdale	77844
Hillston	81224
Hillville	68536
Hillvue	89128
Hinchinbrook (NSW)	89024
Hinton	92612
Hobartville (NSW)	83668
Hobbys Yards	76336
Hogarth Range	56316
Holbrook	68952
Holgate	134004
Hollisdale	48048
Hollydeen	111800
Holmesville	73528
Holroyd	95472
Holsworthy	113308
Holts Flat	
Home Rule	97500
Homebush (NSW)	95992
Homebush West	86060
Homeleigh	54184
Honeybugle	
Hopefield	99112
Hopkins Creek	63076
Horningsea Park	105456
Hornsby	100412
Hornsby Heights	125892
Horse Station Creek	58500
Horseshoe Bend	66768
Horseshoe Creek	76336
Horsfield Bay	113360
Horsley	99424
Horsley Park	99216
Hoskinstown	128336
Hovells Creek	55224
Howards Grass	71500
Howell	58500
Howes Valley	55224
Howick (NSW)	
Howlong	68744
Hoxton Park	88764
Humula	60112
Hungerford (NSW)	
Hunters Hill	183820
Hunterview	116896
Huntingdon	111800
Huntingwood	
Huntley (Orange - NSW)	114816
Huntley (Wollongong - NSW)	110500
Huntleys Cove	134316
Huntleys Point	169000
Huonbrook	48516
Hurlstone Park	106652
Hurstville	71188
Hurstville Grove	115388
Huskisson	63700
Hyams Beach	86112
Hyland Park	73632
Hyndmans Creek	81224
Ilarwill	59904
Ilford	59384
Illabo	63648
Illaroo	112632
Illawong	131664
Iluka (NSW)	44408
Indi	97448
Ingebirah	76856
Ingleburn	81120
Ingleside	121108
Innes View	60632
Inverell	63856
Invergordon (NSW)	35724
Invergowrie	89024
Iron Pot Creek	97500
Ironbark (NSW)	29900
Ironmungy	
Irvington	71448
Irymple (NSW)	
Isabella	56836
Islington	84292
Ivanhoe (NSW)	77220
Jackadgery	62816
Jacks Creek	67600
Jacksons Flat	
Jacky Bulbin Flat	23400
Jagumba	
Jagungal Wilderness	
Jamberoo	104572
James Creek	74724
Jamisontown	89128
Jannali	115076
Jaspers Brush	88348
Jaunter	
Jeir	157820
Jellat Jellat	74724
Jemalong	80184
Jembaicumbene	110448
Jennings	48516
Jenolan	
Jeogla	58500
Jerangle	94224
Jeremadra	60112
Jeremy	
Jerilderie	69160
Jerrabattgulla	71448
Jerrabomberra	158288
Jerrara	121316
Jerrawa	80132
Jerrawangala	84448
Jerrong	
Jerrys Plains	91936
Jerseyville	56056
Jesmond	54392
Jewells	89648
Jews Lagoon	
Jiggi	70200
Jilliby	113048
Jimenbuen	87724
Jincumbilly	
Jindabyne	92872
Jinden	58500
Jindera	87100
Jingellic	75816
Jingera	103948
Joadja	127348
Joes Box	59748
Johns River	63648
Jolly Nose	
Jones Bridge	142948
Jones Creek	93132
Jones Island	55224
Jordan Springs	114244
Judds Creek	
Jugiong	83200
Junction Hill	67912
Junee	70980
Junee Reefs	135200
Kahibah	97604
Kains Flat	54132
Kalang	56836
Kalaru	82836
Kalkite	105248
Kamarah	68692
Kameruka	68224
Kanahooka	76492
Kanangra	
Kandos	47684
Kangaloon	120224
Kangaroo Creek	61724
Kangaroo Point (NSW)	185016
Kangaroo Valley	79300
Kangaroobie	143000
Kangiara	112632
Kangy Angy	79300
Kanimbla (NSW)	82316
Kanoona	94224
Kanwal	70668
Kapooka	114608
Kaputar	
Karaak Flat	50232
Karabar	104364
Karangi	76492
Kareela	123552
Kariong	100308
Kars Springs	84448
Karuah	52156
Katoomba	69420
Kayuga	80184
Kearns	109980
Kearsley	73528
Keepit	
Keera	61724
Keerrong	71500
Keinbah	108316
Keiraville	92716
Keith Hall	71500
Kellys Plains	107224
Kellyville	134524
Kellyville Ridge	132704
Kelso (NSW)	86996
Kelvin	84500
Kembla Grange	94900
Kembla Heights	71500
Kemps Creek	83252
Kempsey	46384
Kendall	60164
Kenebri	46800
Kennaicle Creek	
Kensington (NSW)	114400
Kenthurst	134004
Kentlyn	117780
Kentucky	75816
Kentucky South	60632
Kerewong	
Keri Keri	
Kerrabee	
Kerrigundi	77948
Kerrs Creek	56316
Kew (NSW)	62452
Keybarbin	
Khancoban	58500
Khatambuhl	
Kia Ora (NSW)	84448
Kiacatoo	84500
Kiah	46748
Kiama	85228
Kiama Downs	103220
Kiama Heights	88816
Kianga (NSW)	58500
Kiar	74724
Kickabil	117000
Kielvale	77324
Kikiamah	71500
Kikoira	61724
Kilaben Bay	104208
Kilgin	60632
Kilgra	40768
Killabakh	58812
Killara (NSW)	151736
Killarney Heights	146952
Killarney Vale	75244
Killawarra (NSW)	50024
Killcare	84500
Killcare Heights	103324
Killiekrankie	
Killimicat	110448
Killingworth (NSW)	92196
Killongbutta	117000
Kimbriki	61256
Kinchela	66456
Kincumber	76284
Kincumber South	45136
Kindee	70408
Kindervale	
King Creek	89596
Kingfisher Shores	81224
Kinghorne	
Kings Forest	97448
Kings Langley	117416
Kings Park (NSW)	105612
Kings Plains (Blayney - NSW)	94900
Kings Plains (Inverell - NSW)	
Kings Point	59540
Kingscliff	83408
Kingsdale	110500
Kingsford (NSW)	103636
Kingsgate	
Kingsgrove	92248
Kingsland	97448
Kingstown	62816
Kingsvale	60632
Kingswood (Bega Valley - NSW)	
Kingswood (Penrith - NSW)	75556
Kingswood (Tamworth Regional - NSW)	98488
Kioloa	50024
Kiora	71500
Kippara	
Kippaxs	68224
Kippenduff	40248
Kirkconnell	97500
Kirkham	152152
Kirrawee	111696
Kirribilli	174460
Kitchener	71500
Kiwarrak	
Klori	108316
Knights Hill	71448
Knockrow	69836
Knorrit Flat	81224
Knorrit Forest	
Kogarah	88816
Kogarah Bay	109408
Kooba	68224
Kookabookra	
Koolewong	96772
Koolkhan	84448
Koonawarra	61256
Koonorigan	66768
Koonyum Range	
Kooragang	
Koorainghat	65728
Koorawatha	50492
Kooringal (NSW)	77272
Kootingal	75088
Koraleigh	47944
Koreelah	58500
Korora	80756
Kosciuszko	
Kosciuszko National Park	101816
Kotara	101452
Kotara South	94588
Krambach	55224
Krawarree	58500
Kremnos	58500
Ku-Ring-Gai Chase	
Kulnura	86216
Kulwin (NSW)	
Kunama	60632
Kundabung	73840
Kundibakh	39624
Kundle Kundle	69316
Kungala	71500
Kunghur	49348
Kunghur Creek	71500
Kurmond	94432
Kurnell	106132
Kurraba Point	190632
Kurrajong	112528
Kurrajong Heights	116220
Kurrajong Hills	123708
Kurri Kurri	65988
Kyalite	58500
Kyarran	71448
Kybeyan	54184
Kyeamba	71500
Kyeemagh	91624
Kyle Bay	139204
Kynnumboon	70200
Kyogle	55484
La Perouse	80600
Lacmalac	100724
Lade Vale	113724
Ladysmith	80600
Laffing Waters	143000
Laggan	81536
Lagoon Grass	84448
Laguna	72748
Lake Albert (NSW)	95368
Lake Bathurst	105144
Lake Brewster	
Lake Burrendong	
Lake Cargelligo	63232
Lake Cathie	61724
Lake Conjola	52364
Lake Cowal	87724
Lake George	143000
Lake Haven	63128
Lake Heights	67080
Lake Hume Village	81224
Lake Illawarra	61828
Lake Innes	97500
Lake Macquarie	
Lake Munmorah	69628
Lake Tabourie	54184
Lake Wyangan	101608
Lakelands (NSW)	117468
Lakemba	54704
Lakesland	119860
Lakewood	52156
Lalalty	93132
Lalor Park	82888
Lambs Valley (Glen Innes Severn - NSW)	66612
Lambs Valley (Singleton - NSW)	117000
Lambton	94328
Landervale	143000
Lane Cove	143728
Lane Cove North	134160
Lane Cove West	160420
Langley Vale	43316
Lanitza	61152
Lankeys Creek	58500
Lansdowne (Canterbury-Bankstown - NSW)	71500
Lansdowne (Mid-Coast - NSW)	47372
Lansdowne Forest	
Lansvale	71344
Lapstone	125788
Larbert	77948
Largs	102336
Larnook	56316
Larras Lee	97448
Laughtondale	108316
Laurel Hill	74724
Laurieton	47268
Lavadia	37700
Lavender Bay	169000
Laverstock	97448
Lavington	65052
Lawrence (NSW)	55536
Lawson (NSW)	87256
Leadville	49348
Leconfield	99112
Lee Creek	
Leeton	77324
Leets Vale	90948
Leeville	65832
Legume	42900
Leichhardt (NSW)	148044
Lemington	
Lemon Tree	97500
Lemon Tree Passage	61620
Len Waters Estate	
Lenaghan	117000
Lennox Head	93184
Leonay	120172
Leppington	96408
Lerida	117000
Lethbridge Park	56108
Leumeah	76336
Leura	89388
Levenstrath	55224
Lewinsbrook	44200
Lewis Ponds	99632
Lewisham (NSW)	135824
Leycester	69316
Liberty Grove	116688
Lidcombe	77740
Liddell	
Lidsdale	98280
Lidster	134732
Lightning Ridge	47320
Lilli Pilli (Eurobodalla - NSW)	70668
Lilli Pilli (Sutherland Shire - NSW)	172796
Lillian Rock	46800
Lilydale (NSW)	58500
Lilyfield	164632
Lilyvale (NSW)	
Limbri	56836
Limeburners Creek (Mid-Coast - NSW)	68536
Limeburners Creek (Port Macquarie-Hastings - NSW)	
Limekilns	84500
Limerick	58448
Limestone (NSW)	
Limpinwood	62816
Linburn	58500
Linden (NSW)	117000
Lindendale	101192
Lindesay	37700
Lindesay Creek	58500
Lindfield	160004
Lindifferon	71500
Linley Point	214448
Lionsville	
Lisarow	101712
Lismore (NSW)	61724
Lismore Heights	70980
Liston	62816
Lithgow	64116
Little Back Creek	100724
Little Bay	127504
Little Billabong	88816
Little Forest	63648
Little Hartley	86112
Little Jacks Creek	90948
Little Jilliby	81224
Little Pelican	
Little Plain	67184
Little River (NSW)	100724
Little Topar	97448
Little Wobby	84500
Littleton	71812
Liverpool	61776
Llanarth (NSW)	119548
Llandilo	95576
Llangothlin	69836
Lloyd	109720
Loadstone	49348
Lochiel (NSW)	70408
Lochinvar	94016
Lockhart	71500
Locksley (NSW)	84448
Loftus	117988
Loftville	53092
Logans Crossing	72384
Logie Brae	142948
Londonderry (NSW)	93600
Long Beach	70772
Long Flat (NSW)	58500
Long Jetty	66040
Long Plain (Inverell - NSW)	58500
Long Plain (Snowy Monaro Regional - NSW)	
Long Point (Campbelltown - NSW)	105820
Long Point (Singleton - NSW)	84500
Longarm	
Longreach (NSW)	117000
Longueville	227760
Loomberah	93444
Lord Howe Island	92248
Lords Hill	84500
Lorn	107848
Lorne (NSW)	67756
Lost River	94224
Lostock	46800
Louisa Creek	
Louth	116948
Louth Park	139932
Lovedale	107588
Lovett Bay	159224
Lowanna	46124
Lower Acacia Creek	46800
Lower Bago	
Lower Belford	111644
Lower Boro	81224
Lower Bottle Creek	85748
Lower Creek	46800
Lower Duck Creek	136448
Lower Dyraaba	53248
Lower Lewis Ponds	84500
Lower Macdonald	79300
Lower Mangrove	88816
Lower Pappinbarra	79612
Lower Peacock	
Lower Portland	101088
Lower Southgate	76648
Lowesdale	81224
Lowther	71500
Loxford	87724
Lucas Heights	
Lucknow (NSW)	96408
Luddenham	118040
Lue	66612
Lugarno	122512
Lurnea	61464
Luskintyre	105612
Lynchs Creek	54600
Lyndhurst (Armidale Regional - NSW)	61724
Lyndhurst (Blayney - NSW)	75504
Lynwood (NSW)	78884
Mabins Well	84448
Macdonalds Creek	74724
Macksville	59020
Maclean	54132
Macmasters Beach	99632
Macquarie Fields	69524
Macquarie Hills	105092
Macquarie Links	137228
Macquarie Marshes	
Macquarie Park	103792
Macquarie Pass	
Maddens Plains	
Maffra (NSW)	117000
Magenta (NSW)	106756
Magometon	117000
Maianbar	123136
Maimuru	75192
Main Arm	64480
Main Creek	71500
Mairjimmy	107224
Maison Dieu	115336
Maitland (NSW)	68796
Maitland Bar	49348
Maitland Vale	143000
Majors Creek (NSW)	56836
Malabar	117104
Maldon (NSW)	129948
Mallabula	61308
Mallan	94224
Mallanganee	53612
Mallee	
Mallowa	123448
Maloneys Beach	57408
Malua Bay	68120
Manar	125632
Manchester Square	123448
Mandagery	84500
Mandalong	104676
Mandemar	97448
Mandurama	70304
Mangerton	115388
Mangoola	74724
Mangoplah	67756
Mangrove Creek	
Mangrove Mountain	91520
Manildra	79508
Manilla	56940
Manly (NSW)	170404
Manly Vale	122564
Mannering Park	68120
Manning Point	41184
Mannus	94224
Manobalai	68224
Manton (NSW)	119548
Manyana	58708
Maragle	84448
Maraylya	112944
Marayong	84084
March	106548
Marchmont	144404
Mardi	93652
Marengo (NSW)	
Mares Run	
Marinna	71448
Marks Point	65572
Markwell	71500
Marlee	70200
Marlo Merrican	63336
Marlow	46748
Marlowe	
Marmong Point	101296
Marom Creek	82316
Maroota	98904
Maroubra	115492
Marrangaroo	100256
Marrar	85384
Marrickville	108992
Marsden Park	88608
Marsfield	104572
Marshall Mount	110500
Marshdale	58500
Marthaguy	109200
Martindale	71500
Martins Creek	88348
Martinsville	97500
Marulan	71760
Maryland (Newcastle - NSW)	87204
Maryland (Tenterfield - NSW)	71448
Marys Mount	117000
Maryvale (NSW)	92248
Maryville	97916
Mascot	109356
Matcham	143000
Matheson	71500
Mathoura	58500
Matong	87724
Matraville	108316
Maude (NSW)	100724
Maules Creek	82316
Maxwell	84500
Maybole	84448
Mayers Flat	71448
Mayfield (Newcastle - NSW)	80444
Mayfield (Oberon - NSW)	
Mayfield (Queanbeyan-Palerang Regional - NSW)	103948
Mayfield (Shoalhaven - NSW)	110500
Mayfield East	87152
Mayfield North	
Mayfield West	85748
Mayrung	81224
Mays Hill	87256
Mayvale	71500
McCullys Gap	97500
McDougalls Hill	113724
McGraths Hill	108472
McKees Hill	80184
McKellars Park	79040
McLeans Ridges	99112
McLeods Shoot	94224
