SSC_NAME16	medianTotalPersonalIncome
Unley	42432
Unley Park	53716
Uno	
Upper Hermitage	32396
Upper Sturt	41444
Uraidla	37388
Urania	37700
Urrbrae	40716
Uworra	39624
Vale Park	34996
Valley View	28860
Veitch	35724
Venus Bay (SA)	26728
Verdun	35724
Verran	45032
Victor Harbor	25064
Vine Vale	38844
Virginia (SA)	27300
Vista	35984
Vivonne Bay	33280
Waddikee	44200
Waikerie	26208
Waitpinga	30004
Walker Flat	24804
Walkerville (SA)	42484
Walkley Heights	31304
Wall Flat	38220
Wallala	46748
Wallaroo (SA)	23660
Wallaroo Mines	22412
Wallaroo Plain	46800
Wallerberdina	
Walloway	39624
Waltowa	28600
Wami Kata	19448
Wanbi	32760
Wandana (SA)	37700
Wandearah East	44720
Wandearah West	42640
Wandilo	31720
Wangary	23660
Wangolina	39988
Wanilla	34528
Wappilka	24024
Warburto	32448
Ward Belt	30836
Ward Hill	28912
Warnertown	20540
Warnes	58500
Warooka	25792
Warradale	34840
Warramboo	31824
Warraweena	28548
Washpool (SA)	29900
Wasleys	26364
Watarru	
Watchman	42900
Waterfall Gully	55588
Waterloo (SA)	22620
Waterloo Corner	20696
Watervale	32812
Watraba	
Wattle Flat (SA)	28444
Wattle Park	39572
Wattle Range	49348
Wattle Range East	49348
Wauraltee	42744
Wayville	40196
Webb Beach	22360
Wedge Island (SA)	
Weeroona Island	24180
Weetulta	35724
Welland	26728
Wellington (SA)	28028
Wellington East	27300
Wepar	27924
West Beach (SA)	37596
West Bundaleer	58500
West Croydon	31148
West Hindmarsh	32552
West Lakes	34528
West Lakes Shore	36452
West Range	29120
West Richmond	30680
Westall	30836
Westbourne Park	38168
Western Flat	24804
Western River	28600
Wharminda	54132
White Hill	31616
White Hut	46748
White Sands	37700
White Well Corner	
Whites Flat	26780
Whites River	35724
Whites Valley	31616
Whitwarta	25324
Whyalla	34112
Whyalla Barson	
Whyalla Jenkins	39468
Whyalla Norrie	25012
Whyalla Playford	32084
Whyalla Stuart	22516
Whyte Yarcowie	27300
Wigley Flat	24648
Wilcherry	53248
Wild Dog Valley (SA)	28340
Wild Horse Plains	29848
Wilgena	44200
Willalo	23400
Willalooka	30628
Willamulka	38324
Willaston	32240
William Creek	39624
Williamstown (SA)	34008
Willippa	48516
Willochra	33748
Willoughby (SA)	31824
Willow Creek	25116
Willowie	37700
Willson River	
Willunga	34372
Willunga Hill	37700
Willunga South	39000
Willyaroo	27248
Wilmington	26416
Windsor (SA)	28912
Windsor Gardens	30888
Wingfield	20436
Winkie	36660
Winninowie	
Winulta	29900
Wirrabara	22672
Wirraminna	
Wirrega	37700
Wirrina Cove	22724
Wirrulla	35412
Wisanger	25532
Wistow	37700
Witera	63024
Wokurna	31148
Wolseley	24076
Wombats Rest	
Wongulla	20176
Wongyarra	23036
Wonna	
Wonuarra	22724
Woodchester	28236
Woodcroft (SA)	34320
Woodforde	35932
Woodlane	31148
Woodleigh (SA)	31148
Woods Point (SA)	25428
Woodside (SA)	32604
Woodville (SA)	32656
Woodville Gardens	20124
Woodville North	24544
Woodville Park	32552
Woodville South	34684
Woodville West	31564
Wool Bay	21684
Woolpunda	49348
Woolshed Flat (SA)	31824
Woolsheds	43680
Woolumbool	35724
Woolundunga	24648
Woomera	61308
Worlds End (SA)	23400
Worrolong	40248
Wrattonbully	31824
Wudinna	31616
Wunkar	26728
Wye	34372
Wynarka	25636
Wynn Vale	36296
Wyomi	24544
Yacka	27404
Yahl	36244
Yalanda	33748
Yalata	14820
Yallunda Flat	40092
Yalpara	
Yamba (SA)	
Yanerbie	18200
Yaninee	53456
Yankalilla	24284
Yantanabie	68224
Yanyarrie	
Yardea	
Yarrah	39624
Yatala Vale	38792
Yatina	14768
Yattalunga (SA)	40456
Yeelanna	43316
Yellabinna	
Yelta (SA)	22724
Yinkanie	22100
Yongala	18980
Yorke Valley	43316
Yorketown	25116
Younghusband	23504
Younghusband Holdings	
Yumali	27300
Yumbarra	
Yundi	32760
Yunta	35360
Zadows Landing	23400
No usual address (SA)	19240
Migratory - Offshore - Shipping (SA)	90948
Abba River	35100
Abbey	34580
Acton Park (WA)	39312
Adamsvale	84500
Ajana	24856
Albany	34476
Aldersyde	56836
Alexander Heights	32500
Alexandra Bridge	37700
Alfred Cove	44304
Alkimos	48360
Allanooka	35360
Allanson	32448
Alma (WA)	33280
Ambania	26000
Ambergate	35516
Amelup	79612
Angelo River	32760
Anketell	33332
Anniebrook	26936
Antonymyre	
Applecross	49608
Ardath	31824
Ardross	41808
Argyle (WA)	34996
Armadale (WA)	26364
Arrino	22100
Arrowsmith	37648
Arrowsmith East	60112
Arthur River (WA)	28912
Ascot (WA)	46176
Ashby (WA)	35932
Ashendon	49348
Ashfield (WA)	31876
Attadale	47840
Atwell	43108
Aubin Grove	48724
Augusta	25272
Australind	35932
Aveley	47164
Avon Valley National Park	44200
Baandee	46800
Babakin	32968
Babbage Island	44200
Badgebup	27924
Badgerin Rock	40768
Badgin	46800
Badgingarra	49192
Badjaling	68224
Bailup	30628
Bakers Hill	31876
Balbarrup	34060
Balcatta	34736
Baldivis	43784
Balga	29172
Balingup	26988
Balkuling	19032
Balla Balla	
Balladong	31044
Balladonia	
Ballajura	32552
Ballaying	44200
Ballidu	22256
Bally Bally	25324
Bambun	29900
Bandy Creek	45552
Bandya	96356
Banjup	45084
Banksia Grove	41756
Banksiadale	
Bannister (WA)	101920
Barbalin	71500
Barberton	46800
Barrabup	37648
Barragup	30160
Barrow Island	156000
Baskerville	45500
Bassendean (WA)	40664
Bateman	36244
Baudin	
Baynton (WA)	75608
Bayonet Head	32084
Bayswater (WA)	42900
Beachlands	31668
Beacon	46280
Beaconsfield (WA)	35828
Beadell	
Beaufort River	48516
Beaumont (WA)	55900
Beckenham	31252
Bedford	40872
Bedfordale	41756
Beechboro	29744
Beechina	30472
Beedelup	29900
Beela	33748
Beelerup	22256
Beeliar	44668
Beenong	29900
Beermullah	38064
Bejoording	30732
Beldon	40040
Belhus	33436
Bellevue (WA)	32292
Belmont (WA)	38012
Bencubbin	30732
Benger	30108
Benjaberring	43316
Benjinup	36244
Bennett Springs	33644
Bentley (WA)	22256
Beresford	38740
Berkshire Valley	40248
Bernier Island	
Bertram	41132
Beverley (WA)	25636
Bibra Lake	38012
Bickley	32032
Bicton	44512
Biddelia	22100
Big Grove	25896
Bilbarin	46748
Bilingurr	58084
Bimbijy	
Bindi Bindi	45032
Bindoon	26000
Bindoon Training Area	
Binduli	1976
Binningup	37804
Binnu	34788
Birchmont	22724
Bluff Point	37388
Blythewood	32084
Boallia	71448
Bobalong	38948
Bodallin	39624
Boddington	40040
Boilup	37700
Bokal	34580
Bolgart	24648
Bonnie Rock	35724
Bonniefield	34268
Boodarie	59384
Boodarockin	
Bookara	31408
Boonanarring	52780
Boorabbin	18824
Booragoon	37388
Booralaming	46748
Boorara	
Boorara Brook	22204
Bootenal	19448
Boothendarra	46748
Boranup	
Borden	29900
Borderdale	35100
Bornholm	25688
Boscabel	42640
Boulder	43316
Boundain	35100
Bouvard	25896
Bovell	38896
Bow Bridge	27664
Bowelling	27560
Bowes	29900
Bowgada	56836
Boxwood Hill	48048
Boya	42848
Boyanup	36088
Boyatup	68224
Boyerine	53612
Boyup Brook	26676
Brabham	49244
Bramley	27456
Brazier	29900
Breera	23400
Bremer Bay	35984
Brentwood (WA)	34684
Breton Bay	
Bridgetown	26624
Brigadoon	41808
Bringo	18200
Broadwater (WA)	31356
Broadwood	67340
Brockman	39052
Broke (WA)	27924
Brookdale (WA)	30888
Brookhampton	38636
Brookton	31304
Broome	42848
Broomehill East	49348
Broomehill Village	29328
Broomehill West	40560
Brown Hill (WA)	
Brown Range	31252
Bruce Rock	36660
Brunswick (WA)	29016
Buckingham (WA)	38948
Buckland (WA)	39624
Bulgarra	61464
Bull Creek (WA)	33696
Bullabulling	87724
Bullaring	43056
Buller	34268
Bullfinch	15236
Bullock Hills	35724
Bullsbrook	37960
Bulong	
Bulyee	44200
Bunbury (WA)	42588
Bundanoon (WA)	46800
Buniche	40768
Bunjil	52676
Buntine	44148
Burakin	45500
Buraminya	
Burekup	37700
Burges	23400
Burlong	32760
Burma Road	
Burns Beach	51688
Burnside (WA)	40248
Burracoppin	32084
Burran Rock	24648
Burrup	
Burswood	50752
Busselton	27352
Butler (WA)	37856
Byford	43368
Cable Beach	50960
Cadoux	30628
Caiguna	43316
Calingiri	36972
Calista	24440
Caljie	16900
Callcup	21424
Camballin	14352
Cambridge Gulf	45500
Camillo	29328
Cancanning	46748
Cane	130000
Canna	25324
Canning Mills	37700
Canning Vale	38272
Cannington	29328
Cape Arid	
Cape Burney	30940
Cape Le Grand	
Cape Range National Park	22360
Capel	31824
Capel River	38220
Capricorn	45500
Caraban	19032
Carabooda	35880
Carani	31824
Carbla	
Carbunup River	35568
Cardiff (WA)	23400
Cardup	37960
Carey Park	29172
Carine	45344
Carlisle	36920
Carlotta	27664
Carmel	30212
Carnamah	41288
Carnarvon	35724
Carrabin	
Carramar (WA)	42224
Carrolup	43316
Cartmeticup	56524
Cascade (WA)	51532
Castletown	36764
Casuarina (WA)	34840
Cataby	69316
Catterick	25792
Caversham	45188
Centennial Park (WA)	28080
Cervantes	29952
Chadwick	35360
Champion Lakes	37960
Chandler (WA)	37648
Changerup	34424
Channybearup	34372
Chapman Hill	36400
Charley Creek	39624
Cherry Tree Pool	43056
Cheynes	26624
Chichester (WA)	40248
Chidlow	36088
Chittering	36972
Chowerup	53612
Churchlands	46332
City Beach	53196
Clackline	24700
Claremont (WA)	50128
Clarkson	37960
Cleary	56316
Cleaverville	13624
Clifton (WA)	
Cloverdale	33956
Coblinine	34424
Coburn	
Cockburn Central	43420
Cocklebiddy	40248
Codjatotine	36400
Cold Harbour	31408
Collanilling	45032
College Grove	34476
Collie (WA)	26156
Collie Burn	36400
Collingwood Heights	31356
Collingwood Park (WA)	32968
Collins	36400
Commodine	43316
Como (WA)	45292
Condingup	33020
Connolly	40612
Contine	43316
Coodanup	23920
Coogee (WA)	36400
Cookernup	24804
Cooladar Hill	37648
Coolbellup	32344
Coolbinia	54340
Coolcalalaya	23400
Coolgardie (WA)	29536
Cooljarloo	
Cooloongup	26312
Coolup	33488
Coomalbidgup	58500
Coomberdale	48984
Coonabidgee	25584
Coondle	27612
Coorow	35100
Cooya Pooya	
Copley (WA)	34424
Coral Bay	39832
Corinthia	
Corrigin	35776
Cosmo Newbery	18200
Cossack (WA)	
Cottesloe	64012
Courtenay	35360
Cowalellup	39988
Cowalla	37700
Cowaramup	38844
Cowcowing	46800
Coyrecup	48048
Craigie (WA)	39156
Cramphorne	43316
Cranbrook (WA)	29068
Crawley	14508
Crooked Brook	35932
Crossman	30576
Crowea	26624
Cuballing	32084
Cubbine	115128
Cue	27716
Culham	24648
Cullacabardee	21684
Cullalla	25324
Cundeelee	117000
Cunderdin	41184
Cundinup	30836
Cunjardine	54184
Currambine	39156
Cuthbert	29536
Daadenning Creek	19916
Daggar Hills	
Daglish	45552
Dale	42692
Daliak	32448
Dalkeith	62452
Dalwallinu	43316
Dalyellup	39728
Dalyup	44200
Dampier	79300
Dampier Archipelago	
Dampier Peninsula	17992
Dandanning	44200
Dandaragan	38844
Dangin	35100
Darch	38376
Dardadine	27924
Dardanup	32500
Dardanup West	34788
Darkan	36972
Darling Downs	35048
Darlington (WA)	39780
Darradup	37700
Dartmoor (WA)	40248
Dartnall	46800
Datatine	40248
Davenport (WA)	58500
Dawesville	30160
Dayton	48724
De Grey	46800
Deanmill	30732
Deepdale	38896
Deepdene (WA)	29016
Denbarker	31824
Denham	31044
Denmark	25636
Derby (WA)	37544
Devils Creek	56836
Dewars Pool	22360
Diamond Tree	43316
Dianella	35412
Dindiloa	14248
Dingup	37128
Dinninup	29900
Dirk Hartog Island	
Dixvale	43316
Djugun	60372
Dongara	26780
Dongolocking	32084
Donnelly River	37648
Donnybrook (WA)	28600
Doodenanning	24648
Doodlakine	39832
Dorre Island	
Doubleview	49660
Dowerin	32084
Drome	29900
Drummond Cove	44148
Dryandra	
Drysdale River	61724
Dudawa	74724
Dudinin	37024
Dudley Park (WA)	28444
Dukin	43316
Dulbelling	38948
Dulyalbin	48516
Dumbarton	35308
Dumberning	28808
Dumbleyung	29380
Duncraig	42588
Dundas (WA)	
Dunn Rock	60632
Dunsborough	41080
Durack (WA)	35152
Duranillin	29848
Durawah	84500
Dwarda	37648
Dwellingup	28288
Eagle Bay	49348
East Augusta	23400
East Ballidu	42900
East Beverley	44720
East Bowes	27924
East Bunbury	30264
East Cannington	33280
East Carnarvon	37492
East Chapman	30316
East Damboring	29900
East Fremantle	48776
East Lyons River	
East Munglinup	39208
East Murchison	33748
East Nabawa	69316
East Nannup	35724
East Newdegate	97500
East Perth	51584
East Pingelly	44564
East Popanyinning	31148
East Rockingham	23712
East Victoria Park	43472
East Wickepin	34424
East Yuna	27248
Eastbrook	42172
Eaton (WA)	32604
Eden Hill	33124
Edgewater	39208
Eganu	52832
Eglinton (WA)	50596
Eighty Mile Beach	34684
Elabbin	58500
Elachbutting	29900
Elgin (WA)	38428
Elleker	31564
Ellenbrook	39520
Ellendale (WA)	58448
Embleton	34320
Emu Flat (WA)	84500
Emu Point	30524
Eneabba	22256
Ennuin	
Eradu	58500
Eradu South	25116
Erskine (WA)	25480
Esperance	30732
Etmilyn	
Eucla	58500
Eurardy	
Ewlyamartup	21164
Exmouth	43316
Exmouth Gulf	40248
Fairbridge	18148
Falcon	28236
Ferguson (WA)	37960
Ferndale (WA)	36140
Fimiston	
Finucane	
Fitzgerald (WA)	
Fitzgerald River National Park	
Fitzroy Crossing	20124
Flint	
Floreat	54184
Flynn (WA)	
Forest Grove (WA)	34684
Forest Hill (WA)	29380
Forrest (WA)	
Forrest Beach (WA)	24648
Forrestania	113568
Forrestdale	34892
Forrestfield	36972
Fortescue (WA)	13988
Frankland River	38324
Fraser Range	86112
Fremantle	42484
Furnissdale	23504
Gabalong	68224
Gabbadah	25428
Gabbin	35360
Gairdner	40976
Gap Ridge	71500
Garden Island (WA)	70096
Gascoyne Junction	19448
Gascoyne River	20124
Geegully Creek	50232
Gelorup	36088
Geographe	31876
Georgina (WA)	42900
Geraldton	29380
Ghooli	24648
Gibb	15392
Gibson	23452
Gibson Desert North	12636
Gibson Desert South	
Gidgegannup	40300
Gilgering	40768
Gillimanning	55224
Gillingarra	53300
Gilroyd	
Gingerah	
Gingin	35308
Ginginup	45760
Girrawheen	25428
Gledhow	32448
Glen Forrest	35464
Glen Iris (WA)	36192
Glen Mervyn	42640
Glencoe (WA)	45500
Glendalough	31668
Glenfield (WA)	38272
Glenlynn	41236
Glenoran	30732
Glentromie	54756
Gnangara	32500
Gnarabup	43680
Gnoorea	28236
Gnowangerup	32240
Gnowellen	45032
Golden Bay	38636
Goode Beach	31252
Goodlands	28600
Goomalling	26156
Goomarin	32448
Gooseberry Hill	39000
Gorge Rock	45032
Gorrie	
Gosnells	29484
Gracetown	37908
Granville (WA)	42848
Grass Patch	48360
Grass Valley	28808
Green Head	23400
Green Range	35100
Green Valley (WA)	38792
Greenbushes	21736
Greenfields	24908
Greenhills	38636
Greenmount (WA)	36452
Greenough	31044
Greenwood (WA)	39884
Greenwoods Valley	58448
Gregory (WA)	22100
Grey	33748
Greys Plain	13676
Grimwade	
Guilderton	30472
Guildford (WA)	38948
Gundaring	40248
Gunyidi	60112
Gutha	39624
Gwambygine	23816
Gwelup	47996
Gwindinup	35048
Hacketts Gully	42848
Halls Creek (WA)	23556
Halls Head	32604
Hamel	35464
Hamelin Bay	24388
Hamelin Pool	46800
Hamersley	38948
Hamersley Range	
Hamilton Hill	31616
Hammond Park	53820
Hannans	62556
Harris River	36140
Harrisdale	49868
Harrismith	42640
Harvey	30108
Hastings (WA)	68224
Hatter Hill	
Hay (WA)	38688
Haynes	46592
Hazelmere	27508
Hazelvale	30732
Heathridge	38584
Helena Valley	39416
Henderson	23348
Henley Brook	39468
Henty (WA)	36036
Herdsman	
Herne Hill (WA)	33384
Herron	27092
Hester	21268
Hester Brook	35464
Higginsville	103012
High Wycombe	39468
Highbury (WA)	36764
Highgate (WA)	53456
Hilbert	45188
Hill River (WA)	39936
Hillarys	44044
Hillman	27820
Hillside (WA)	43316
Hilton (WA)	35984
Hindmarsh (WA)	37700
Hines Hill	29848
Hithergreen	27924
Hocking	42900
Hoddys Well	42432
Hoffman	37700
Holleton	
Holmwood	49712
Holt Rock	55224
Holyoake	32448
Hope Valley (WA)	30836
Hopeland (WA)	35880
Hopetoun (WA)	29224
Horrocks	36140
Houtman Abrolhos	
Hovea	40456
Howatharra	40768
Howick (WA)	42900
Hulongine	49348
Huntingdale (WA)	35464
Hyden	40768
Ikewa	36712
Iluka (WA)	44356
Indee	113984
Inggarda	24648
Inglehope	25324
Inglewood (WA)	47060
Inkpen	23400
Innaloo	48152
Innawanga	37700
Irishtown (WA)	34424
Irwin	25324
Israelite Bay	
Isseka	35360
Jackitup	29900
Jacup	48048
Jalbarragup	24388
Jaloran	32188
Jandabup	36244
Jandakot	37388
Jane Brook	43732
Jardee	36192
Jarrahdale	37440
Jarrahwood	18200
Jelcobine	42328
Jennacubbine	28600
Jennapullin	34424
Jerdacuttup	65832
Jerramungup	44096
Jibberding	40248
Jilakin	35048
Jindalee (WA)	46904
Jindong	42484
Jingalup	53508
Jitarning	47788
Jolimont	43212
Joondalup	36192
Joondanna	47580
Julimar	27872
Juna Downs	149188
Jurien Bay	30992
Kadathinni	44720
Kalamunda	35152
Kalannie	37336
Kalbarri	27820
Kalbarri National Park	
Kalgan	29432
Kalgoorlie	49400
Kalgup	37180
Kallaroo	40196
Kaloorup	53092
Kalumburu	14872
Kambalda East	45864
Kambalda West	44980
Kangaroo Gully	27820
Kanowna	71500
Karakin	27820
Karalundi	42484
Karawara	18772
Kardinya	35152
Karijini	56316
Karlgarin	42224
Karlkurla	85176
Karloning	53612
Karloo	24128
Karnup	40404
Karragullen	38116
Karrakatta	55224
Karrakup	33176
Karramindie	
Karranadgin	46800
Karratha	84500
Karratha Industrial Estate	75452
Karridale	35932
Karrinyup	43056
Karroun Hill	
Katanning	34476
Katrine	23400
Kauring	24908
Kealy	44928
Kebaringup	49348
Kellerberrin	25168
Kelmscott	31616
Kendenup	24908
Kenmare (WA)	66248
Kennedy Range	
Kensington (WA)	46332
Kentdale	22984
Kenwick	31356
Keralup	
Kewdale	35516
Keysbrook	22672
Kiara	33696
Kimbolton (WA)	71500
King Leopold Ranges	34632
King River	30264
Kings Park (WA)	77948
Kingsford (WA)	33592
Kingsley	38896
Kingston (WA)	46748
Kinross	39988
Kirk Rock	46800
Kirup	25220
Kojaneerup South	29900
Kojarena	21684
Kojonup	35620
Kokeby	21684
Kondinin	32916
Kondut	66612
Konnongorring	50232
Koojan	66872
Kookynie	19448
Koolanooka	22100
Koolyanobbing	133900
Koomberkine	34788
Koondoola	23036
Koongamia	32188
Koorda	27404
Korbel	34788
Kordabup	27196
Korrelocking	46800
Kronkup	40768
Kudardup	28808
Kuender	34788
Kukerin	29900
Kulikup	29900
Kulin	32708
Kulin West	43160
Kulja	35724
Kumarina	95628
Kunjin	49348
Kununoppin	23660
Kununurra	50440
Kurnalpi	74724
Kurrenkutten	56316
Kweda	61724
Kwelkan	49348
Kwinana Beach	29900
Kwinana Town Centre	26988
Kwolyin	29900
Lagrange	14196
Lake Argyle	35204
Lake Austin	27924
Lake Biddy	48048
Lake Brown	37700
Lake Camm	57408
Lake Carnegie	46800
Lake Clifton	32292
Lake Darlot	71500
Lake Deborah	112216
Lake Grace	44512
Lake Hinds	49348
Lake Jasper	46800
Lake King	56004
Lake Margarette	27924
Lake Muir	24648
Lake Ninan	62816
Lake Toolbrunup	43316
Lake Wells	
Lakelands (WA)	36036
Lamington (WA)	59228
Lancelin	34008
Landsdale	42172
Lange	28392
Langford	25688
Latham (WA)	32760
Lathlain	42172
Laverton (WA)	82004
Learmonth (WA)	71500
Leda	31772
Ledge Point	26312
Leederville	59852
Leeman	22776
Leeming	39884
Leeuwin	
Leinster	86944
Lennard Brook	28496
Leonora	63336
Leschenault	36920
Lesley	
Lesmurdie	35620
Lexia	24804
Lime Lake	23400
Linfarne	26624
Little Grove	34528
Little Italy	58500
Little Sandy Desert	156000
Lockier	32448
Lockridge	25740
Lockyer (WA)	25012
Lol Gray	55224
Londonderry (WA)	
Lort River	84448
Lowden	28912
Lower Chittering	39468
Lower Hotham	38948
Lower King	34736
Lowlands	28444
Ludlow	24648
Lumeah (WA)	51220
Lyalls Mill	40248
Lyndon	73632
Lynwood (WA)	30524
Macleod (WA)	31824
Maddington	28444
Madeley	40768
Madora Bay	39468
Madura	37700
Magenta (WA)	23400
Magitup	48048
Mahogany Creek	33592
Mahomets Flats	36296
Maida Vale	39364
Maitland (WA)	130000
Malabaine	44148
Malaga	33748
Malebelling	38948
Mallee Hill	49348
Malmalling	
Malyalling	29900
Mandogalup	26780
Mandurah	25688
Manjimup	31304
Manmanning	39624
Manning	39624
Manypeaks	27300
Marangaroo	28496
Maranup	31824
Marbelup	37700
Marble Bar	36556
Marchagee	53248
Mardella	39104
Mardie	127920
Margaret River (WA)	36400
Mariginiup	41184
Marmion	46332
Marne	71500
Marracoonda	46800
Marradong	61724
Marrah	
Marrinup	
Martin	36400
Marvel Loch	39884
Marybrook	32552
Massey Bay	
Maya	76336
Mayanup	40248
Maylands (WA)	46332
McAlinden	44148
McBeath	43680
McKail	34944
Meadow	46748
Meadow Springs	31772
Meckering	28496
Meda	35724
Medina	26364
Meekatharra	43940
Meeking	58500
Meelon	36244
Meenaar	29120
Meerup	22620
Melaleuca	
Melville (WA)	42536
Menora	36088
Menzies (WA)	32864
Merilup	46800
Merivale	52728
Merkanooka	44200
Merredin	33332
Merriwa (WA)	27560
Meru	23764
Metricup	33228
Mettler	35100
Miamoon	35100
Middle Swan	30628
Middlesex (WA)	38324
Middleton Beach	40612
Midland	31928
Midvale	25480
Miling	46800
Millars Well	65468
Millbridge	43940
Millbrook (WA)	33592
Millendon	32240
Mills Lake	49348
Millstream (WA)	69316
Milo	40248
Milpara	29380
Mimegarra	45760
Mindarabin	46800
Mindarie (WA)	40144
Mindarra	45916
Minding	35724
Mingenew	29536
Minigin	55224
Minilya	49348
Minnenooka	36920
Minnivale	37700
Minyirr	44200
Mira Mar	35984
Mirrabooka (WA)	22516
Mitchell Plateau	12428
Mobrup	31148
Mocardy	42640
Mogumber	28600
Mokine	26988
Mokup	26936
Mollerin	29900
Molloy Island	25688
Monjebup	55224
Monjingup	34944
Moodiarrup	24232
Moojebing	30836
Mooliabeenee	23712
Moondah	29900
Moondyne	26520
Moonies Hill	48048
Moonyoonooka	37700
Moora (WA)	34268
Moore River National Park	
Mooriary	68900
Moorine Rock	37700
Morangup	31928
Morawa	28080
Morbinning	37700
Mordalup	24648
Moresby (WA)	41860
Morgantown	35204
Morley	32500
Mornington (WA)	24024
Mosman Park (WA)	46488
Moulyinning	37700
Mount Adams	29900
Mount Anketell	
Mount Barker (WA)	27768
Mount Budd	22724
Mount Burges	21684
Mount Caroline	29900
Mount Claremont	42328
Mount Clarence	33072
Mount Elphinstone	23400
Mount Erin	
Mount Hampton	40248
Mount Hardey	27092
Mount Hardman	19708
Mount Hawthorn	55432
Mount Helena	36036
Mount Hill	27248
Mount Holland	
Mount Horner	46800
Mount Jackson	
Mount Lawley	48464
Mount Lindesay (WA)	
Mount Madden	60632
Mount Magnet	27456
Mount Melville	35204
Mount Nasura	34788
Mount Ney	
Mount Observation (WA)	
Mount Palmer	
Mount Pleasant (WA)	48152
Mount Richon	32448
Mount Romance	
Mount Sheila	125008
Mount Sheridan (WA)	44720
Mount Stirling	42848
Mount Tarcoola	38740
Mount Walker (WA)	43524
Mount Wells	
Mouroubra	
Muchea	32500
Muckenburra	31512
Mueller Ranges	15236
Muja	49348
Mukinbudin	32500
Mulataga	
Mulga Downs	112892
Mullaloo	42068
Mullalyup	20592
Mullewa	31148
Mullingar	46800
Muluckine	25376
Mumballup	28600
Mumberkine	39624
Mundabullangana	40248
Mundaring	33020
Mundijong	33124
Mundrabilla	44148
Mungalup	36400
Munglinup	42484
Munster	40196
Muntadgin	37648
Muradup	34112
Murchison (WA)	39624
Murdoch	24908
Murdong	37700
Muresk	25116
Myalup	33436
Myara	
Myaree	36816
Myrup	38792
Nabawa	34112
Nairibin	27924
Nalkain	23400
Nalyerlup	80132
Namban	24648
Nambeelup	32292
Nambung	13884
Nanarup	24856
Nanga	25324
Nanga Brook	
Nangeenan	39416
Nangetty	58500
Nannup	25740
Nanson	27144
Nanutarra	84500
Napier	30056
Naraling	58500
Narembeen	37024
Narngulu	34788
Narra Tarra	43680
Narraloggan	43316
Narrikup	30628
Narrogin	31980
Narrogin Valley	48516
Naturaliste	48256
Naval Base	35100
Neale	
Nedlands	47788
Needilup	52676
Neendaling	45500
Neerabup	36920
Neergabby	33592
Nembudding	84500
Neridup	58500
Nerramyne	
Nerren Nerren	
New Norcia	31148
Newcarlbeon	39624
Newdegate	43160
Newlands (WA)	31356
Newman	89908
Ngaanyatjarra-Giles	14924
Nickol	72644
Nilgen	23192
Nillup	36244
Ningaloo	19916
Nippering	28600
Nirimba	32968
Noggerup	32448
Nokaning	63648
Nolba	48516
Nollamara	36400
Nomans Lake	44720
Noranda	33072
Nornalup	23400
Norpa	44200
Norseman	25480
North Baandee	60632
North Bannister	
North Beach (WA)	45084
North Bodallin	36920
North Boyanup	34164
North Burngup	39624
North Cascade	
North Coogee	60632
North Dandalup	33124
North Eradu	
North Fremantle	58396
North Greenbushes	23660
North Jindong	56056
North Kellerberrin	66612
North Kukerin	53196
North Kununoppin	28600
North Lake	38324
North Lake Grace	35724
North Moulyinning	48828
North Perth	49036
North Plantations	41392
North Stirlings	60112
North Tammin	46280
North Trayning	58448
North Walpole	27924
North West Cape	34424
North Wialki	29900
North Yelbeni	58500
North Yunderup	27716
Northam	30108
Northampton	23712
Northbridge (WA)	45084
Northcliffe	27612
Northern Gully	27248
Nowergup	40664
Nugadong	44148
Nukarni	36400
Nullagine	121628
Nullaki	44148
Nulsen	24024
Nungarin	25116
Nunierra	24648
Nunile	30160
Nyabing	45656
O'Connor (WA)	39728
Oakajee	
Oakford	38480
Ocean Beach	33020
Ocean Reef	39520
Ogilvie	38428
Old Plains	43680
Oldbury	37960
Ongerup	28340
Onslow	63856
Oombulgurri	39988
Ora Banda	
Orana	27196
Orange Grove (WA)	35256
Orange Springs	42640
Orchid Valley	35048
Ord River	34788
Orelia	28028
Osborne Park	39936
Osmington	24336
Padbury	40976
Palgarup	29640
Pallinup	45760
Palmdale (WA)	21684
Palmer (WA)	32448
Palmyra (WA)	43992
Pannawonica	98852
Pantapin	32968
Paraburdoo	85748
Paradise (WA)	32864
Pardoo	22048
Parker Range	
Parkerville	39936
Parkeston	13104
Parkfield	38948
Parklands (WA)	36764
Parkwood (WA)	34736
Parmelia	28028
Parryville	31044
Paulls Valley	42900
Paynedale	35724
Paynes Find	39416
Paynesville (WA)	19032
Peaceful Bay	19188
Peak Hill (WA)	103220
Pearsall	45604
Peedamulla	16900
Peerabeelup	25116
Pegs Creek	62972
Pelican Point (WA)	44616
Pemberton	29588
Peppermint Grove	55172
Peppermint Grove Beach	38428
Perenjori	41236
Perillup	40248
Peron	37700
Perth (WA)	49348
Perth Airport	
Perup	34632
Petrudor	68224
Piara Waters	52884
Piawaning	28912
Piccadilly (WA)	55952
Pickering Brook	38376
Picton (WA)	35724
Picton East	22932
Piesse Brook	37024
Piesseville	40560
Pindar	67600
Pingaring	38948
Pingelly	22672
Pingrup	42068
Pinjar	26936
Pinjarra	25740
Pink Lake	38116
Pintharuka	27924
Pinwernying	39780
Pippingarra	84500
Pithara	35464
