SSC_NAME16	Sex	unemployment
Dudley Park (SA)	M	9.2
Dulwich	F	5.7
Dulwich	M	7.2
Dutton	F	12.5
Dutton	M	7.3
East Moonta	F	8.6
Eastwood (SA)	F	2.9
Eastwood (SA)	M	8.8
Ebenezer (SA)	M	5.6
Echunga	F	4.8
Echunga	M	3
Eden Hills	F	6.6
Eden Hills	M	6.7
Eden Valley	F	5.9
Eden Valley	M	3
Edinburgh	F	9.1
Edithburgh	F	4.7
Edwardstown	F	8.6
Edwardstown	M	11
Eight Mile Creek (SA)	M	7.5
Elizabeth	F	19.5
Elizabeth	M	23.4
Elizabeth Downs	F	18.5
Elizabeth Downs	M	21.3
Elizabeth East	F	18.7
Elizabeth East	M	17.9
Elizabeth Grove	F	17.6
Elizabeth Grove	M	23.5
Elizabeth North	F	21.8
Elizabeth North	M	25.2
Elizabeth Park	F	17
Elizabeth Park	M	20.3
Elizabeth South	F	27.2
Elizabeth South	M	25.3
Elizabeth Vale	F	21.4
Elizabeth Vale	M	18.9
Elliston	F	3.8
Elliston	M	7.7
Emu Flat (SA)	M	14.3
Encounter Bay	F	4.2
Encounter Bay	M	9.6
Enfield (SA)	F	9.4
Enfield (SA)	M	11.2
Erindale	F	2
Erindale	M	3.6
Ethelton	F	7.3
Ethelton	M	6.2
Ettrick (SA)	M	21.4
Eudunda	F	10.7
Eudunda	M	8.6
Euromina	M	80
Evandale (SA)	F	6.3
Evandale (SA)	M	8
Evanston	F	13.4
Evanston	M	13.4
Evanston Gardens	F	9.4
Evanston Gardens	M	10.9
Evanston Park	F	7.5
Evanston Park	M	7.1
Evanston South	F	4.1
Evanston South	M	6.3
Everard Park	F	4.9
Everard Park	M	8.7
Exeter (SA)	F	8.5
Exeter (SA)	M	5.4
Fairview Park	F	5.1
Fairview Park	M	6.2
Farrell Flat	F	7.7
Farrell Flat	M	4.2
Felixstow	F	6.4
Felixstow	M	9.3
Ferryden Park	F	9.7
Ferryden Park	M	10.9
Findon	F	9.5
Findon	M	8.9
Finniss	F	6.1
Firle	F	4.6
Firle	M	9.2
Fisher (SA)	M	27.3
Fisherman Bay	F	20
Fitzroy (SA)	F	7
Fitzroy (SA)	M	1.9
Flagstaff Hill	F	5.6
Flagstaff Hill	M	6.2
Flaxley	F	7.3
Flaxman Valley	F	4.9
Flinders Park	F	4.5
Flinders Park	M	6.9
Flinders Ranges	F	16.7
Forest Range	F	16.7
Forestville (SA)	F	5
Forestville (SA)	M	7.5
Forreston	F	7.7
Forreston	M	2.5
Freeling	F	4.4
Freeling	M	4.7
Frewville	F	8.2
Frewville	M	8.9
Fulham (SA)	F	5.8
Fulham (SA)	M	5.6
Fulham Gardens	F	5.3
Fulham Gardens	M	6.5
Fullarton	F	5.1
Fullarton	M	8.3
Gawler (SA)	F	10.5
Gawler (SA)	M	12.6
Gawler Belt	F	4.4
Gawler Belt	M	5.1
Gawler East	F	6.5
Gawler East	M	7.4
Gawler River	M	8.6
Gawler South	F	7.7
Gawler South	M	12.7
Gawler West	F	14.1
Gawler West	M	11.7
Gepps Cross	F	15.3
Gepps Cross	M	7.5
Gerard	M	133.3
Gilberton (SA)	F	5
Gilberton (SA)	M	7.3
Gilles Plains	F	8.9
Gilles Plains	M	10.8
Gillman	F	14.3
Gladstone (SA)	F	7.8
Gladstone (SA)	M	10
Glandore	F	6.2
Glandore	M	7.6
Glanville	F	5.9
Glanville	M	14.5
Glen Osmond	F	4.4
Glen Osmond	M	5.5
Glenalta	F	3.3
Glenalta	M	5
Glenburnie	M	2.9
Glencoe (SA)	F	4.1
Glencoe (SA)	M	5.6
Glenelg (SA)	F	7.6
Glenelg (SA)	M	8.8
Glenelg East	F	5.1
Glenelg East	M	5.1
Glenelg North	F	5
Glenelg North	M	6.8
Glenelg South	F	4.6
Glenelg South	M	7.7
Glengowrie	F	4.3
Glengowrie	M	6.2
Glenside	F	8.8
Glenside	M	10.5
Glenunga	F	7.1
Glenunga	M	6.9
Globe Derby Park	F	7.4
Globe Derby Park	M	15.4
Glossop	F	2.7
Glossop	M	6.1
Glynde	F	5.2
Glynde	M	10.9
Golden Grove	F	5.1
Golden Grove	M	6.6
Golden Heights	M	4.6
Goodwood (SA)	F	4.9
Goodwood (SA)	M	4.6
Goolwa	F	6.6
Goolwa	M	11.2
Goolwa Beach	F	8.2
Goolwa Beach	M	9.2
Goolwa North	F	5.1
Goolwa North	M	8.8
Goolwa South	F	6.5
Goolwa South	M	7.8
Gould Creek	F	4.3
Gould Creek	M	11.4
Grange (SA)	F	4.9
Grange (SA)	M	5.4
Green Fields	M	7.3
Greenacres	F	11.2
Greenacres	M	8.8
Greenhill (SA)	F	2.5
Greenhill (SA)	M	2.5
Greenock	F	3.4
Greenock	M	5.7
Greenwith	F	5.6
Greenwith	M	5.4
Gulfview Heights	F	5
Gulfview Heights	M	6.7
Gulnare	F	29.4
Gulnare	M	12.5
Gumeracha	F	1.6
Gumeracha	M	6.5
Hackham	F	9.4
Hackham	M	10.1
Hackham West	F	11.8
Hackham West	M	16.4
Hackney	F	3.6
Hackney	M	9.1
Hahndorf	F	3.3
Hahndorf	M	4.5
Halbury	F	10.8
Halbury	M	10.8
Hallett	M	7.1
Hallett Cove	F	5.7
Hallett Cove	M	6.3
Hamilton (SA)	F	20
Hamley Bridge	F	7.9
Hamley Bridge	M	11
Hampstead Gardens	F	7.6
Hampstead Gardens	M	7.4
Happy Valley (SA)	F	6.1
Happy Valley (SA)	M	6.5
Hardwicke Bay	M	12
Harrogate	F	3.8
Harrogate	M	3.6
Hartley (SA)	M	8.5
Hatherleigh	M	15.9
Hawker (SA)	F	4
Hawker (SA)	M	7.9
Hawson	F	9.1
Hawson	M	12.5
Hawthorn (SA)	F	5.9
Hawthorn (SA)	M	6.5
Hawthorndene	F	4.3
Hawthorndene	M	7.4
Hayborough	F	7.4
Hayborough	M	7.5
Hazelwood Park	F	5.6
Hazelwood Park	M	5.1
Heathfield	F	6
Heathfield	M	3
Heathpool	F	3.9
Heathpool	M	7.8
Hectorville	F	8
Hectorville	M	9
Hendon (SA)	F	5.1
Hendon (SA)	M	10
Henley Beach	F	5.7
Henley Beach	M	5
Henley Beach South	F	7
Henley Beach South	M	6.1
Hewett	F	5.3
Hewett	M	4.2
Highbury (SA)	F	5.5
Highbury (SA)	M	6.8
Highgate (SA)	F	5.1
Highgate (SA)	M	7.4
Highland Valley	F	4.5
Highland Valley	M	3.6
Hillbank	F	5.6
Hillbank	M	7.9
Hillcrest (SA)	F	8.3
Hillcrest (SA)	M	7.9
Hillier	F	6.7
Hilton (SA)	F	8.4
Hilton (SA)	M	9
Hindmarsh (SA)	F	18.3
Hindmarsh (SA)	M	9.3
Hindmarsh Island	F	3.6
Hindmarsh Island	M	7.8
Hindmarsh Tiers	F	14.3
Hindmarsh Valley	F	3.5
Hindmarsh Valley	M	5.8
Holden Hill	F	8.5
Holden Hill	M	10.1
Hope Forest	F	8.8
Hope Forest	M	8.9
Hope Valley (SA)	F	7
Hope Valley (SA)	M	7.4
Houghton	F	2.9
Houghton	M	6.4
Hove	F	4.5
Hove	M	6
Humbug Scrub	F	7.8
Humbug Scrub	M	4.1
Huntfield Heights	F	10.3
Huntfield Heights	M	11.7
Hyde Park (SA)	F	6.4
Hyde Park (SA)	M	4.1
Ingle Farm	F	7.7
Ingle Farm	M	12
Inglewood (SA)	F	6.4
Inglewood (SA)	M	2.7
Inman Valley	F	4.5
Inman Valley	M	3.7
Iron Knob	M	33.3
Ironbank	F	6.3
Ironbank	M	2.1
Iwantja	M	18.2
James Well	M	40
Jamestown	F	2
Jamestown	M	3.9
Jerusalem	M	3.8
Jervois	M	6
Joslin	F	5.2
Joslin	M	8.5
Jupiter Creek	F	5.4
Jupiter Creek	M	5.3
Kadina	F	7.1
Kadina	M	8.6
Kalangadoo	F	4.2
Kalangadoo	M	13
Kalbeeba	F	7.3
Kalbeeba	M	6.5
Kalka	M	100
Kaltjiti	F	12.1
Kangarilla	F	5.8
Kangarilla	M	1.5
Kangaroo Head	M	100
Kanmantoo	M	6.5
Kanpi	F	36.4
Kanpi	M	36.4
Kapunda	F	7.6
Kapunda	M	8.3
Karoonda	F	9.3
Karoonda	M	2.7
Keith	F	1
Keith	M	3.1
Kensington (SA)	F	8.6
Kensington (SA)	M	7.8
Kensington Gardens	F	5.9
Kensington Gardens	M	6.7
Kensington Park	F	5
Kensington Park	M	6.8
Kent Town	F	7.7
Kent Town	M	9.1
Kenton Valley	F	4.2
Kenton Valley	M	3.4
Keppoch	F	15.8
Kersbrook	F	5.1
Kersbrook	M	2.8
Keswick	F	9
Keswick	M	14.1
Keyneton	M	3.2
Kidman Park	F	5
Kidman Park	M	7.3
Kilburn	F	13.8
Kilburn	M	17.9
Kilkenny	F	7.4
Kilkenny	M	11.2
Kimba	F	2.2
Kimba	M	1.9
Kings Park (SA)	F	8.3
Kings Park (SA)	M	7.5
Kingscote	F	4.5
Kingscote	M	6.7
Kingston On Murray	F	4.8
Kingston On Murray	M	11.6
Kingston Park	F	5.9
Kingston Park	M	9.6
Kingston Se	F	4.6
Kingston Se	M	4.7
Kingswood (SA)	F	4.9
Kingswood (SA)	M	6.2
Klemzig	F	7.5
Klemzig	M	8.7
Koonibba	F	25
Korunye	F	14.3
Korunye	M	4.2
Kudla	F	8.8
Kudla	M	2.4
Kuitpo	F	5.7
Kuitpo	M	5.8
Kulpara	M	23.1
Kurralta Park	F	11.5
Kurralta Park	M	9.7
Lameroo	F	4.3
Lameroo	M	5.1
Langhorne Creek	F	2.6
Largs Bay	F	4.6
Largs Bay	M	6.3
Largs North	F	5.6
Largs North	M	7.2
Laura (SA)	F	2
Laura (SA)	M	7.9
Leabrook	F	4.3
Leabrook	M	5.4
Leigh Creek (SA)	F	8.2
Leigh Creek (SA)	M	12.3
Leighton	M	44.4
Lenswood	F	5.3
Lenswood	M	1.9
Lewiston	F	7.3
Lewiston	M	7.4
Linden Park	F	9.6
Linden Park	M	6.6
Lipson	F	7.9
Littlehampton	F	6.6
Littlehampton	M	4.2
Lobethal	F	6.4
Lobethal	M	4
Lochiel (SA)	M	8.8
Lockleys	F	4.6
Lockleys	M	5.3
Long Plains	F	20
Long Plains	M	20
Longwood (SA)	F	6.4
Louth Bay	M	10
Loveday	F	4.3
Loveday	M	4.5
Lowan Vale	F	50
Lower Hermitage	F	8.2
Lower Hermitage	M	5.5
Lower Inman Valley	F	2.9
Lower Inman Valley	M	9.4
Lower Light	M	5.8
Lower Mitcham	F	4.1
Lower Mitcham	M	4.6
Loxton	F	4.3
Loxton	M	5.1
Loxton North	F	5.6
Loxton North	M	2.7
Lucindale	F	5.3
Lucindale	M	1.7
Lyndhurst (SA)	M	30
Lyndoch	F	5.4
Lyndoch	M	6.3
Lynton	F	7.1
Lynton	M	5.8
Lyrup	F	5.5
Lyrup	M	4.3
Macclesfield (SA)	F	3.4
Macclesfield (SA)	M	3.7
Macdonald Park	F	5.7
Macdonald Park	M	4.1
Magill	F	7
Magill	M	7
Maitland (SA)	F	4.5
Maitland (SA)	M	6.1
Mallala	F	5.4
Mallala	M	4.6
Malvern (SA)	F	5.5
Malvern (SA)	M	5.2
Manningham	F	5.7
Manningham	M	6.9
Mannum	F	4.6
Mannum	M	9
Manoora (SA)	F	12.5
Mansfield Park	F	12.2
Mansfield Park	M	11.9
Marden	F	7.1
Marden	M	8.4
Marino	F	4.2
Marino	M	7.9
Marion	F	5.9
Marion	M	9
Marion Bay (SA)	M	7.3
Marla	M	20
Marleston	F	7.8
Marleston	M	6.6
Marryatville	F	2.8
Marryatville	M	6.2
Maslin Beach	F	6.5
Maslin Beach	M	7.4
Mawson Lakes	F	7.8
Mawson Lakes	M	8
Maylands (SA)	F	5.7
Maylands (SA)	M	4.1
McCracken	F	5
McCracken	M	11.5
McHarg Creek	M	20
McLaren Flat	F	3
McLaren Flat	M	1.9
McLaren Vale	F	6.3
McLaren Vale	M	5.9
Meadows	F	3.6
Meadows	M	5.1
Medindie	F	6.7
Medindie	M	2.7
Medindie Gardens	F	6.1
Medindie Gardens	M	3.3
Melrose (SA)	F	4.1
Melrose (SA)	M	3
Melrose Park (SA)	F	5.1
Melrose Park (SA)	M	7.8
Meningie	F	2.6
Meningie	M	4.2
Middleton (SA)	F	3.1
Middleton (SA)	M	8.7
Mil-Lel	M	3.8
Milang	F	5.6
Milang	M	9.9
Mile End	F	7.8
Mile End	M	7.3
Mile End South	M	30
Millbrook (SA)	M	7
Millicent	F	6.2
Millicent	M	8.8
Millswood	F	5
Millswood	M	4.8
Miltalie	M	15.8
Minlaton	F	5.5
Minlaton	M	5.5
Mintaro	F	6.4
Miranda (SA)	F	23.1
Mitcham (SA)	F	4.9
Mitcham (SA)	M	3.7
Mitchell Park (SA)	F	8.7
Mitchell Park (SA)	M	11
Moana	F	5.9
Moana	M	6.8
Moculta	F	4.9
Moculta	M	5.8
Modbury	F	9
Modbury	M	11
Modbury Heights	F	5.2
Modbury Heights	M	6.7
Modbury North	F	5.6
Modbury North	M	7.2
Monarto	F	13.6
Monash (SA)	F	5.4
Monash (SA)	M	3.7
Montacute	F	9.6
Montacute	M	8.6
Monteith	F	7.7
Monteith	M	10
Moonta	F	15.5
Moonta	M	13.7
Moonta Bay	F	8.4
Moonta Bay	M	8.1
Moonta Mines	M	7.3
Moorak	F	3.9
Moorak	M	5.1
Moorook	F	8.1
Moppa	F	13.6
Moppa	M	13.6
Morgan	F	13
Morgan	M	12
Morphett Vale	F	8.6
Morphett Vale	M	9.8
Morphettville	F	7.9
Morphettville	M	9.4
Mount Barker (SA)	F	5.7
Mount Barker (SA)	M	7
Mount Barker Summit	M	10
Mount Benson	F	9.1
Mount Burr	F	13.2
Mount Burr	M	4.2
Mount Compass	F	7.2
Mount Compass	M	6.1
Mount Dutton Bay	F	33.3
Mount Gambier	F	6.3
Mount Gambier	M	7.4
Mount George (SA)	F	6.2
Mount George (SA)	M	4.6
Mount Jagged	M	8.8
Mount Light	M	6.1
Mount Osmond	F	8.2
Mount Osmond	M	5
Mount Pleasant (SA)	F	7.7
Mount Pleasant (SA)	M	6.6
Mount Schank	F	5.1
Mount Schank	M	3.7
Mount Serle	F	50
Mount Torrens	F	5.8
Mount Torrens	M	3.4
Mullaquana	F	8.5
Mullaquana	M	4.3
Mundoora	F	9.7
Mundoora	M	9.1
Mundulla	M	3.3
Munno Para	F	13.5
Munno Para	M	13.3
Munno Para Downs	F	9.1
Munno Para Downs	M	13.1
Munno Para West	F	9.7
Munno Para West	M	8.2
Murbko	M	18.8
Murdinga	M	14.3
Murputja	F	18.8
Murputja	M	53.3
Murray Bridge	F	11
Murray Bridge	M	10.5
Murray Bridge East	F	4.4
Murray Bridge East	M	5
Murray Bridge South	F	6.7
Mylor	F	5.4
Mylor	M	4.1
Mypolonga	F	2.6
Mypolonga	M	6.6
Myponga	F	6.4
Myponga	M	5.7
Myrtle Bank (SA)	F	4.4
Myrtle Bank (SA)	M	5.9
Nailsworth	F	4.2
Nailsworth	M	5.7
Nairne	F	5.9
Nairne	M	4.1
Nangkita	F	5.6
Nangkita	M	11.8
Nangwarry	F	9.2
Nangwarry	M	3.7
Napperby	F	9.4
Napperby	M	10.7
Naracoorte	F	4.9
Naracoorte	M	5.1
Narrung (SA)	F	28.1
Narrung (SA)	M	9.8
Nelshaby	F	17.1
Nelshaby	M	13.7
Nepean Bay	M	8.8
Netherby (SA)	F	2.8
Netherby (SA)	M	3.5
Netley	F	6.3
Netley	M	9.7
New Port	F	3.3
New Port	M	5.2
New Residence	M	11.5
New Town (SA)	F	9.2
New Town (SA)	M	8.9
Newton	F	6.1
Newton	M	5.8
Noarlunga Centre	F	10
Noarlunga Centre	M	5.8
Noarlunga Downs	F	9
Noarlunga Downs	M	11.2
Nora Creina	M	33.3
Normanville (SA)	F	7.1
Normanville (SA)	M	9
North Adelaide	F	7.6
North Adelaide	M	8.9
North Beach (SA)	F	8.1
North Beach (SA)	M	6.5
North Brighton	F	4.1
North Brighton	M	5
North Haven (SA)	F	5.8
North Haven (SA)	M	6.4
North Moonta	F	6.1
North Moonta	M	10.1
North Plympton	F	3.9
North Plympton	M	8.9
North Shields	F	5.2
North Shields	M	8.4
North Yelta	F	100
Northern Heights	F	6.3
Northern Heights	M	12
Northfield	F	8.9
Northfield	M	11.5
Northgate (SA)	F	5.7
Northgate (SA)	M	5.8
Norton Summit	F	4
Norton Summit	M	2.4
Norwood (SA)	F	6.7
Norwood (SA)	M	6.6
Novar Gardens	F	4.9
Novar Gardens	M	7
Nuriootpa	F	4.1
Nuriootpa	M	5
O'Halloran Hill	F	4.5
O'Halloran Hill	M	5.9
O'Sullivan Beach	F	10.2
O'Sullivan Beach	M	14.3
Oakbank	F	2.9
Oakbank	M	2.7
Oakden	F	7.4
Oakden	M	8.1
Oaklands Park	F	8.2
Oaklands Park	M	12.7
Ob Flat	M	2.2
Old Noarlunga	F	4.9
Old Noarlunga	M	8.3
Old Reynella	F	6.2
Old Reynella	M	6.6
One Tree Hill	F	3.8
One Tree Hill	M	1.2
Onkaparinga Hills	F	5
Onkaparinga Hills	M	5.3
Oodnadatta	M	8.8
Orroroo	F	2.3
Orroroo	M	4.3
Osborne (SA)	F	7.7
Osborne (SA)	M	7.8
Ottoway	F	9.6
Ottoway	M	12.9
Ovingham	F	6.8
Ovingham	M	7.4
Owen	F	5.8
Owen	M	11
Padthaway	F	4.3
Padthaway	M	3.9
Paechtown	M	7.5
Pages Flat	M	7
Palmer (SA)	F	9.1
Palmer (SA)	M	10
Panorama	F	5.3
Panorama	M	5.5
Para Hills	F	7.5
Para Hills	M	9.7
Para Hills West	F	9.4
Para Hills West	M	11
Para Vista	F	9.1
Para Vista	M	9.8
Paracombe	M	7.3
Paradise (SA)	F	7.6
Paradise (SA)	M	7.2
Parafield Gardens	F	10.2
Parafield Gardens	M	10.8
Paralowie	F	10
Paralowie	M	10.5
Parham	F	12
Paringa	F	5.5
Paringa	M	5.7
Paris Creek	F	7.5
Park Holme	F	7.6
Park Holme	M	7.7
Parkside (SA)	F	3.9
Parkside (SA)	M	6
Parrakie	F	11.1
Parrakie	M	8.3
Pasadena	F	6.1
Pasadena	M	8.9
Paskeville	M	7.1
Pata	F	21.4
Payneham	F	8.5
Payneham	M	6
Payneham South	F	5.6
Payneham South	M	7.7
Peebinga	F	27.3
Pelican Point (SA)	M	22.2
Penfield	F	8.9
Penfield	M	3.4
Penfield Gardens	F	4.5
Penfield Gardens	M	11.4
Penneshaw	F	4.5
Penneshaw	M	17.2
Pennington	F	11.2
Pennington	M	10.6
Penola	F	5
Penola	M	3.8
Penong	F	5.8
Penong	M	6.8
Penrice	F	2.6
Penrice	M	2.3
Perponda	F	15.8
Peterborough (SA)	F	12.2
Peterborough (SA)	M	19.5
Peterhead	F	7.6
Peterhead	M	8.9
Pewsey Vale	F	12
Piccadilly (SA)	F	4.9
Piccadilly (SA)	M	2.6
Pine Point	F	23.1
Pinery	F	10.3
Pinnaroo	F	5
Pinnaroo	M	4
Pipalyatjara	F	32.6
Pipalyatjara	M	48.4
Plympton	F	8.6
Plympton	M	7.6
Plympton Park	F	6.3
Plympton Park	M	10
Point Pass	M	12.5
Point Pearce	M	91.7
Point Turton	M	3.9
Pompoota	M	21.4
Poonindie	M	6.3
Pooraka	F	9.4
Pooraka	M	10.9
Port Adelaide	F	7.9
Port Adelaide	M	10.9
Port Augusta	F	8.6
Port Augusta	M	13.8
Port Augusta West	F	4.9
Port Augusta West	M	10.6
Port Broughton	F	7
Port Broughton	M	5.9
Port Davis	F	100
Port Elliot	F	6.7
Port Elliot	M	6.6
Port Germein	M	11.9
Port Hughes	F	4.5
Port Hughes	M	7.9
Port Kenny	F	33.3
Port Lincoln	F	5.6
Port Lincoln	M	7.1
Port Macdonnell	F	7.1
Port Macdonnell	M	3.3
Port Mannum	M	9.4
Port Moorowie	M	40
Port Neill	F	9.8
Port Neill	M	7.5
Port Noarlunga	F	8.3
Port Noarlunga	M	9.6
Port Noarlunga South	F	6.5
Port Noarlunga South	M	7.8
Port Paterson	M	17.4
Port Pirie	F	20
Port Pirie	M	12.5
Port Pirie South	F	8
Port Pirie South	M	10.8
Port Pirie West	F	14.5
Port Pirie West	M	22
Port Rickaby	M	27.3
Port Victoria	F	9.4
Port Victoria	M	6.6
Port Vincent	F	6.2
Port Vincent	M	10.8
Port Wakefield	F	8.8
Port Wakefield	M	8.4
Port Willunga	F	11.5
Port Willunga	M	9.5
Price	F	14.3
Price	M	11.6
Prospect (SA)	F	6.2
Prospect (SA)	M	7.6
Prospect Hill	F	11.4
Pukatja	M	7.1
Queenstown (SA)	F	6.8
Queenstown (SA)	M	9.2
Quorn	F	6.2
Quorn	M	7
Ramco	M	9.8
Ramco Heights	F	8.1
Ramco Heights	M	9.1
Red Creek	M	7.5
Redbanks	F	7.3
Redbanks	M	9.8
Redhill	F	11.1
Redwood Park	F	5.6
Redwood Park	M	6
Reid (SA)	F	8.7
Reid (SA)	M	6.4
Renmark	F	9.1
Renmark	M	11.7
Renmark North	F	7
Renmark North	M	5.6
Renmark South	F	7.8
Renmark South	M	7.5
Renmark West	F	3.8
Renmark West	M	5
Renown Park	F	11.5
Renown Park	M	14.8
Reynella	F	7.9
Reynella	M	9.3
Reynella East	F	5.7
Reynella East	M	6.9
Rhynie	M	9.4
Richmond (SA)	F	6.8
Richmond (SA)	M	8
Ridgehaven	F	6.5
Ridgehaven	M	8.5
Ridleyton	F	5.3
Ridleyton	M	7.1
Risdon Park	F	9.9
Risdon Park	M	12.5
Risdon Park South	F	5.5
Risdon Park South	M	10.4
Riverglades	F	3.6
Riverglades	M	6.6
Riverglen	M	25
Riverton (SA)	F	4.1
Riverton (SA)	M	4.5
Robe	F	2
Robe	M	3.9
Robertstown	M	7.8
Rockleigh	M	15.8
Rocky Camp	M	10.8
Rocky Gully (SA)	F	11.1
Rocky Gully (SA)	M	12.2
Rose Park	F	7.3
Rose Park	M	5.3
Rosedale (SA)	M	5.2
Rosetown	M	7
Rosewater	F	9.4
Rosewater	M	12.4
Roseworthy	F	6.4
Roseworthy	M	4.7
Rosslyn Park	F	8
Rosslyn Park	M	5.3
Rostrevor	F	6.7
Rostrevor	M	7.6
Roxby Downs	F	6.3
Roxby Downs	M	1.5
Royal Park	F	7.2
Royal Park	M	9.4
Royston Park	F	6.6
Royston Park	M	5.9
Saddleworth	F	4.7
Saddleworth	M	5
Salisbury (SA)	F	14.1
Salisbury (SA)	M	16
Salisbury Downs	F	11.7
Salisbury Downs	M	12.4
Salisbury East	F	10.2
Salisbury East	M	11.5
Salisbury Heights	F	5.4
Salisbury Heights	M	7.4
Salisbury North	F	13.4
Salisbury North	M	15
Salisbury Park	F	7.5
Salisbury Park	M	11.2
Salisbury Plain	F	5.7
Salisbury Plain	M	9.3
Sampson Flat	M	7.9
Sanderston	M	15.8
Sandy Creek (SA)	F	12.2
Scott Creek	F	5.9
Scott Creek	M	6.3
Seacliff	F	3.2
Seacliff	M	4.2
Seacliff Park	F	4.9
Seacliff Park	M	6.3
Seacombe Gardens	F	7.1
Seacombe Gardens	M	8
Seacombe Heights	F	5.9
Seacombe Heights	M	5.9
Seaford (SA)	F	7
Seaford (SA)	M	9.5
Seaford Meadows	F	8.7
Seaford Meadows	M	8.1
Seaford Rise	F	6.4
Seaford Rise	M	8
Seaton (SA)	F	7.5
Seaton (SA)	M	8.6
Seaview Downs	F	3.9
Seaview Downs	M	5.1
Second Valley	F	8.8
Sedan	M	5.4
Seddon (SA)	F	19
Sefton Park	F	5.8
Sefton Park	M	9.7
Sellicks Beach	F	6.6
Sellicks Beach	M	9
Sellicks Hill	F	3.9
Sellicks Hill	M	3.1
Semaphore	F	6
Semaphore	M	8.3
Semaphore Park	F	6.4
Semaphore Park	M	9.4
Semaphore South	F	5.3
Semaphore South	M	8.9
Seppeltsfield	F	7.7
Sevenhill	F	13.3
Shea-Oak Log	F	10.3
Shea-Oak Log	M	8.1
Sheidow Park	F	4.5
Sheidow Park	M	5.7
Silverton (SA)	M	27.3
Skye (SA)	M	4
Sleaford	M	22.2
Smithfield (SA)	F	16.5
Smithfield (SA)	M	18.6
Smithfield Plains	F	19.4
Smithfield Plains	M	23.3
Smoky Bay	F	5.2
Smoky Bay	M	3.8
Snowtown	F	3.8
Snowtown	M	6.8
Solomontown	F	17.2
Solomontown	M	17.6
Somerton Park	F	4.8
Somerton Park	M	6.1
South Brighton	F	3.7
South Brighton	M	6.9
South Hummocks	M	40
South Plympton	F	6.2
South Plympton	M	8.9
Southend	F	4.8
Southend	M	5.8
Spalding (SA)	F	5.6
Spalding (SA)	M	4.9
Springfield (SA)	F	2.5
Springfield (SA)	M	6.9
Springton	F	9.2
Springton	M	5.6
St Agnes (SA)	F	6
St Agnes (SA)	M	6.8
St Clair (SA)	F	6.7
St Clair (SA)	M	6.6
St Georges	F	6.3
St Georges	M	4.8
St Kilda (SA)	M	20
St Marys (SA)	F	7.2
St Marys (SA)	M	10.8
St Morris	F	8.1
St Morris	M	5.2
St Peters (SA)	F	5.3
St Peters (SA)	M	5.5
Stanley Flat	F	4
Stanley Flat	M	2.6
Stansbury	F	6.9
Stansbury	M	10.5
Stepney	F	5.7
Stepney	M	4.3
Stirling (SA)	F	5.2
Stirling (SA)	M	5
Stirling North	F	4.4
Stirling North	M	8.5
Stockport	F	16.4
Stockport	M	7.6
Stockwell	F	2.8
Stockwell	M	2.2
Stonyfell	F	3
Stonyfell	M	6.7
Strathalbyn (SA)	F	5.5
Strathalbyn (SA)	M	5.8
Streaky Bay	F	1.4
Streaky Bay	M	8.2
Sturt (SA)	F	6.9
Sturt (SA)	M	11
Summertown	F	2.9
Summertown	M	1.6
Sunlands	F	5.1
Sunlands	M	3.7
Sunnyside (SA)	M	10
Surrey Downs	F	5.6
Surrey Downs	M	7
Suttontown	F	1.9
Suttontown	M	2.3
Swan Reach (SA)	F	5.9
Swan Reach (SA)	M	4.7
Tailem Bend	F	10.1
Tailem Bend	M	10.7
Tantanoola	F	9.8
Tantanoola	M	6.4
Tanunda	F	4.2
Tanunda	M	3.6
Taperoo	F	11.1
Taperoo	M	13
Tarlee	F	5.4
Tarlee	M	6.9
Tarpeena	F	7.4
Tarpeena	M	9.3
Tatachilla	F	6.7
Tatachilla	M	4.3
Tea Tree Gully	F	4.7
Tea Tree Gully	M	6.3
Telowie	F	15.8
Telowie	M	14.3
Templers	F	11.1
Tennyson (SA)	F	4.3
Tennyson (SA)	M	4.2
Teringie	F	1.8
Teringie	M	4.8
Terowie	M	13
The Pines (SA)	M	16.7
Thebarton	F	3.9
Thebarton	M	7.4
Thevenard	F	4.9
Thevenard	M	5.4
Thompson Beach	F	9.4
Thompson Beach	M	10
Thorngate	M	12.2
Tiatukia	M	5.4
Tiddy Widdy Beach	M	11.1
Tilley Swamp	F	42.9
Tintinara	F	2.8
Tintinara	M	1.9
Tooperang	M	4.8
Toorak Gardens	F	6
Toorak Gardens	M	5.3
Torrens Park	F	4.8
Torrens Park	M	5.8
Torrensville	F	7.4
Torrensville	M	9.6
Totness	F	16.7
Tranmere (SA)	F	4.9
Tranmere (SA)	M	7.6
Trinity Gardens	F	4.2
Trinity Gardens	M	4.1
Trott Park	F	4.3
Trott Park	M	5.7
Truro	F	3.8
Truro	M	6.6
Tulka	M	17.1
Tumby Bay	F	3.7
Tumby Bay	M	3.6
Tungkillo	F	4.1
Tusmore	F	4.8
Tusmore	M	4.6
Two Wells	F	6.9
Two Wells	M	6.4
Uleybury	F	7.2
Uleybury	M	7.8
Underdale	F	5.8
Underdale	M	6.6
Unley	F	5.9
Unley	M	6.8
Unley Park	F	5.2
Unley Park	M	5.4
Upper Hermitage	M	4.1
Upper Sturt	F	5.3
Upper Sturt	M	9.5
Uraidla	F	1.9
