SSC_NAME16	medianTotalHouseholdIncome
Washpool (SA)	55224
Wasleys	71708
Watarru	
Watchman	97500
Waterfall Gully	158184
Waterloo (SA)	45760
Waterloo Corner	39884
Watervale	72956
Watraba	
Wattle Flat (SA)	71500
Wattle Park	98228
Wattle Range	88348
Wattle Range East	97500
Wauraltee	62816
Wayville	86996
Webb Beach	36400
Wedge Island (SA)	
Weeroona Island	38220
Weetulta	97448
Welland	61620
Wellington (SA)	55484
Wellington East	47372
Wepar	67184
West Beach (SA)	73944
West Bundaleer	
West Croydon	69056
West Hindmarsh	66456
West Lakes	67236
West Lakes Shore	77896
West Range	46800
West Richmond	59540
Westall	61724
Westbourne Park	88660
Western Flat	57408
Western River	61724
Wharminda	58500
White Hill	71500
White Hut	61724
White Sands	75816
White Well Corner	
Whites Flat	71500
Whites River	74724
Whites Valley	70564
Whitwarta	44200
Whyalla	70252
Whyalla Barson	
Whyalla Jenkins	86060
Whyalla Norrie	46956
Whyalla Playford	69784
Whyalla Stuart	39208
Whyte Yarcowie	54132
Wigley Flat	67184
Wilcherry	
Wild Dog Valley (SA)	68224
Wild Horse Plains	48516
Wilgena	90948
Willalo	68224
Willalooka	65728
Willamulka	59748
Willaston	58604
William Creek	37700
Williamstown (SA)	76960
Willippa	117000
Willochra	
Willoughby (SA)	
Willow Creek	95316
Willowie	117000
Willson River	
Willunga	70720
Willunga Hill	101816
Willunga South	94588
Willyaroo	75088
Wilmington	53716
Windsor (SA)	50908
Windsor Gardens	62764
Wingfield	42588
Winkie	70304
Winninowie	
Winulta	55224
Wirrabara	41236
Wirraminna	
Wirrega	94224
Wirrina Cove	40560
Wirrulla	57564
Wisanger	42588
Wistow	91780
Witera	
Wokurna	95316
Wolseley	42744
Wombats Rest	
Wongulla	36140
Wongyarra	54184
Wonna	
Wonuarra	58500
Woodchester	66300
Woodcroft (SA)	74308
Woodforde	98540
Woodlane	69316
Woodleigh (SA)	68224
Woods Point (SA)	59384
Woodside (SA)	65780
Woodville (SA)	62088
Woodville Gardens	40664
Woodville North	54288
Woodville Park	71136
Woodville South	69784
Woodville West	64844
Wool Bay	32708
Woolpunda	49348
Woolshed Flat (SA)	100724
Woolsheds	82316
Woolumbool	62348
Woolundunga	46748
Woomera	81224
Worlds End (SA)	
Worrolong	98904
Wrattonbully	67132
Wudinna	60060
Wunkar	58500
Wye	56316
Wynarka	43316
Wynn Vale	77480
Wyomi	39312
Yacka	47944
Yahl	80496
Yalanda	46800
Yalata	53300
Yallunda Flat	68224
Yalpara	
Yamba (SA)	
Yanerbie	
Yaninee	84500
Yankalilla	41184
Yantanabie	123448
Yanyarrie	
Yardea	
Yarrah	
Yatala Vale	91728
Yatina	54184
Yattalunga (SA)	111436
Yeelanna	99632
Yellabinna	
Yelta (SA)	29900
Yinkanie	64948
Yongala	39208
Yorke Valley	60112
Yorketown	44200
Younghusband	40560
Younghusband Holdings	
Yumali	43316
Yumbarra	
Yundi	71500
Yunta	62816
Zadows Landing	71500
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Abba River	82836
Abbey	77116
Acton Park (WA)	80184
Adamsvale	129948
Ajana	68224
Albany	64636
Aldersyde	84448
Alexander Heights	82680
Alexandra Bridge	
Alfred Cove	108576
Alkimos	100984
Allanooka	71500
Allanson	89336
Alma (WA)	51064
Ambania	
Ambergate	105352
Amelup	142948
Angelo River	
Anketell	89492
Anniebrook	84500
Antonymyre	
Applecross	113672
Ardath	50232
Ardross	103584
Argyle (WA)	90012
Armadale (WA)	49816
Arrino	37700
Arrowsmith	77948
Arrowsmith East	117000
Arthur River (WA)	70200
Ascot (WA)	96252
Ashby (WA)	73684
Ashendon	
Ashfield (WA)	66976
Attadale	113412
Atwell	114452
Aubin Grove	115076
Augusta	43992
Australind	84812
Aveley	103584
Avon Valley National Park	
Baandee	84500
Babakin	68224
Babbage Island	72748
Badgebup	77948
Badgerin Rock	94224
Badgin	
Badgingarra	87724
Badjaling	71448
Bailup	116948
Bakers Hill	71292
Balbarrup	75816
Balcatta	68276
Baldivis	100256
Balga	59644
Balingup	48932
Balkuling	37700
Balla Balla	
Balladong	55900
Balladonia	
Ballajura	82576
Ballaying	71448
Ballidu	36140
Bally Bally	58500
Bambun	58448
Bandy Creek	101192
Bandya	58500
Banjup	117000
Banksia Grove	89076
Banksiadale	
Bannister (WA)	112632
Barbalin	162500
Barberton	107224
Barrabup	58500
Barragup	95784
Barrow Island	
Baskerville	111072
Bassendean (WA)	82524
Bateman	107692
Baudin	
Baynton (WA)	160732
Bayonet Head	67184
Bayswater (WA)	88660
Beachlands	55068
Beacon	80132
Beaconsfield (WA)	77116
Beadell	
Beaufort River	86632
Beaumont (WA)	116948
Beckenham	69628
Bedford	92508
Bedfordale	117312
Beechboro	69420
Beechina	87048
Beedelup	55224
Beela	90948
Beelerup	48048
Beeliar	106340
Beenong	71500
Beermullah	84500
Bejoording	74724
Beldon	86788
Belhus	101348
Bellevue (WA)	62140
Belmont (WA)	75712
Bencubbin	55796
Benger	62088
Benjaberring	94224
Benjinup	63336
Bennett Springs	95836
Bentley (WA)	44876
Beresford	69784
Berkshire Valley	73632
Bernier Island	
Bertram	91572
Beverley (WA)	45344
Bibra Lake	86944
Bickley	103220
Bicton	89752
Biddelia	
Big Grove	48724
Bilbarin	84500
Bilingurr	117624
Bimbijy	
Bindi Bindi	86632
Bindoon	55328
Bindoon Training Area	
Binduli	
Binningup	73008
Binnu	66612
Birchmont	71448
Bluff Point	65676
Blythewood	93184
Boallia	82316
Bobalong	68224
Bodallin	58500
Boddington	97708
Boilup	71500
Bokal	58500
Bolgart	46800
Bonnie Rock	84500
Bonniefield	69316
Boodarie	162500
Boodarockin	
Bookara	71500
Boonanarring	90948
Boorabbin	
Booragoon	88764
Booralaming	84448
Boorara	
Boorara Brook	38948
Bootenal	67184
Boothendarra	69316
Boranup	
Borden	58448
Borderdale	74724
Bornholm	58500
Boscabel	74724
Boulder	91156
Boundain	63336
Bouvard	47632
Bovell	110032
Bow Bridge	35724
Bowelling	62816
Bowes	70408
Bowgada	110448
Boxwood Hill	73112
Boya	99788
Boyanup	79820
Boyatup	71500
Boyerine	71500
Boyup Brook	48516
Brabham	101764
Bramley	57408
Brazier	60632
Breera	81224
Bremer Bay	50960
Brentwood (WA)	73580
Breton Bay	
Bridgetown	48412
Brigadoon	122148
Bringo	49348
Broadwater (WA)	61204
Broadwood	176332
Brockman	84136
Broke (WA)	
Brookdale (WA)	66612
Brookhampton	76648
Brookton	50908
Broome	76180
Broomehill East	110448
Broomehill Village	49348
Broomehill West	84500
Brown Hill (WA)	
Brown Range	52832
Bruce Rock	59176
Brunswick (WA)	62920
Buckingham (WA)	195000
Buckland (WA)	68224
Bulgarra	123084
Bull Creek (WA)	84552
Bullabulling	84500
Bullaring	96408
Buller	73632
Bullfinch	22048
Bullock Hills	
Bullsbrook	89128
Bulong	
Bulyee	110448
Bunbury (WA)	79820
Bundanoon (WA)	97448
Buniche	149448
Bunjil	108316
Buntine	69836
Burakin	81224
Buraminya	
Burekup	90064
Burges	
Burlong	40560
Burma Road	
Burns Beach	156416
Burnside (WA)	86112
Burracoppin	58500
Burran Rock	97448
Burrup	
Burswood	102856
Busselton	43524
Butler (WA)	84032
Byford	95992
Cable Beach	101088
Cadoux	53612
Caiguna	
Calingiri	54964
Calista	43836
Caljie	46800
Callcup	46800
Camballin	49868
Cambridge Gulf	
Camillo	62868
Cancanning	84500
Cane	
Canna	73632
Canning Mills	84448
Canning Vale	109200
Cannington	66924
Cape Arid	
Cape Burney	51064
Cape Le Grand	
Cape Range National Park	37648
Capel	65988
Capel River	89336
Capricorn	81224
Caraban	42848
Carabooda	97500
Carani	68224
Carbla	
Carbunup River	55224
Cardiff (WA)	56316
Cardup	122876
Carey Park	51272
Carine	116584
Carlisle	73892
Carlotta	46800
Carmel	96044
Carnamah	66300
Carnarvon	48204
Carrabin	
Carramar (WA)	114244
Carrolup	94224
Cartmeticup	87724
Cascade (WA)	84500
Castletown	74620
Casuarina (WA)	107120
Cataby	123448
Catterick	59644
Caversham	105872
Centennial Park (WA)	38376
Cervantes	55692
Chadwick	80132
Champion Lakes	85384
Chandler (WA)	
Changerup	69316
Channybearup	73112
Chapman Hill	58500
Charley Creek	110500
Cherry Tree Pool	97500
Cheynes	71500
Chichester (WA)	
Chidlow	87100
Chittering	86736
Chowerup	71500
Churchlands	114036
City Beach	152100
Clackline	56732
Claremont (WA)	100620
Clarkson	83928
Cleary	
Cleaverville	22100
Clifton (WA)	
Cloverdale	69264
Coblinine	84448
Coburn	
Cockburn Central	71812
Cocklebiddy	
Codjatotine	61724
Cold Harbour	66612
Collanilling	84500
College Grove	83616
Collie (WA)	57772
Collie Burn	87724
Collingwood Heights	60892
Collingwood Park (WA)	66456
Collins	54132
Commodine	107224
Como (WA)	83096
Condingup	63856
Connolly	114296
Contine	110500
Coodanup	43160
Coogee (WA)	98488
Cookernup	68224
Cooladar Hill	
Coolbellup	61724
Coolbinia	154856
Coolcalalaya	
Coolgardie (WA)	58032
Cooljarloo	
Cooloongup	59124
Coolup	77220
Coomalbidgup	97500
Coomberdale	68224
Coonabidgee	55224
Coondle	63076
Coorow	54756
Cooya Pooya	
Copley (WA)	62816
Coral Bay	61724
Corinthia	
Corrigin	60788
Cosmo Newbery	42848
Cossack (WA)	
Cottesloe	139360
Courtenay	68224
Cowalellup	82316
Cowalla	101816
Cowaramup	81068
Cowcowing	71448
Coyrecup	84500
Craigie (WA)	80028
Cramphorne	74724
Cranbrook (WA)	49348
Crawley	59540
Crooked Brook	100724
Crossman	81224
Crowea	61724
Cuballing	58032
Cubbine	195000
Cue	44200
Culham	117000
Cullacabardee	
Cullalla	37700
Cundeelee	97448
Cunderdin	65416
Cundinup	80132
Cunjardine	142948
Currambine	104832
Cuthbert	72748
Daadenning Creek	81224
Daggar Hills	
Daglish	88920
Dale	92612
Daliak	69316
Dalkeith	198484
Dalwallinu	81120
Dalyellup	96668
Dalyup	72748
Dampier	170768
Dampier Archipelago	
Dampier Peninsula	42692
Dandanning	77948
Dandaragan	77480
Dangin	84448
Darch	110448
Dardadine	84500
Dardanup	75244
Dardanup West	96356
Darkan	61308
Darling Downs	108888
Darlington (WA)	103376
Darradup	55224
Dartmoor (WA)	
Dartnall	97500
Datatine	74724
Davenport (WA)	136500
Dawesville	71552
Dayton	98956
De Grey	37700
Deanmill	58864
Deepdale	107224
Deepdene (WA)	55224
Denbarker	62816
Denham	47684
Denmark	44044
Derby (WA)	82472
Devils Creek	110448
Dewars Pool	68224
Diamond Tree	94224
Dianella	76804
Dindiloa	38948
Dingup	103012
Dinninup	67184
Dirk Hartog Island	
Dixvale	94224
Djugun	121420
Dongara	52988
Dongolocking	62816
Donnelly River	
Donnybrook (WA)	56628
Doodenanning	46800
Doodlakine	74724
Dorre Island	
Doubleview	104728
Dowerin	56836
Drome	67184
Drummond Cove	97760
Dryandra	
Drysdale River	71500
Dudawa	136500
Dudinin	56836
Dudley Park (WA)	57148
Dukin	58500
Dulbelling	81224
Dulyalbin	168948
Dumbarton	84448
Dumberning	94224
Dumbleyung	48412
Duncraig	111384
Dundas (WA)	
Dunn Rock	155948
Dunsborough	85748
Durack (WA)	50648
Duranillin	40768
Durawah	
Dwarda	97500
Dwellingup	72956
Eagle Bay	84500
East Augusta	39624
East Ballidu	80184
East Beverley	71500
East Bowes	71500
East Bunbury	55120
East Cannington	77532
East Carnarvon	73164
East Chapman	46800
East Damboring	
East Fremantle	106652
East Lyons River	
East Munglinup	71500
East Murchison	
East Nabawa	
East Nannup	46800
East Newdegate	117000
East Perth	97136
East Pingelly	81224
East Popanyinning	71448
East Rockingham	31356
East Victoria Park	91468
East Wickepin	61724
East Yuna	67184
Eastbrook	75348
Eaton (WA)	71968
Eden Hill	72228
Edgewater	95160
Eganu	121316
Eglinton (WA)	103064
Eighty Mile Beach	46800
Elabbin	58500
Elachbutting	81848
Elgin (WA)	71448
Elleker	78572
Ellenbrook	88088
Ellendale (WA)	84448
Embleton	80184
Emu Flat (WA)	97500
Emu Point	53924
Eneabba	40248
Ennuin	
Eradu	117000
Eradu South	58500
Erskine (WA)	46176
Esperance	48308
Etmilyn	
Eucla	97448
Eurardy	
Ewlyamartup	44200
Exmouth	90480
Exmouth Gulf	42848
Fairbridge	46800
Falcon	57356
Ferguson (WA)	95316
Ferndale (WA)	72384
Fimiston	
Finucane	
Fitzgerald (WA)	
Fitzgerald River National Park	
Fitzroy Crossing	53768
Flint	
Floreat	159744
Flynn (WA)	
Forest Grove (WA)	64428
Forest Hill (WA)	66612
Forrest (WA)	
Forrest Beach (WA)	37700
Forrestania	
Forrestdale	78312
Forrestfield	75868
Fortescue (WA)	27924
Frankland River	69056
Fraser Range	29848
Fremantle	80496
Furnissdale	38688
Gabalong	
Gabbadah	58500
Gabbin	71448
Gairdner	74724
Gap Ridge	121316
Garden Island (WA)	
Gascoyne Junction	50024
Gascoyne River	46800
Geegully Creek	
Gelorup	105716
Geographe	62452
Georgina (WA)	87724
Geraldton	54704
Ghooli	
Gibb	46800
Gibson	73320
Gibson Desert North	48048
Gibson Desert South	
Gidgegannup	106704
Gilgering	71500
Gillimanning	117000
Gillingarra	107224
Gilroyd	
Gingerah	
Gingin	65520
Ginginup	94224
Girrawheen	57408
Gledhow	68900
Glen Forrest	95732
Glen Iris (WA)	79040
Glen Mervyn	97500
Glencoe (WA)	97500
Glendalough	64636
Glenfield (WA)	88972
Glenlynn	93184
Glenoran	46800
Glentromie	84500
Gnangara	85592
Gnarabup	106444
Gnoorea	37700
Gnowangerup	62140
Gnowellen	68224
Golden Bay	88244
Goode Beach	71500
Goodlands	56316
Goomalling	42796
Goomarin	97448
Gooseberry Hill	96876
Gorge Rock	136500
Gorrie	
Gosnells	60840
Gracetown	69316
Granville (WA)	46124
Grass Patch	93184
Grass Valley	60632
Green Head	38844
Green Range	74724
Green Valley (WA)	73632
Greenbushes	42328
Greenfields	49296
Greenhills	81224
Greenmount (WA)	78156
Greenough	65416
Greenwood (WA)	87776
Greenwoods Valley	97500
Gregory (WA)	46748
Grey	33748
Greys Plain	34528
Grimwade	
Guilderton	45500
Guildford (WA)	97136
Gundaring	
Gunyidi	81224
Gutha	69316
Gwambygine	54184
Gwelup	119080
Gwindinup	97500
Hacketts Gully	58500
Halls Creek (WA)	63960
Halls Head	79404
Hamel	81900
Hamelin Bay	50232
Hamelin Pool	46748
Hamersley	83928
Hamersley Range	
Hamilton Hill	60632
Hammond Park	117104
Hannans	132548
Harris River	74724
Harrisdale	112892
Harrismith	110448
Harvey	60684
Hastings (WA)	100724
Hatter Hill	
Hay (WA)	69056
Haynes	92612
Hazelmere	50232
Hazelvale	57200
Heathridge	82368
Helena Valley	99060
Henderson	33748
Henley Brook	105560
Henty (WA)	97500
Herdsman	
Herne Hill (WA)	74568
Herron	70044
Hester	44148
Hester Brook	71500
Higginsville	
High Wycombe	82420
Highbury (WA)	63232
Highgate (WA)	91780
Hilbert	90792
Hill River (WA)	75816
Hillarys	118716
Hillman	63908
Hillside (WA)	80132
Hilton (WA)	73112
Hindmarsh (WA)	84500
Hines Hill	46800
Hithergreen	39624
Hocking	102804
Hoddys Well	71500
Hoffman	71500
Holleton	
Holmwood	110500
Holt Rock	68224
Holyoake	62348
Hope Valley (WA)	100724
Hopeland (WA)	92768
Hopetoun (WA)	54340
Horrocks	62816
Houtman Abrolhos	
Hovea	103428
Howatharra	66612
Howick (WA)	84500
Hulongine	121316
Huntingdale (WA)	84084
Hyden	70356
Ikewa	103948
Iluka (WA)	145392
Indee	
Inggarda	20748
Inglehope	71448
Inglewood (WA)	95264
Inkpen	49348
Innaloo	85280
Innawanga	
Irishtown (WA)	58500
Irwin	53612
Israelite Bay	
Isseka	58500
Jackitup	71448
Jacup	75816
Jalbarragup	45292
Jaloran	90948
Jandabup	81224
Jandakot	112996
Jane Brook	107172
Jardee	56108
Jarrahdale	89388
Jarrahwood	29848
Jelcobine	72540
Jennacubbine	55224
Jennapullin	58500
Jerdacuttup	53612
Jerramungup	76076
Jibberding	71448
Jilakin	71500
Jindalee (WA)	119080
Jindong	84500
Jingalup	92300
Jitarning	94224
Jolimont	61620
Joondalup	82368
Joondanna	77844
Julimar	65468
Juna Downs	
Jurien Bay	58396
Kadathinni	49348
Kalamunda	78468
Kalannie	68224
Kalbarri	46904
Kalbarri National Park	
Kalgan	70980
Kalgoorlie	100048
Kalgup	75816
Kallaroo	100776
Kaloorup	112632
Kalumburu	53040
Kambalda East	101504
Kambalda West	107692
Kangaroo Gully	66872
Kanowna	
Karakin	48620
Karalundi	60632
Karawara	66352
Kardinya	86684
Karijini	37700
Karlgarin	84500
Karlkurla	164632
Karloning	90948
Karloo	48516
Karnup	93704
Karragullen	106808
Karrakatta	
Karrakup	94224
Karramindie	
Karranadgin	84500
Karratha	61724
Karratha Industrial Estate	87724
Karridale	58500
Karrinyup	109304
Karroun Hill	
Katanning	61256
Katrine	39624
Kauring	35724
Kealy	87256
Kebaringup	97500
Kellerberrin	48048
Kelmscott	65728
Kendenup	47892
Kenmare (WA)	87724
Kennedy Range	
Kensington (WA)	116792
Kentdale	38428
Kenwick	70252
Keralup	
Kewdale	71136
Keysbrook	68536
Kiara	76908
Kimbolton (WA)	
King Leopold Ranges	64012
King River	70668
Kings Park (WA)	190632
Kingsford (WA)	52832
Kingsley	96356
Kingston (WA)	129948
Kinross	106704
Kirk Rock	
Kirup	52676
Kojaneerup South	71500
Kojarena	58500
Kojonup	62296
Kokeby	58448
Kondinin	57980
Kondut	84448
Konnongorring	106132
Koojan	149448
Kookynie	23400
Koolanooka	58448
Koolyanobbing	
Koomberkine	71500
Koondoola	52468
Koongamia	61360
Koorda	44200
Korbel	84500
Kordabup	57564
Korrelocking	75816
Kronkup	84500
Kudardup	48256
Kuender	61724
Kukerin	42900
Kulikup	58500
Kulin	57564
Kulin West	96200
Kulja	77948
Kumarina	58448
Kunjin	117000
Kununoppin	45760
Kununurra	98852
Kurnalpi	
Kurrenkutten	123448
Kweda	
Kwelkan	
Kwinana Beach	
Kwinana Town Centre	53612
Kwolyin	50232
Lagrange	43420
Lake Argyle	35724
Lake Austin	
Lake Biddy	71500
Lake Brown	84500
Lake Camm	99632
Lake Carnegie	59748
Lake Clifton	72748
Lake Darlot	
Lake Deborah	
Lake Grace	71916
Lake Hinds	110448
Lake Jasper	
Lake King	80184
Lake Margarette	37700
Lake Muir	37648
Lake Ninan	84448
Lake Toolbrunup	62348
Lake Wells	
Lakelands (WA)	80808
Lamington (WA)	124592
Lancelin	54808
Landsdale	113256
Lange	49140
Langford	62556
Latham (WA)	58500
Lathlain	96772
Laverton (WA)	65364
Learmonth (WA)	
Leda	73372
Ledge Point	43836
Leederville	115544
Leeman	38792
Leeming	112008
Leeuwin	
Leinster	113932
Lennard Brook	65936
Leonora	67600
Leschenault	103064
Lesley	
Lesmurdie	92976
Lexia	50232
Lime Lake	58500
Linfarne	58500
Little Grove	74412
Little Italy	97500
Little Sandy Desert	
Lockier	84448
Lockridge	55588
Lockyer (WA)	42536
Lol Gray	71500
Londonderry (WA)	
Lort River	143000
Lowden	57200
Lower Chittering	110500
Lower Hotham	46748
Lower King	76648
Lowlands	60632
Ludlow	46748
Lumeah (WA)	99112
Lyalls Mill	143000
Lyndon	58500
Lynwood (WA)	69056
Macleod (WA)	44148
Maddington	62400
Madeley	101400
Madora Bay	103792
Madura	
Magenta (WA)	
Magitup	117000
Mahogany Creek	100724
Mahomets Flats	64220
Maida Vale	92820
Maitland (WA)	
Malabaine	84448
Malaga	
Malebelling	81224
Mallee Hill	71500
Malmalling	
Malyalling	71500
Mandogalup	84448
Mandurah	41860
Manjimup	58136
Manmanning	56524
Manning	94484
Manypeaks	57200
Marangaroo	73788
Maranup	80132
Marbelup	94588
Marble Bar	73320
Marchagee	93184
Mardella	101816
Mardie	195000
Margaret River (WA)	68900
Mariginiup	106600
Marmion	118092
Marne	
Marracoonda	73632
Marradong	159224
Marrah	
Marrinup	
Martin	81120
Marvel Loch	56836
Marybrook	60632
Massey Bay	
Maya	75816
Mayanup	70200
Maylands (WA)	75348
McAlinden	73112
McBeath	58500
McKail	77220
Meadow	
Meadow Springs	77896
Meckering	56628
Meda	71448
Medina	49660
Meekatharra	72488
Meeking	71500
Meelon	86632
Meenaar	55224
Meerup	42848
Melaleuca	
Melville (WA)	97552
Menora	67600
Menzies (WA)	57408
Merilup	71500
Merivale	112632
Merkanooka	71500
Merredin	66976
Merriwa (WA)	58292
Meru	46748
Metricup	75816
Mettler	58500
Miamoon	117000
Middle Swan	64428
Middlesex (WA)	72072
Middleton Beach	73788
Midland	55484
Midvale	50596
Miling	92612
Millars Well	125892
Millbridge	104312
Millbrook (WA)	84500
Millendon	104676
Mills Lake	142948
Millstream (WA)	73632
Milo	112632
Milpara	59540
Mimegarra	
Mindarabin	68224
Mindarie (WA)	117936
Mindarra	84500
Minding	84500
Mingenew	53768
Minigin	82316
Minilya	
Minnenooka	108316
Minnivale	56316
Minyirr	61724
Mira Mar	62556
Mirrabooka (WA)	56888
Mitchell Plateau	
Mobrup	48048
Mocardy	68224
Mogumber	68224
Mokine	50648
Mokup	37700
Mollerin	87724
Molloy Island	42848
Monjebup	136500
Monjingup	84812
Moodiarrup	46800
Moojebing	58500
Mooliabeenee	48828
Moondah	60632
Moondyne	44148
Moonies Hill	81224
Moonyoonooka	79612
Moora (WA)	68380
Moore River National Park	
Mooriary	
Moorine Rock	63336
Morangup	71812
Morawa	56784
Morbinning	64948
Mordalup	23400
Moresby (WA)	99892
Morgantown	60632
Morley	71916
Mornington (WA)	81224
Mosman Park (WA)	96928
Moulyinning	71500
Mount Adams	46748
Mount Anketell	
Mount Barker (WA)	52208
Mount Budd	
Mount Burges	32968
Mount Caroline	42848
Mount Claremont	111176
Mount Clarence	60944
Mount Elphinstone	51064
Mount Erin	
Mount Hampton	67184
Mount Hardey	71500
Mount Hardman	71032
Mount Hawthorn	121888
Mount Helena	92144
Mount Hill	67184
Mount Holland	
Mount Horner	73632
Mount Jackson	
Mount Lawley	98436
Mount Lindesay (WA)	
Mount Madden	71448
Mount Magnet	57252
Mount Melville	66248
Mount Nasura	82836
Mount Ney	
Mount Observation (WA)	
Mount Palmer	
Mount Pleasant (WA)	113360
Mount Richon	63596
Mount Romance	
Mount Sheila	
Mount Sheridan (WA)	58448
Mount Stirling	68224
Mount Tarcoola	84292
Mount Walker (WA)	84448
Mount Wells	
Mouroubra	
Muchea	86892
Muckenburra	82316
Mueller Ranges	37700
Muja	97500
Mukinbudin	63544
Mulataga	
Mulga Downs	88348
Mullaloo	107536
Mullalyup	35464
Mullewa	48724
Mullingar	106600
Muluckine	54860
Mumballup	82316
Mumberkine	93184
Mundabullangana	
Mundaring	72124
Mundijong	78364
Mundrabilla	50024
Mungalup	134316
Munglinup	69316
Munster	98384
Muntadgin	71500
Muradup	63336
Murchison (WA)	86112
Murdoch	72384
Murdong	116948
Muresk	
Myalup	69316
Myara	
Myaree	71604
Myrup	80756
Nabawa	63076
Nairibin	58448
Nalkain	58500
Nalyerlup	129948
Namban	46800
Nambeelup	84500
Nambung	29848
Nanarup	58448
Nanga	19448
Nanga Brook	
Nangeenan	92612
Nangetty	71500
Nannup	50128
Nanson	63336
Nanutarra	58448
Napier	65936
Naraling	123448
Narembeen	59332
Narngulu	50648
Narra Tarra	99632
Narraloggan	71448
Narrikup	62452
Narrogin	61412
Narrogin Valley	106132
Naturaliste	117000
Naval Base	58500
Neale	
Nedlands	125944
Needilup	84500
Neendaling	71448
Neerabup	94224
Neergabby	82056
Nembudding	
Neridup	86892
Nerramyne	
Nerren Nerren	
New Norcia	58448
Newcarlbeon	71500
Newdegate	67184
Newlands (WA)	58500
Newman	130104
Ngaanyatjarra-Giles	47372
Nickol	162032
Nilgen	43316
Nillup	71448
Ningaloo	38948
Nippering	58500
Nirimba	58500
Noggerup	84500
Nokaning	133224
Nolba	97500
Nollamara	72228
Nomans Lake	94224
Noranda	80184
Nornalup	46800
Norpa	97500
Norseman	40352
North Baandee	84500
North Bannister	
North Beach (WA)	89804
North Bodallin	58500
North Boyanup	96564
North Burngup	55848
North Cascade	
North Coogee	129220
North Dandalup	87724
North Eradu	
North Fremantle	112996
North Greenbushes	60112
North Jindong	106548
North Kellerberrin	136448
North Kukerin	97448
North Kununoppin	77948
North Lake	107588
North Lake Grace	
North Moulyinning	87048
North Perth	107848
North Plantations	100256
North Stirlings	117000
North Tammin	99632
North Trayning	123448
North Walpole	48516
North West Cape	39624
North Wialki	
North Yelbeni	71500
North Yunderup	61828
Northam	60008
Northampton	41392
Northbridge (WA)	91884
Northcliffe	50908
Northern Gully	61724
Nowergup	95316
Nugadong	55224
Nukarni	110448
Nullagine	54184
Nullaki	110448
Nulsen	42588
Nungarin	45032
Nunierra	
Nunile	56836
Nyabing	64584
O'Connor (WA)	73528
Oakajee	
Oakford	117364
Ocean Beach	62192
Ocean Reef	116740
Ogilvie	62816
Old Plains	70200
Oldbury	94224
Ongerup	34528
Onslow	114400
Oombulgurri	
Ora Banda	
Orana	52416
Orange Grove (WA)	60528
Orange Springs	
Orchid Valley	62816
Ord River	61724
Orelia	58708
Osborne Park	62764
Osmington	61724
Padbury	91832
Palgarup	60320
Pallinup	111800
Palmdale (WA)	
Palmer (WA)	80132
Palmyra (WA)	81068
Pannawonica	140400
Pantapin	71500
Paraburdoo	143000
Paradise (WA)	73112
Pardoo	27924
Parker Range	
Parkerville	105352
Parkeston	46748
Parkfield	97500
Parklands (WA)	106184
Parkwood (WA)	77220
Parmelia	60528
Parryville	62816
Paulls Valley	138632
Paynedale	44200
Paynes Find	24648
Paynesville (WA)	81848
Peaceful Bay	29848
Peak Hill (WA)	38948
Pearsall	102284
Peedamulla	42848
Peerabeelup	42848
Pegs Creek	112372
Pelican Point (WA)	102336
Pemberton	54756
Peppermint Grove	181012
Peppermint Grove Beach	75816
Perenjori	69056
Perillup	74724
Peron	71500
Perth (WA)	95004
Perth Airport	
Perup	68900
Petrudor	46800
Piara Waters	115960
Piawaning	58448
Piccadilly (WA)	107380
Pickering Brook	82524
Picton (WA)	48516
Picton East	42900
Piesse Brook	97448
Piesseville	81224
Pindar	90948
Pingaring	60112
Pingelly	39520
Pingrup	73840
Pinjar	79612
Pinjarra	56680
Pink Lake	88920
Pintharuka	49348
Pinwernying	73632
Pippingarra	97500
Pithara	56316
Plumridge Lakes	100724
Point Grey	
Point Samson	120692
Popanyinning	41080
Porongurup	56108
Port Albany	59748
Port Denison	52936
Port Hedland	169832
Port Kennedy	89336
Postans	
Preston Beach	41236
Preston Settlement	60632
Prevelly	75504
Prince Regent River	
Pumphreys Bridge	81224
Purnululu	72748
Quairading	40716
Qualeup	90948
Quedjinup	91624
Queens Park (WA)	76804
Queenwood	81224
Quelagetting	71500
Quellington	136448
Quindalup	80080
Quindanning	61724
Quinninup	43836
Quinns Rocks	95368
Ranford	99320
Rangeway	42120
Ravensthorpe	68952
Ravenswood (WA)	56836
Rawlinna	61724
Red Gully	69836
Red Hill (WA)	99112
Redbank (WA)	134316
Redcliffe (WA)	75348
Redgate (WA)	58500
Redmond	67600
Redmond West	73632
Reedy	
Regans Ford	97448
Reinscourt	94224
Remlap	
Reservoir (WA)	
Ridgewood (WA)	74256
Ringbark	86632
Riverton (WA)	81380
Rivervale	75712
Robinson	81224
Rockingham (WA)	54964
Rocklea (WA)	35724
Rockwell	
Rocky Gully (WA)	36712
Roebourne	50492
Roebuck	62816
Roelands	108680
Roleystone	97396
Rosa Brook	56836
Rosa Glen	68224
Rossmore (WA)	51948
Rossmoyne	93444
Rothsay	
Rottnest Island	101348
Ruabon	84500
Rudds Gully	114400
Ryansbrook	97448
Sabina River	93184
