SSC_NAME16	PrivateDwelling	persons
Black Mountain (NSW)	1	266
Black Range (NSW)	0	24
Black Range (NSW)	1	173
Black Springs (NSW)	0	19
Black Springs (NSW)	1	190
Blackalls Park	0	68
Blackalls Park	1	2606
Blackbutt (NSW)	0	101
Blackbutt (NSW)	1	3180
Blackett	0	255
Blackett	1	3146
Blackheath	0	435
Blackheath	1	3953
Blackmans Flat	0	11
Blackmans Flat	1	21
Blackmans Point	0	17
Blackmans Point	1	135
Blacksmiths	0	70
Blacksmiths	1	1750
Blacktown	0	2521
Blacktown	1	44417
Blackville	0	28
Blackville	1	88
Blackwall (NSW)	0	112
Blackwall (NSW)	1	1766
Blair Athol (NSW)	0	49
Blair Athol (NSW)	1	2834
Blairmount	0	16
Blairmount	1	410
Blakebrook	0	12
Blakebrook	1	135
Blakehurst	0	300
Blakehurst	1	5844
Blakney Creek	0	5
Blakney Creek	1	57
Bland	0	3
Bland	1	37
Blandford	0	3
Blandford	1	175
Blaxland (NSW)	0	175
Blaxland (NSW)	1	7118
Blaxlands Creek	0	10
Blaxlands Creek	1	110
Blaxlands Ridge	0	43
Blaxlands Ridge	1	443
Blayney	0	272
Blayney	1	3085
Bligh Park	0	126
Bligh Park	1	6193
Blighty	0	4
Blighty	1	137
Blue Bay	0	90
Blue Bay	1	928
Blue Haven	0	169
Blue Haven	1	6144
Blue Knob	0	36
Blue Knob	1	184
Blue Mountains National Park	0	3
Blue Nobby	1	16
Blue Vale	0	20
Blue Vale	1	59
Blueys Beach	0	22
Blueys Beach	1	175
Boambee	0	84
Boambee	1	1546
Boambee East	0	168
Boambee East	1	4897
Boambolo	0	4
Boambolo	1	47
Boat Harbour (Lismore - NSW)	0	17
Boat Harbour (Lismore - NSW)	1	130
Boat Harbour (Port Stephens - NSW)	0	39
Boat Harbour (Port Stephens - NSW)	1	893
Bobadah	0	3
Bobadah	1	14
Bobin	0	17
Bobin	1	130
Bobs Creek	0	8
Bobs Creek	1	72
Bobs Farm	0	28
Bobs Farm	1	419
Bobundara	0	3
Bobundara	1	13
Boco	1	3
Bocoble	0	12
Bocoble	1	132
Bocobra	0	13
Bocobra	1	37
Bodalla	0	18
Bodalla	1	714
Bodangora	0	15
Bodangora	1	60
Boeill Creek	0	11
Boeill Creek	1	81
Bogan	1	12
Bogan Gate	0	57
Bogan Gate	1	227
Bogangar	0	353
Bogangar	1	2810
Bogee	0	3
Bogee	1	73
Boggabilla	0	85
Boggabilla	1	899
Boggabri	0	265
Boggabri	1	1008
Bohena Creek	0	23
Bohena Creek	1	146
Bohnock	1	72
Bolaro	0	10
Bolaro	1	33
Bolivia	0	3
Bolivia	1	57
Bolong	1	94
Bolton Point	0	188
Bolton Point	1	1873
Bolwarra (NSW)	0	25
Bolwarra (NSW)	1	923
Bolwarra Heights	0	94
Bolwarra Heights	1	2821
Bomaderry	0	454
Bomaderry	1	6041
Bombah Point	0	12
Bombah Point	1	11
Bombala	0	134
Bombala	1	1232
Bombay	0	5
Bombay	1	108
Bombira	0	18
Bombira	1	327
Bombo	0	12
Bombo	1	99
Bombowlee	0	28
Bombowlee	1	254
Bombowlee Creek	0	8
Bombowlee Creek	1	49
Bomen	1	26
Bomera	0	3
Bomera	1	32
Bonalbo	0	59
Bonalbo	1	316
Bondi	0	1145
Bondi	1	8740
Bondi Beach	0	2018
Bondi Beach	1	9718
Bondi Junction	0	1710
Bondi Junction	1	7943
Bonnells Bay	0	69
Bonnells Bay	1	3397
Bonnet Bay	0	20
Bonnet Bay	1	2149
Bonny Hills	0	237
Bonny Hills	1	2788
Bonnyrigg	0	366
Bonnyrigg	1	8330
Bonnyrigg Heights	0	132
Bonnyrigg Heights	1	7169
Bonshaw (NSW)	0	17
Bonshaw (NSW)	1	112
Bonville	0	115
Bonville	1	2425
Booerie Creek	0	21
Booerie Creek	1	132
Book Book	0	18
Book Book	1	78
Booker Bay	0	84
Booker Bay	1	1219
Bookham	0	12
Bookham	1	128
Bookookoorara	0	3
Bookookoorara	1	25
Boolambayte	1	82
Boolaroo	0	39
Boolaroo	1	958
Boolcarroll	1	13
Booligal	0	49
Booligal	1	77
Boomanoomana	0	20
Boomanoomana	1	77
Boomerang Beach	0	54
Boomerang Beach	1	248
Boomey	0	14
Boomey	1	61
Boomi	0	62
Boomi	1	155
Boomi Creek	1	16
Boona Mount	0	3
Boona Mount	1	20
Boonal	0	14
Boonal	1	38
Boonoo Boonoo	0	8
Boonoo Boonoo	1	15
Boorabee Park	0	14
Boorabee Park	1	94
Booragul	0	115
Booragul	1	1145
Booral (NSW)	0	19
Booral (NSW)	1	372
Boorga	1	14
Boorganna	0	3
Boorganna	1	14
Boorolong	0	3
Boorolong	1	73
Boorook	1	33
Boorooma	0	56
Boorooma	1	781
Booroorban	0	5
Booroorban	1	35
Boorowa	0	130
Boorowa	1	1493
Bootawa	0	26
Bootawa	1	133
Booyong	0	4
Booyong	1	82
Bora Ridge	0	14
Bora Ridge	1	101
Borah Creek	0	3
Borah Creek	1	29
Borambola	0	21
Borambola	1	96
Boree	0	6
Boree	1	94
Boree Creek	0	15
Boree Creek	1	179
Borenore	0	34
Borenore	1	397
Boro	0	11
Boro	1	63
Bossley Park	0	480
Bossley Park	1	13995
Bostobrick	0	4
Bostobrick	1	138
Botany	0	736
Botany	1	9993
Botobolar	0	5
Botobolar	1	77
Bottle Creek	1	22
Bouddi	0	3
Bourbah	1	30
Bourke	0	478
Bourke	1	1551
Bourkelands	0	51
Bourkelands	1	2697
Bournda	0	30
Bournda	1	113
Bournewood	0	3
Bournewood	1	44
Bow Bowing	0	13
Bow Bowing	1	1573
Bowan Park	0	5
Bowan Park	1	107
Bowen Mountain	0	54
Bowen Mountain	1	1497
Bowenfels	0	288
Bowenfels	1	1774
Bowling Alley Point	0	3
Bowling Alley Point	1	30
Bowman	0	24
Bowman	1	116
Bowman Farm	1	45
Bowmans Creek	1	8
Bowna	0	14
Bowna	1	101
Bowning	0	36
Bowning	1	515
Bowral	0	835
Bowral	1	9411
Bowraville	0	66
Bowraville	1	1029
Box Hill (NSW)	0	36
Box Hill (NSW)	1	847
Box Ridge	0	5
Box Ridge	1	46
Boxers Creek	0	18
Boxers Creek	1	217
Boydtown	0	19
Boydtown	1	58
Bradbury (NSW)	0	342
Bradbury (NSW)	1	8388
Braefield	0	10
Braefield	1	59
Braemar	0	22
Braemar	1	424
Braemar Bay	0	4
Braemar Bay	1	19
Braidwood	0	174
Braidwood	1	1431
Brandy Hill	0	14
Brandy Hill	1	632
Branxton	0	77
Branxton	1	1879
Braunstone	0	20
Braunstone	1	257
Brawboy	1	19
Bray Park (NSW)	0	34
Bray Park (NSW)	1	751
Brays Creek	0	16
Brays Creek	1	48
Brayton	0	24
Brayton	1	140
Breadalbane (NSW)	0	9
Breadalbane (NSW)	1	75
Breakfast Creek	0	8
Breakfast Creek	1	40
Breakfast Point	0	237
Breakfast Point	1	3866
Bream Beach	0	10
Bream Beach	1	4
Bredbo	0	38
Bredbo	1	302
Breelong	0	3
Breelong	1	60
Breeza	0	6
Breeza	1	140
Bretti	0	4
Bretti	1	23
Brewarrina	0	174
Brewarrina	1	979
Brewongle	0	10
Brewongle	1	117
Briarbrook	1	7
Bribbaree	0	4
Bribbaree	1	130
Bridgman	0	3
Bridgman	1	195
Brierfield	0	16
Brierfield	1	318
Brighton-le-Sands	0	920
Brighton-le-Sands	1	7602
Brightwaters	0	12
Brightwaters	1	849
Brimbin	0	3
Brimbin	1	59
Brindabella	1	22
Bringelly	0	101
Bringelly	1	2367
Bringenbrong	1	41
Brisbane Grove	0	8
Brisbane Grove	1	113
Broadmeadow	0	66
Broadmeadow	1	1499
Broadwater (Bega Valley - NSW)	0	6
Broadwater (Bega Valley - NSW)	1	109
Broadwater (Richmond Valley - NSW)	0	51
Broadwater (Richmond Valley - NSW)	1	574
Broadway	0	4
Broadway	1	39
Brobenah	1	18
Brocklehurst	0	31
Brocklehurst	1	324
